protein_id,log2FC,padj,neg_log10padj,DAP,orthogroup,species,rank
Ag00001aa026660_T001,-0.19925537606322247,1,-0,NS,OG0000462,Ag,2127
Ag00001aa115120_T001,-0.40545145044964576,0.0536254453114337,1.270629088364415,NS,OG0001499,Ag,2793
Ag00001aa094012_T001,0.12829340100981756,0.410822735154874,0.3863455303155274,NS,OG0008841,Ag,1036
Ag00001aa016826_T001,-0.8598757760909294,1,-0,NS,OG0000462,Ag,3453
Ag00001aa041819_T003,0.31266517355839435,1,-0,NS,OG0003382,Ag,654
Ag00001aa091179_T001,-0.38458370273712994,0.044577306307096,1.3508861783705668,NS,OG0001499,Ag,2731
Ag00001aa108841_T001,-0.38082178394093086,0.0976109198189188,1.010501594712194,NS,NA,Ag,2722
Ag00001aa117364_T001,0.23388806017427727,0.940722991369547,0.0265382416422205,NS,OG0008841,Ag,794
Ag00001aa120810_T003,0.3265373481399519,1,-0,NS,OG0003382,Ag,635
Ag00001aa089238_T001,0.259423152281415,0.775603880061329,0.11036002697212328,NS,NA,Ag,752
Ag00001aa115646_T001,0.16992500144231237,1,-0,NS,OG0005531,Ag,927
Ag00001aa146814_T001,-0.1648843847417823,1,-0,NS,OG0000291,Ag,2005
Ag00001aa121176_T001,0.35952117042759535,0.587500002810985,0.2309921269782767,NS,NA,Ag,594
Ag00001aa150634_T001,0.3696060700318379,1,-0,NS,OG0001529,Ag,577
Ag00001aa032124_T001,0.3895668117627256,0.441147640409643,0.35541603936553273,NS,OG0001529,Ag,549
Ag00001aa032691_T001,0.7389839547005117,0.00766538030191969,2.1154662936565725,NS,OG0015629,Ag,299
Ag00001aa028912_T001,-0.06491747668133854,1,-0,NS,OG0000286,Ag,1638
Ag00001aa100834_T001,-0.4305089080412838,0.69926341794537,0.1553591913365241,NS,OG0001499,Ag,2877
Ag00001aa051015_T001,-1.8943219221054628,0.795121395952121,0.09956655993816386,NS,OG0000715,Ag,3704
Ag00001aa064784_T001,0.45417589318580215,1,-0,NS,OG0018783,Ag,484
Ag00001aa100893_T001,0.1309308698264487,1,-0,NS,OG0001891,Ag,1031
Ag00001aa069417_T001,0.22897256976016075,1,-0,NS,OG0018783,Ag,798
Ag00001aa016342_T002,0.4915965944104482,0.0191227458398525,1.718449747129159,NS,NA,Ag,453
Ag00001aa060000_T002,-2.083141235300246,0.676371968579953,0.16981439951206784,NS,OG0000715,Ag,3721
Ag00001aa030108_T001,-2.395928676331139,0.334676063287913,0.4753753481552853,NS,OG0000715,Ag,3727
Ag00001aa011817_T001,0.04963076772460043,1,-0,NS,OG0000110,Ag,1283
Ag00001aa092319_T001,0.28332916805164143,0.145412804593423,0.8373973491893678,NS,OG0008841,Ag,707
Ag00001aa094017_T001,-0.7908586021614084,0.256028228890501,0.5917121480651265,NS,OG0001432,Ag,3397
Ag00001aa116053_T004,-0.5713215900517699,0.392594426067348,0.4060558706692208,NS,NA,Ag,3142
Ag00001aa021426_T002,0.28451413324424535,0.749175538938131,0.1254164110587038,NS,OG0000286,Ag,706
Ag00001aa047327_T002,-0.139235797371172,1,-0,NS,NA,Ag,1902
Ag00001aa002578_T001,0.11103131238874396,0.989681356114419,0.00450461101507323,NS,OG0000110,Ag,1092
Ag00001aa091217_T001,0.7458826889022593,0.0916775613093292,1.0377369477762033,NS,OG0001891,Ag,298
Ag00001aa002576_T001,0.5170236720645808,0.956654496694318,0.01924488277882791,NS,OG0000110,Ag,428
Ag00001aa028848_T003,0.335711910320462,1,-0,NS,OG0003382,Ag,626
Ag00001aa157433_T001,-0.24982229440694284,0.546277077695557,0.2625870225115761,NS,OG0013654,Ag,2287
Ag00001aa115155_T001,0.20664322398339532,1,-0,NS,OG0001891,Ag,850
Ag00001aa010398_T002,0.3762903833370515,0.698949367310445,0.15555428390257406,NS,OG0000286,Ag,572
Ag00001aa010152_T001,1.2430597060725277,0.974823994298181,0.01107378964011389,NS,OG0003555,Ag,151
Ag00001aa008719_T001,-1.810966175609983,0.401842584842181,0.3959440412513408,NS,OG0018913,Ag,3703
Ag00001aa004825_T001,1.0648828515848543,0.0191227458398525,1.718449747129159,Up,OG0000654,Ag,183
Ag00001aa088892_T001,-0.3940316411585416,0.558887672201675,0.2526754698327146,NS,NA,Ag,2757
Ag00001aa102214_T001,0.4382928515791468,0.598708247313232,0.2227847593289145,NS,OG0000596,Ag,499
Ag00001aa058586_T001,0.49364733397521016,1,-0,NS,OG0002897,Ag,449
Ag00001aa113751_T001,0.6580972053513715,0.228298660720295,0.6414966362254532,NS,OG0001891,Ag,337
Ag00001aa085718_T001,0.12961273813046964,1,-0,NS,NA,Ag,1034
Ag00001aa012289_T002,-0.15200309344504995,0.356874901304614,0.44748399451618515,NS,OG0001047,Ag,1955
Ag00001aa085222_T002,-0.4208198518728499,1,-0,NS,NA,Ag,2854
Ag00001aa042534_T001,-0.9885043611621706,0.00798050512168255,2.097969619348923,NS,OG0000994,Ag,3537
Ag00001aa003058_T003,-0.14880066140670606,0.909733885850817,0.04108562834744372,NS,OG0001047,Ag,1940
Ag00001aa029947_T001,0.21288056634438476,1,-0,NS,OG0002897,Ag,831
Ag00001aa050348_T001,0.3651325934525299,0.295687566924448,0.5291669363113031,NS,OG0001529,Ag,587
Ag00001aa040663_T001,0.1839628348425949,0.416935608621671,0.3799310121236464,NS,NA,Ag,894
Ag00001aa143632_T001,0,1,-0,NS,NA,Ag,1442
Ag00001aa057358_T001,-0.5713215900517699,0.767931580552469,0.11467747204164212,NS,NA,Ag,3142
Ag00001aa004820_T001,1.8213020398895297,0.0342073981448896,1.4658799575100423,Up,OG0000654,Ag,55
Ag00001aa138044_T002,1.3707222751481671,0.0147780766414043,1.830382085452672,Up,OG0000654,Ag,126
Ag00001aa101108_T001,-0.17299399036102314,0.387273035287788,0.4119827406421098,NS,OG0002858,Ag,2037
Ag00001aa056733_T001,-0.24982229440694284,0.0416359348535571,1.3805316796622653,NS,NA,Ag,2287
Ag00001aa122617_T002,-0.1504009888485484,1,-0,NS,OG0000012,Ag,1947
Ag00001aa090110_T002,-0.23616354110904855,1,-0,NS,NA,Ag,2239
Ag00001aa006282_T003,-2.023269779322847,0.750697283952456,0.1245351554225378,NS,OG0000715,Ag,3713
Ag00001aa015202_T001,-0.3400754415976217,1,-0,NS,OG0004593,Ag,2580
Ag00001aa129782_T003,0.01149563883782943,1,-0,NS,OG0001074,Ag,1398
Ag00001aa004824_T001,1.899562360154693,0.0246291919973428,1.608549835698511,Up,OG0000654,Ag,49
Ag00001aa070037_T001,-0.05289494843212547,1,-0,NS,OG0000012,Ag,1599
Ag00001aa012681_T002,-0.01449956969511508,1,-0,NS,NA,Ag,1486
Ag00001aa134613_T001,-0.02767495844284834,1,-0,NS,OG0004164,Ag,1534
Ag00001aa119509_T001,0.06626144226872127,1,-0,NS,NA,Ag,1217
Ag00001aa138047_T001,1.3190398155625358,0.00892797863304662,2.0492468577838543,Up,OG0000654,Ag,137
Ag00001aa009933_T002,-0.488026018218199,0.0165152325061983,1.7821153078067695,NS,OG0011159,Ag,2995
Ag00001aa124559_T001,-2.3883554566263383,0.054481163605303,1.2637536253616886,NS,OG0000715,Ag,3726
Ag00001aa099401_T001,-0.00868224309980088,1,-0,NS,OG0000012,Ag,1459
Ag00001aa152722_T001,-0.41119543298444966,1,-0,NS,OG0004593,Ag,2813
Ag00001aa009503_T002,-0.8703872618695304,1,-0,NS,OG0008538,Ag,3464
Ag00001aa098030_T001,0.05102400302446689,1,-0,NS,OG0007241,Ag,1275
Ag00001aa087830_T001,-0.3291596641184381,0.266536396528317,0.5742434780741063,NS,OG0001094,Ag,2540
Ag00001aa129298_T001,-0.7060410209713056,0.948217573234638,0.02309200020023997,NS,OG0000012,Ag,3312
Ag00001aa031315_T003,-0.29335894269059154,0.96555062229545,0.01522495191333208,NS,OG0015368,Ag,2424
Ag00001aa153325_T001,-0.026205070347394,1,-0,NS,NA,Ag,1529
Ag00001aa050502_T001,-0.03948828988097554,1,-0,NS,OG0016284,Ag,1559
Ag00001aa070760_T001,0.6182386555954547,0.729154531999189,0.13718042054025167,NS,OG0015605,Ag,358
Ag00001aa026485_T001,0.6276068381296498,0.0565493293346783,1.2475725413658574,NS,NA,Ag,352
Ag00001aa041730_T001,-0.4520566887096497,0.344923638365764,0.4622770414690012,NS,OG0005432,Ag,2928
Ag00001aa046177_T001,-0.0694518807521452,1,-0,NS,OG0001074,Ag,1659
Ag00001aa029372_T001,-0.0174170530774094,1,-0,NS,NA,Ag,1494
Ag00001aa039501_T001,0.4615285594728771,0.0257579747305089,1.5890882871950716,NS,NA,Ag,477
Ag00001aa075954_T002,0.7389839547005117,0.0221616861452161,1.6543971999136045,NS,OG0005515,Ag,299
Ag00001aa069821_T001,-0.5864059175908248,0.105386856120975,0.977213551078765,NS,NA,Ag,3166
Ag00001aa012115_T001,-1.4900508536956891,0.740112490209066,0.13070226653360473,NS,OG0017457,Ag,3672
Ag00001aa021850_T002,-0.22095044716254147,0.871428489659808,0.05976824575464895,NS,OG0011159,Ag,2191
Ag00001aa092307_T001,0.1401242239090707,1,-0,NS,OG0002679,Ag,1012
Ag00001aa116942_T002,-0.6082322800440033,0.771460387348719,0.11268636901436256,NS,OG0015087,Ag,3199
Ag00001aa079185_T001,-0.117161344232749,1,-0,NS,OG0012292,Ag,1824
Ag00001aa107984_T001,-0.03061923505839206,1,-0,NS,OG0000708,Ag,1542
Ag00001aa033715_T001,-0.5994620704162712,0.103544316586279,0.9848737339791852,NS,OG0000565,Ag,3186
Ag00001aa111393_T001,-0.1504009888485484,1,-0,NS,NA,Ag,1947
Ag00001aa068250_T001,-0.23446525363702295,0.753607431162724,0.12285482770847364,NS,OG0001541,Ag,2230
Ag00001aa126989_T001,0.5180314926021693,0.627344416087216,0.20249396325381197,NS,OG0015171,Ag,427
Ag00001aa035496_T001,0.2785795504584233,1,-0,NS,NA,Ag,720
Ag00001aa023040_T001,-0.139235797371172,1,-0,NS,OG0000507,Ag,1902
Ag00001aa061732_T001,0.6690267655096307,0.0453711853873575,1.3432198740189032,NS,OG0010641,Ag,328
Ag00001aa003452_T001,0.3056787432422875,1,-0,NS,NA,Ag,670
Ag00001aa008697_T002,-0.1877071551267289,1,-0,NS,OG0000507,Ag,2084
Ag00001aa048344_T001,-0.20756106993536216,1,-0,NS,NA,Ag,2153
Ag00001aa107827_T001,0.37183761733042053,0.361426223565155,0.4419803400526941,NS,OG0010066,Ag,575
Ag00001aa066636_T001,-0.17625063969172725,1,-0,NS,OG0017379,Ag,2049
Ag00001aa091612_T001,0.07313470463021537,1,-0,NS,OG0000708,Ag,1195
Ag00001aa032373_T001,0.29278174922784594,0.302829865707166,0.518801296040492,NS,OG0001094,Ag,694
Ag00001aa091875_T001,0.02998286621571431,1,-0,NS,OG0003555,Ag,1344
Ag00001aa059249_T001,0.452068230223811,0.0416359348535571,1.3805316796622653,NS,NA,Ag,486
Ag00001aa063744_T001,0.32423456227053127,0.519319049873162,0.2845657461454561,NS,OG0004800,Ag,638
Ag00001aa033757_T001,-0.5521563556379144,1,-0,NS,NA,Ag,3110
Ag00001aa040350_T001,0.8844025529836872,1,-0,NS,OG0020553,Ag,233
Ag00001aa071199_T001,0.9107326619029126,0.973893858265313,0.01148837297924526,NS,OG0020553,Ag,225
Ag00001aa033758_T001,0.2190910582461967,1,-0,NS,NA,Ag,821
Ag00001aa151108_T001,0.6480051798104932,1,-0,NS,OG0003555,Ag,342
Ag00001aa029524_T001,-0.10624949827943408,1,-0,NS,NA,Ag,1789
Ag00001aa005816_T001,-0.3547594873547347,0.0202504167656162,1.6935660343187044,NS,OG0004781,Ag,2633
Ag00001aa075749_T002,1.0454429707611672,0.0544811824426363,1.2637534752006432,NS,OG0000289,Ag,188
Ag00001aa134621_T001,-0.5104570643575265,0.0628531393390681,1.2016730256377757,NS,OG0007101,Ag,3032
Ag00001aa071072_T001,1.491083453718256,0.00574845484869436,2.240448875460792,Up,OG0000289,Ag,111
Ag00001aa115352_T001,-0.05439229681862778,1,-0,NS,OG0000708,Ag,1604
Ag00001aa051010_T003,-0.3566055465201077,1,-0,NS,OG0003484,Ag,2636
Ag00001aa153229_T001,-0.19264507794239588,0.371716023121739,0.4297887178836376,NS,OG0010305,Ag,2104
Ag00001aa037264_T001,-0.1975999598851607,1,-0,NS,OG0001541,Ag,2121
Ag00001aa126038_T001,-0.06491747668133854,1,-0,NS,OG0019495,Ag,1638
Ag00001aa109584_T001,-1.450084446378045,0.549388502058205,0.2601204340034217,NS,OG0001619,Ag,3669
Ag00001aa092548_T001,-1.5104570643575264,0.0843038823441318,1.0741524248793006,NS,OG0001619,Ag,3675
Ag00001aa021310_T001,-0.5734668618833266,0.00962221414861823,2.0167249818204565,NS,OG0010371,Ag,3145
Ag00001aa017334_T001,-0.2898272517203383,0.636328108545624,0.1963188922334658,NS,OG0000565,Ag,2412
Ag00001aa070296_T002,-0.36401349625437696,1,-0,NS,OG0012165,Ag,2666
Ag00001aa045096_T002,0.6276068381296498,0.149172989626123,0.8263098063423499,NS,OG0005515,Ag,352
Ag00001aa101520_T001,0.18650055764449475,1,-0,NS,OG0019495,Ag,884
Ag00001aa075698_T002,-0.06793882865657556,1,-0,NS,NA,Ag,1650
Ag00001aa001578_T001,-0.12186323337305248,1,-0,NS,OG0017379,Ag,1843
Ag00001aa068256_T001,0.5139959793670126,0.0562400122696242,1.2499545932401972,NS,OG0000976,Ag,430
Ag00001aa121537_T004,-0.4619585466663364,0.374823852859717,0.426172779481885,NS,OG0000355,Ag,2944
Ag00001aa078269_T001,-0.5458241068141979,1,-0,NS,OG0000017,Ag,3094
Ag00001aa083008_T002,-0.10005101381032824,1,-0,NS,OG0006631,Ag,1767
Ag00001aa071342_T001,-0.3827015171591536,1,-0,NS,OG0000017,Ag,2724
Ag00001aa027649_T002,-0.3057883922321094,0.791266286787057,0.10167733771525056,NS,OG0000012,Ag,2468
Ag00001aa116525_T001,-0.34739878240348054,1,-0,NS,OG0000017,Ag,2609
Ag00001aa035348_T001,-0.16004041251046824,1,-0,NS,OG0000815,Ag,1983
Ag00001aa108291_T001,-0.7661119398257227,0.476792220270321,0.3216708395120207,NS,OG0000017,Ag,3371
Ag00001aa041237_T001,-0.24468509595490195,1,-0,NS,OG0012165,Ag,2269
Ag00001aa097340_T002,-0.34190279464862844,1,-0,NS,OG0007589,Ag,2584
Ag00001aa094570_T001,-0.4981787345790897,0.564699366612494,0.2481826993834556,NS,OG0007589,Ag,3013
Ag00001aa074424_T001,0.5587574303737622,0.105219414314994,0.9779041199545048,NS,OG0005515,Ag,391
Ag00001aa076340_T001,1.973794929652606,0.0100496304325217,1.9978499087974857,Up,OG0026292,Ag,42
Ag00001aa129983_T001,0.08678376614206665,1,-0,NS,NA,Ag,1158
Ag00001aa039910_T001,-0.3255393484397412,1,-0,NS,OG0007038,Ag,2527
Ag00001aa083002_T003,0.01435529297707005,1,-0,NS,NA,Ag,1388
Ag00001aa071644_T002,-0.7933567760166047,0.294408640946631,0.5310494475262225,NS,OG0007038,Ag,3402
Ag00001aa027823_T002,-0.24468509595490195,1,-0,NS,NA,Ag,2269
Ag00001aa121107_T001,2.0721058004804194,0.00818696507132179,2.08687706247041,Up,OG0009444,Ag,32
Ag00001aa128017_T001,0.10030490579568548,1,-0,NS,OG0004800,Ag,1122
Ag00001aa117362_T001,-0.7983661388303496,0.333380131424759,0.4770602865407446,NS,OG0001432,Ag,3407
Ag00001aa120192_T001,0.6744606515602588,0.0254506849325041,1.5943005253742049,NS,OG0005515,Ag,325
Ag00001aa115687_T001,-0.17625063969172725,1,-0,NS,OG0003436,Ag,2049
Ag00001aa014875_T002,0.3265373481399519,0.16362515761505,0.7861499220985536,NS,NA,Ag,635
Ag00001aa068706_T005,1.549915553621955,0.163282673645782,0.7870598969488752,NS,OG0006161,Ag,100
Ag00001aa055626_T002,-0.4860040206329874,0.863985968220939,0.06349331073141014,NS,OG0003484,Ag,2992
Ag00001aa104120_T004,1.6059683588414584,0.0448858046406351,1.3478909850766034,Up,OG0006161,Ag,87
Ag00001aa105291_T002,-0.06793882865657556,1,-0,NS,OG0013150,Ag,1650
Ag00001aa026861_T002,-0.6438561897747247,0.637069687875986,0.19581305839523608,NS,OG0007038,Ag,3250
Ag00001aa084722_T001,0.22527492986956937,1,-0,NS,OG0008336,Ag,810
Ag00001aa023125_T001,0.8032270364349277,0.0462632683645054,1.3347636888475225,NS,OG0020952,Ag,264
Ag00001aa091784_T001,0.46362245685189335,1,-0,NS,OG0010066,Ag,474
Ag00001aa094962_T001,-0.4344028241457749,1,-0,NS,OG0002600,Ag,2888
Ag00001aa009839_T002,-0.03209362970985334,1,-0,NS,OG0013926,Ag,1544
Ag00001aa004568_T002,-0.08161376555365212,1,-0,NS,OG0017526,Ag,1701
Ag00001aa074187_T001,-0.392137097168765,1,-0,NS,OG0000012,Ag,2752
Ag00001aa083910_T002,-0.41119543298444966,0.0132930473439381,1.8763754484816713,NS,OG0013150,Ag,2813
Ag00001aa141556_T001,0.40816837070810624,0.838944413842144,0.07626681338031015,NS,OG0001541,Ag,529
Ag00001aa103966_T001,-0.4150374992788438,0.4134473216969,0.383579817075773,NS,OG0000037,Ag,2826
Ag00001aa044445_T001,-0.02326977932284719,1,-0,NS,OG0002575,Ag,1512
Ag00001aa141567_T001,0.24366908096686263,1,-0,NS,NA,Ag,780
Ag00001aa097635_T001,0.22650852980867975,1,-0,NS,OG0004987,Ag,804
Ag00001aa019475_T001,0.05241589415113853,1,-0,NS,OG0013882,Ag,1269
Ag00001aa093774_T001,-1.0558912008920451,0.210422610752604,0.6769075953287345,NS,OG0001619,Ag,3569
Ag00001aa100873_T001,0.5250665920782109,0.964062228116787,0.01589493242962977,NS,OG0005569,Ag,420
Ag00001aa033257_T001,-0.3940316411585416,0.896012273633124,0.04768604130368887,NS,OG0005931,Ag,2757
Ag00001aa051710_T003,-0.744197163397282,0.0544648457744794,1.263883721800772,NS,OG0000229,Ag,3353
Ag00001aa088075_T001,0.5290712998291112,0.0405096600101967,1.3924414017513684,NS,OG0000434,Ag,415
Ag00001aa092935_T004,-0.98564470702292994,0.928339932361086,0.03229296805247902,NS,OG0011547,Ag,3533
Ag00001aa039710_T001,-0.01304303747559888,1,-0,NS,OG0000012,Ag,1478
Ag00001aa151642_T001,-0.2276920250415967,0.929837286948408,0.03159304237399849,NS,OG0000037,Ag,2207
Ag00001aa024803_T002,0.1686420355588392,1,-0,NS,OG0017500,Ag,931
Ag00001aa034945_T001,-0.5649048483799026,0.10896779919522,0.9627018203888008,NS,OG0004663,Ag,3133
Ag00001aa126910_T003,1.2761988650322418,0.004619067661094,2.335445676068122,Up,OG0000710,Ag,142
Ag00001aa126962_T002,-0.12186323337305248,1,-0,NS,NA,Ag,1843
Ag00001aa121652_T002,-0.3219280948873623,0.0755986447859921,1.1214859897797564,NS,OG0022970,Ag,2510
Ag00001aa090727_T001,-0.496142467422571,0.198056846685052,0.7032101397472353,NS,OG0000037,Ag,3009
Ag00001aa022359_T001,-0.06642736173897607,1,-0,NS,OG0013882,Ag,1643
Ag00001aa001685_T004,0.09626185305840348,1,-0,NS,NA,Ag,1130
Ag00001aa027684_T001,-0.46394709975979026,0.251774876761279,0.5989876079386196,NS,OG0007101,Ag,2950
Ag00001aa108833_T002,-0.4150374992788438,0.0436861299208003,1.3596564269884477,NS,NA,Ag,2826
Ag00001aa149475_T001,0.7949356628035363,0.885266765880673,0.05292583948031695,NS,OG0007047,Ag,272
Ag00001aa013487_T001,0.32192809488736235,1,-0,NS,NA,Ag,645
Ag00001aa089668_T005,0.3299846497584206,0.987268111327492,0.00556489043270253,NS,NA,Ag,631
Ag00001aa025305_T005,-0.21759143507262677,0.0778277639245474,1.108865447120041,NS,OG0006870,Ag,2182
Ag00001aa075655_T001,-0.08467032398699055,1,-0,NS,OG0010305,Ag,1714
Ag00001aa016703_T001,0.5280711645787354,0.209914365819678,0.6779578387748099,NS,OG0015654,Ag,417
Ag00001aa030087_T001,-0.1124747292584125,0.607406388676367,0.2165206445015511,NS,OG0012519,Ag,1809
Ag00001aa066741_T002,-0.28454587288428235,1,-0,NS,OG0006795,Ag,2392
Ag00001aa093337_T003,-1.0709665213541435,0.783789503437232,0.1058005569204494,NS,OG0011547,Ag,3575
Ag00001aa072914_T002,-0.02180437031834845,1,-0,NS,OG0000719,Ag,1505
Ag00001aa093550_T001,-0.25842515258120435,0.149172989626123,0.8263098063423499,NS,OG0001417,Ag,2314
Ag00001aa046570_T001,0.070389327891398,1,-0,NS,NA,Ag,1203
Ag00001aa015322_T001,1.6433944534798923,0.0204114233279441,1.6901267100355517,Up,OG0018059,Ag,80
Ag00001aa111679_T001,-0.4461480318188743,0.280005451669809,0.5528335129182581,NS,OG0001541,Ag,2913
Ag00001aa031384_T003,0.1775989293277334,1,-0,NS,OG0000719,Ag,907
Ag00001aa147782_T001,-0.10935875603655625,0.898239628637,0.04660778859781802,NS,OG0022023,Ag,1796
Ag00001aa130618_T001,-0.4619585466663364,0.18401681106304,0.7351424997164978,NS,OG0000815,Ag,2944
Ag00001aa011538_T001,0.4646682670034442,1,-0,NS,OG0002396,Ag,473
Ag00001aa081306_T001,-0.0923401721467106,1,-0,NS,NA,Ag,1736
Ag00001aa119814_T001,-0.1648843847417823,1,-0,NS,OG0001069,Ag,2005
Ag00001aa095452_T001,-0.15200309344504995,1,-0,NS,NA,Ag,1955
Ag00001aa121958_T001,0.39725534559442727,1,-0,NS,OG0003555,Ag,541
Ag00001aa047912_T003,0.4781952579391659,0.155278787214628,0.808887869608692,NS,OG0005931,Ag,463
Ag00001aa033729_T001,0.259423152281415,0.979614715986975,0.00894469943142443,NS,OG0000976,Ag,752
Ag00001aa061442_T002,0.2666366425139895,0.300057342599574,0.5227957412976152,NS,OG0015397,Ag,737
Ag00001aa040761_T001,-0.01304303747559888,1,-0,NS,OG0000646,Ag,1478
Ag00001aa082247_T001,0.6238668618526982,0.0686295258983334,1.1634890012615775,NS,NA,Ag,356
Ag00001aa058201_T001,-0.3183258582071667,0.638216170685697,0.19503219614596168,NS,NA,Ag,2497
Ag00001aa065197_T001,-1.0086822430998008,0.0534853094637296,1.271765487043104,NS,OG0000565,Ag,3549
Ag00001aa154264_T001,-0.4540316308947075,0.572211714409334,0.24244325549395768,NS,NA,Ag,2933
Ag00001aa005257_T002,-0.28278970098040423,1,-0,NS,NA,Ag,2389
Ag00001aa026961_T001,0.5380414533336636,0.254161168724078,0.5948908011347532,NS,OG0007047,Ag,408
Ag00001aa027796_T001,0.4583820041560132,0.228298660720295,0.6414966362254532,NS,OG0000646,Ag,481
Ag00001aa149606_T001,-0.8756718649977983,0.851821919526265,0.06965118862618049,NS,OG0001479,Ag,3468
Ag00001aa155640_T001,0.07450543636362976,1,-0,NS,NA,Ag,1192
Ag00001aa039074_T001,0.00719550140420376,1,-0,NS,NA,Ag,1410
Ag00001aa001831_T004,-0.8809758968577254,0.0419953986088286,1.3767982921799529,NS,OG0014651,Ag,3470
Ag00001aa070727_T001,0.45417589318580215,1,-0,NS,OG0000355,Ag,484
Ag00001aa030349_T005,-0.00868224309980088,1,-0,NS,NA,Ag,1459
Ag00001aa078571_T001,-0.22095044716254147,1,-0,NS,NA,Ag,2191
Ag00001aa116166_T001,0.3173040683619148,0.372006220360183,0.42944979816778794,NS,OG0008813,Ag,650
Ag00001aa014694_T001,-1.7083964419694353,0.0189930400468658,1.7214055160470516,Down,NA,Ag,3697
Ag00001aa076244_T001,0.5743437539200129,0.849323099087131,0.07092706422365448,NS,OG0000507,Ag,387
Ag00001aa041516_T001,2.106348319505147,0.00588758169832603,2.2300630533855954,Up,OG0009444,Ag,29
Ag00001aa130017_T002,0.05519565424212462,1,-0,NS,OG0013219,Ag,1250
Ag00001aa029002_T001,0.3617683594191533,1,-0,NS,OG0015001,Ag,593
Ag00001aa130276_T001,-0.5777669993169522,1,-0,NS,OG0006631,Ag,3150
Ag00001aa027593_T002,-0.5907448533151622,0.938503378968272,0.0275641594148956,NS,OG0000047,Ag,3172
Ag00001aa083010_T003,0.1915626507007556,0.847338037153973,0.07194329759961468,NS,OG0006631,Ag,873
Ag00001aa125063_T001,-0.09541956507868243,1,-0,NS,OG0008813,Ag,1745
Ag00001aa068346_T001,0.8455904088478547,0.00548598676405933,2.2607452445446374,NS,OG0001187,Ag,246
Ag00001aa009376_T001,0.3796209620557083,0.057243794718657,1.2422715843681014,NS,NA,Ag,564
Ag00001aa118812_T001,-0.5145731728297583,1,-0,NS,OG0002600,Ag,3039
Ag00001aa128547_T001,0.4425454561053042,0.229246155244113,0.6396979392796116,NS,OG0004800,Ag,494
Ag00001aa047694_T002,-0.2968993003958401,0.44775663737173,0.348957967617286,NS,OG0010182,Ag,2438
