protein_id	protein_id_base	orthogroup	short_name	species	log2FC	padj	description
Ag00001aa046023_T001	Ag00001aa046023	OG0020094	Ag00001aa046023	Ag	-0.9971174914668788	0.0202654392322005	SHSP domain-containing protein
Ag00001aa047169_T001	Ag00001aa047169	OG0000034	Ag00001aa047169	Ag	1.415217824888839	0.0207926349507337	Heat shock protein 70
Ag00001aa052028_T001	Ag00001aa052028	OG0007520	Ag00001aa052028	Ag	1.2732174731034955	0.211191957002555	17.4 kDa class III heat shock protein
Ag00001aa064784_T001	Ag00001aa064784	OG0018783	Ag00001aa064784	Ag	0.45417589318580215	1	Heat shock protein 101
Ag00001aa065363_T001	Ag00001aa065363	OG0004696	Ag00001aa065363	Ag	-1.207561069935362	0.0226361678828063	SHSP domain-containing protein
Ag00001aa069417_T001	Ag00001aa069417	OG0018783	Ag00001aa069417	Ag	0.22897256976016075	1	Heat shock protein 101
Ag00001aa070523_T002	Ag00001aa070523	OG0009410	Ag00001aa070523	Ag	-0.02326977932284719	1	Heat shock protein DnaJ, cysteine-rich domain superfamily
Ag00001aa070760_T001	Ag00001aa070760	OG0015605	Ag00001aa070760	Ag	0.6182386555954547	0.729154531999189	Stromal 70 kDa heat shock-related protein, chloroplastic
Ag00001aa076788_T001	Ag00001aa076788	OG0001076	Ag00001aa076788	Ag	-0.9686048037244656	0.280005451669809	SHSP domain-containing protein
Ag00001aa076840_T001	Ag00001aa076840	OG0001076	Ag00001aa076840	Ag	-0.7809089417538033	0.0888979226052492	SHSP domain-containing protein
Ag00001aa078823_T001	Ag00001aa078823	OG0000288	Ag00001aa078823	Ag	2.3801753117420255	0.00241271314796717	Class I heat shock protein 1
Ag00001aa096403_T001	Ag00001aa096403	OG0000034	Ag00001aa096403	Ag	0.2078928516413329	0.487048992428398	Heat shock protein 70
Ag00001aa096933_T001	Ag00001aa096933	OG0006673	Ag00001aa096933	Ag	-0.8236772273595371	0.225095140436502	SHSP domain-containing protein
Ag00001aa097918_T001	Ag00001aa097918	OG0000288	Ag00001aa097918	Ag	2.2764966656403565	0.00574634529669289	Class I heat shock protein 1
Ag00001aa097924_T001	Ag00001aa097924	OG0000288	Ag00001aa097924	Ag	2.25368678273227	0.00739857988744178	Class I heat shock protein 1
Ag00001aa100594_T001	Ag00001aa100594	OG0015134	Ag00001aa100594	Ag	2.0854246562526777	5.3184670064337e-4	Heat shock protein, mitochondrial
Ag00001aa101269_T001	Ag00001aa101269	OG0015093	Ag00001aa101269	Ag	-0.6192705514964515	0.938503378968272	Cytosolic class I small heat shock protein type 2 (Fragment)
Ag00001aa102535_T001	Ag00001aa102535	OG0000034	Ag00001aa102535	Ag	1.020768865094572	0.678364177187468	Heat shock protein 70
Ag00001aa102742_T001	Ag00001aa102742	OG0016578	Ag00001aa102742	Ag	2.032100843167024	0.0404146172763369	Small heat shock protein 26
Ag00001aa104405_T001	Ag00001aa104405	OG0000034	Ag00001aa104405	Ag	0.48336436071334926	0.785893818116899	Heat shock protein 70
Ag00001aa107383_T001	Ag00001aa107383	OG0001287	Ag00001aa107383	Ag	0.5897634869849773	0.0536254453114337	Heat shock 70 kDa protein 14
Ag00001aa111548_T001	Ag00001aa111548	OG0004696	Ag00001aa111548	Ag	-0.98564470702292994	0.0099019623976208	SHSP domain-containing protein
Ag00001aa118595_T001	Ag00001aa118595	OG0000288	Ag00001aa118595	Ag	1.7110543218120664	0.0418137416090844	Small heat shock protein HSP
Ag00001aa123995_T001	Ag00001aa123995	OG0016115	Ag00001aa123995	Ag	1.78114985171021	0.0150219343149818	23.2 kDa heat shock protein-like
Ag00001aa140129_T001	Ag00001aa140129	OG0021616	Ag00001aa140129	Ag	0.45943161863729726	0.561928907764845	Heat shock protein 90-5, chloroplastic
Ag00001aa143292_T001	Ag00001aa143292	OG0005483	Ag00001aa143292	Ag	1.6290068334271774	0.11600082341195	Small heat shock protein HSP17.8
Ag00001aa143736_T001	Ag00001aa143736	OG0000288	Ag00001aa143736	Ag	2.125320473714413	0.00217309480965639	Class I heat shock protein 1
Ag00001aa146881_T001	Ag00001aa146881	OG0020094	Ag00001aa146881	Ag	-1.0086822430998008	0.0917568285078359	SHSP domain-containing protein
Ag00001aa156538_T001	Ag00001aa156538	OG0000110	Ag00001aa156538	Ag	1.8675011509223944	0.031423668161717	Heat shock protein 83
Misin01G119000.1.v7.1	Misin01G119000.1.v7.1	OG0015605	Misin01G119000	Mg	0.4820337459862798	0.521983392924169	Stromal 70 kDa heat shock-related protein, chloroplastic
Misin01G237900.1.v7.1	Misin01G237900.1.v7.1	OG0020906	Misin01G237900	Mg	-0.23530574013961153	1	SHSP domain-containing protein
Misin01G399900.1.v7.1	Misin01G399900.1.v7.1	OG0000034	Misin01G399900	Mg	0.3616914587479969	0.868656567775599	Heat shock protein 70
Misin01G404800.1.v7.1	Misin01G404800.1.v7.1	OG0001787	Misin01G404800	Mg	0.39968953494540777	0.731075671352898	Class I small heat shock protein 18 kDa
Misin01G434000.1.v7.1	Misin01G434000.1.v7.1	OG0021022	Misin01G434000	Mg	0.5528119771174502	0.0435988960889557	Heat shock 70 kDa protein 8
Misin02G112800.1.v7.1	Misin02G112800.1.v7.1	OG0009410	Misin02G112800	Mg	-1.2149366164174005	0.00605262385026093	Heat shock protein DnaJ, cysteine-rich domain superfamily
Misin02G408300.1.v7.1	Misin02G408300.1.v7.1	OG0000034	Misin02G408300	Mg	1.174920182646975	0.166967085789677	Heat shock protein 70
Misin02G415700.1.v7.1	Misin02G415700.1.v7.1	OG0016578	Misin02G415700	Mg	0.9316326696938138	0.0274808455651435	Small heat shock protein 26
Misin04G230900.1.v7.1	Misin04G230900.1.v7.1	OG0009129	Misin04G230900	Mg	0.03339720988010833	0.221533557767708	Heat shock 70 kDa protein, mitochondrial
Misin05G041600.1.v7.1	Misin05G041600.1.v7.1	OG0005483	Misin05G041600	Mg	0.8522652381917538	0.369478228950989	Small heat shock protein HSP17.8
Misin05G079800.1.v7.1	Misin05G079800.1.v7.1	OG0000288	Misin05G079800	Mg	0.47632933768961966	0.04863564412882	Class I heat shock protein 1
Misin05G344000.1.v7.1	Misin05G344000.1.v7.1	OG0000034	Misin05G344000	Mg	0.527851864186379	0.256288978759956	Heat shock protein 70
Misin07G082500.1.v7.1	Misin07G082500.1.v7.1	OG0015134	Misin07G082500	Mg	0.6914828243721981	0.160938813103999	Heat shock protein, mitochondrial
Misin07G223000.1.v7.1	Misin07G223000.1.v7.1	OG0000110	Misin07G223000	Mg	-0.00716571857700465	1	Heat shock protein 90
Misin07G464400.1.v7.1	Misin07G464400.1.v7.1	OG0004387	Misin07G464400	Mg	0.20575689871992717	1	Heat shock 70 kDa protein 17
Misin07G513900.1.v7.1	Misin07G513900.1.v7.1	OG0007520	Misin07G513900	Mg	1.031260748203037	0.0173656297551029	Class II heat shock protein
Misin08G024500.1.v7.1	Misin08G024500.1.v7.1	OG0015093	Misin08G024500	Mg	-0.3107875372821622	1	Cytosolic class I small heat shock protein type 2 (Fragment)
Misin11G002300.1.v7.1	Misin11G002300.1.v7.1	OG0000110	Misin11G002300	Mg	0.8039499286410747	0.739214157970322	Heat shock protein 90
Misin12G093600.1.v7.1	Misin12G093600.1.v7.1	OG0016115	Misin12G093600	Mg	0.10633123505976771	0.982244658203084	22.0 kDa class IV heat shock protein
Misin13G196900.1.v7.1	Misin13G196900.1.v7.1	OG0019535	Misin13G196900	Mg	0.7394296341176869	0.0335365227865821	Heat shock protein 90-5, chloroplastic
Misin14G101000.1.v7.1	Misin14G101000.1.v7.1	OG0021382	Misin14G101000	Mg	0.07871197601404047	1	Hsp90 protein, expressed
Misin14G109700.1.v7.1	Misin14G109700.1.v7.1	OG0000034	Misin14G109700	Mg	-0.438872984293352	0.149952050949406	Heat shock protein 70
Misin16G064800.1.v7.1	Misin16G064800.1.v7.1	OG0001287	Misin16G064800	Mg	0.10436735578045742	1	Heat shock 70 kDa protein 14
Misin16G064900.1.v7.1	Misin16G064900.1.v7.1	OG0001287	Misin16G064900	Mg	0.09608134067160184	0.0182189329740397	Heat shock 70 kDa protein 14
Misin16G208700.1.v7.1	Misin16G208700.1.v7.1	OG0018783	Misin16G208700	Mg	1.0764858448333714	0.330048506393247	Heat shock protein 101
Misin16G252400.1.v7.1	Misin16G252400.1.v7.1	OG0004696	Misin16G252400	Mg	0.3921332293484576	0.710853132482621	SHSP domain-containing protein
MisinT248400.1.v7.1	MisinT248400.1.v7.1	OG0000110	MisinT248400	Mg	0.18776945640135112	0.212502606725548	Heat shock protein 90
PvWBCH1.1KG077700.1.v1.1	PvWBCH1.1KG077700.1.v1.1	OG0015134	PvWBCH1.1KG077700	Pv	1.946356571633634	0.00447331763624707	Heat shock protein, mitochondrial
PvWBCH1.1KG290900.1.v1.1	PvWBCH1.1KG290900.1.v1.1	OG0004387	PvWBCH1.1KG290900	Pv	-0.2463954637200048	1	Heat shock 70 kDa protein 17
PvWBCH1.1NG277800.1.v1.1	PvWBCH1.1NG277800.1.v1.1	OG0004387	PvWBCH1.1NG277800	Pv	-0.2968993003958401	1	Heat shock 70 kDa protein 17
PvWBCH1.1NG326900.1.v1.1	PvWBCH1.1NG326900.1.v1.1	OG0007520	PvWBCH1.1NG326900	Pv	2.058316495590823	0.00183289878745938	Class III heat shock protein
PvWBCH1.2KG250700.1.v1.1	PvWBCH1.2KG250700.1.v1.1	OG0000110	PvWBCH1.2KG250700	Pv	0.46675761572617136	0.153326349514118	Heat shock protein 90
PvWBCH1.2KG251000.1.v1.1	PvWBCH1.2KG251000.1.v1.1	OG0000110	PvWBCH1.2KG251000	Pv	0.20037879798402625	1	Heat shock protein 90
PvWBCH1.2NG197400.1.v1.1	PvWBCH1.2NG197400.1.v1.1	OG0002396	PvWBCH1.2NG197400	Pv	-0.6757654377294687	0.225289572140475	Heat shock 70 kDa protein, mitochondrial
PvWBCH1.2NG232500.1.v1.1	PvWBCH1.2NG232500.1.v1.1	OG0009129	PvWBCH1.2NG232500	Pv	-1.0954195650786824	0.0151925297204059	Heat shock 70 kDa protein, mitochondrial
PvWBCH1.3KG127400.1.v1.1	PvWBCH1.3KG127400.1.v1.1	OG0001287	PvWBCH1.3KG127400	Pv	-0.1584293626044829	0.977109267520813	Heat shock 70 kDa protein 14
PvWBCH1.3KG142000.1.v1.1	PvWBCH1.3KG142000.1.v1.1	OG0004696	PvWBCH1.3KG142000	Pv	-0.4481148965282752	0.656095447371528	SHSP domain-containing protein
PvWBCH1.3KG190900.1.v1.1	PvWBCH1.3KG190900.1.v1.1	OG0018783	PvWBCH1.3KG190900	Pv	1.8964656161894256	0.0405908610817032	Heat shock protein 101
PvWBCH1.3KG231500.1.v1.1	PvWBCH1.3KG231500.1.v1.1	OG0000034	PvWBCH1.3KG231500	Pv	1.4662355621504046	0.120218605603355	Heat shock protein 70
PvWBCH1.3KG264200.1.v1.1	PvWBCH1.3KG264200.1.v1.1	OG0015605	PvWBCH1.3KG264200	Pv	0.5636462694840639	0.882234379630458	Stromal 70 kDa heat shock-related protein, chloroplastic
PvWBCH1.3KG354000.1.v1.1	PvWBCH1.3KG354000.1.v1.1	OG0021382	PvWBCH1.3KG354000	Pv	0.794103898559748	0.00180066647579801	Hsp90 protein, expressed
PvWBCH1.3NG119300.1.v1.1	PvWBCH1.3NG119300.1.v1.1	OG0001287	PvWBCH1.3NG119300	Pv	0.04963076772460043	1	Heat shock 70 kDa protein 14
PvWBCH1.3NG119400.1.v1.1	PvWBCH1.3NG119400.1.v1.1	OG0001287	PvWBCH1.3NG119400	Pv	-0.77595972578207	0.0580498364623448	Heat shock 70 kDa protein 14
PvWBCH1.3NG134200.1.v1.1	PvWBCH1.3NG134200.1.v1.1	OG0004696	PvWBCH1.3NG134200	Pv	-0.00868224309980088	1	SHSP domain-containing protein
PvWBCH1.3NG220600.1.v1.1	PvWBCH1.3NG220600.1.v1.1	OG0000034	PvWBCH1.3NG220600	Pv	0.9267585319864652	0.0349340766469308	Heat shock protein 70
PvWBCH1.3NG333500.1.v1.1	PvWBCH1.3NG333500.1.v1.1	OG0021382	PvWBCH1.3NG333500	Pv	0.9605117101190244	0.00256049532286676	Hsp90 protein, expressed
PvWBCH1.3NG353800.1.v1.1	PvWBCH1.3NG353800.1.v1.1	OG0000034	PvWBCH1.3NG353800	Pv	-0.4739311883324124	0.00170375034145257	Heat shock protein 70
PvWBCH1.5KG035600.1.v1.1	PvWBCH1.5KG035600.1.v1.1	OG0005483	PvWBCH1.5KG035600	Pv	1.8455904088478547	0.114941843984298	Small heat shock protein HSP17.8
PvWBCH1.5KG074200.1.v1.1	PvWBCH1.5KG074200.1.v1.1	OG0000288	PvWBCH1.5KG074200	Pv	0.4781952579391659	1	Class I heat shock protein 1
PvWBCH1.5KG363600.1.v1.1	PvWBCH1.5KG363600.1.v1.1	OG0000034	PvWBCH1.5KG363600	Pv	1.9645834627768648	7.3685387069289e-4	Heat shock protein 70
PvWBCH1.5NG034900.1.v1.1	PvWBCH1.5NG034900.1.v1.1	OG0005483	PvWBCH1.5NG034900	Pv	2.0036022366801953	0.0767352101361487	Small heat shock protein HSP17.8
PvWBCH1.5NG068600.1.v1.1	PvWBCH1.5NG068600.1.v1.1	OG0000288	PvWBCH1.5NG068600	Pv	0.916858764699754	0.927117771289197	Class I heat shock protein 1
PvWBCH1.5NG068700.1.v1.1	PvWBCH1.5NG068700.1.v1.1	OG0000288	PvWBCH1.5NG068700	Pv	1.7285736025593648	0.944998612712393	Class I heat shock protein 1
PvWBCH1.5NG068800.1.v1.1	PvWBCH1.5NG068800.1.v1.1	OG0002120	PvWBCH1.5NG068800	Pv	1.4173799759730228	1	Class I heat shock protein 1
PvWBCH1.5NG350300.1.v1.1	PvWBCH1.5NG350300.1.v1.1	OG0000034	PvWBCH1.5NG350300	Pv	2.142740172116082	1.3502611418567e-4	Heat shock protein 70
PvWBCH1.6KG196100.1.v1.1	PvWBCH1.6KG196100.1.v1.1	OG0019535	PvWBCH1.6KG196100	Pv	0.5935928058645962	0.0815006377133365	Heat shock protein 90-5, chloroplastic
PvWBCH1.6KG203900.1.v1.1	PvWBCH1.6KG203900.1.v1.1	OG0000110	PvWBCH1.6KG203900	Pv	0.08814159686901755	0.510879663828965	Heat shock protein 90
PvWBCH1.6NG174400.1.v1.1	PvWBCH1.6NG174400.1.v1.1	OG0019535	PvWBCH1.6NG174400	Pv	0.6580972053513715	0.853024356522668	Heat shock protein 90-5, chloroplastic
PvWBCH1.6NG181400.1.v1.1	PvWBCH1.6NG181400.1.v1.1	OG0000110	PvWBCH1.6NG181400	Pv	0.15185881672700494	0.613694151038918	Heat shock protein 90
PvWBCH1.7KG010400.1.v1.1	PvWBCH1.7KG010400.1.v1.1	OG0000110	PvWBCH1.7KG010400	Pv	0.969380764941608	1	Heat shock protein 90
PvWBCH1.7NG124600.1.v1.1	PvWBCH1.7NG124600.1.v1.1	OG0016115	PvWBCH1.7NG124600	Pv	0.4478436443620855	1	22.0 kDa class IV heat shock protein
PvWBCH1.9KG029100.1.v1.1	PvWBCH1.9KG029100.1.v1.1	OG0000034	PvWBCH1.9KG029100	Pv	-0.5416179958439868	1	Heat shock protein 70
PvWBCH1.9KG265000.1.v1.1	PvWBCH1.9KG265000.1.v1.1	OG0020906	PvWBCH1.9KG265000	Pv	-0.4941090702700427	1	SHSP domain-containing protein
PvWBCH1.9KG414100.1.v1.1	PvWBCH1.9KG414100.1.v1.1	OG0000034	PvWBCH1.9KG414100	Pv	1.7642612182171138	0.649176170470157	Heat shock protein 70
PvWBCH1.9KG415900.1.v1.1	PvWBCH1.9KG415900.1.v1.1	OG0000034	PvWBCH1.9KG415900	Pv	0.9191493632876744	0.00764678876956352	Heat shock protein 70
PvWBCH1.9KG435500.1.v1.1	PvWBCH1.9KG435500.1.v1.1	OG0016578	PvWBCH1.9KG435500	Pv	1.1865005576444947	1	Small heat shock protein 26
PvWBCH1.9KG452000.1.v1.1	PvWBCH1.9KG452000.1.v1.1	OG0021022	PvWBCH1.9KG452000	Pv	3.1191901496454086	0.535565099975388	Heat shock 70 kDa protein 8
PvWBCH1.9NG139200.1.v1.1	PvWBCH1.9NG139200.1.v1.1	OG0009410	PvWBCH1.9NG139200	Pv	0.01863417413905097	1	Heat shock protein DnaJ, cysteine-rich domain superfamily
PvWBCH1.9NG175400.1.v1.1	PvWBCH1.9NG175400.1.v1.1	OG0002396	PvWBCH1.9NG175400	Pv	0.5330649218696376	0.0871659924236278	Heat shock 70 kDa protein, mitochondrial
PvWBCH1.9NG253700.1.v1.1	PvWBCH1.9NG253700.1.v1.1	OG0020906	PvWBCH1.9NG253700	Pv	-0.4285658841234909	1	SHSP domain-containing protein
PvWBCH1.9NG253800.1.v1.1	PvWBCH1.9NG253800.1.v1.1	OG0011004	PvWBCH1.9NG253800	Pv	-0.5228407888133588	1	SHSP domain-containing protein
PvWBCH1.9NG404600.1.v1.1	PvWBCH1.9NG404600.1.v1.1	OG0000034	PvWBCH1.9NG404600	Pv	0.662661255475094	0.574429718451396	Heat shock protein 70
PvWBCH1.9NG411800.1.v1.1	PvWBCH1.9NG411800.1.v1.1	OG0001787	PvWBCH1.9NG411800	Pv	0.5607149544744789	1	Class I small heat shock protein 18 kDa
PvWBCH1.9NG424600.1.v1.1	PvWBCH1.9NG424600.1.v1.1	OG0016578	PvWBCH1.9NG424600	Pv	-0.1877071551267289	1	Small heat shock protein 26
PvWBCH1.9NG442300.1.v1.1	PvWBCH1.9NG442300.1.v1.1	OG0021022	PvWBCH1.9NG442300	Pv	1.3679301414318827	0.0113746653894196	Heat shock 70 kDa protein 8
Sn00001aa000813_T001	Sn00001aa000813	OG0016578	Sn00001aa000813	Sn	1.1083571780904184	0.660366774581772	Small heat shock protein 26
Sn00001aa000915_T001	Sn00001aa000915	OG0001787	Sn00001aa000915	Sn	0.9656919492247048	0.372889369773862	Class I small heat shock protein 18 kDa
Sn00001aa002809_T001	Sn00001aa002809	OG0000110	Sn00001aa002809	Sn	0.06073915785767853	1	Heat shock protein 90
Sn00001aa010671_T001	Sn00001aa010671	OG0000034	Sn00001aa010671	Sn	0.7501777055930572	0.0329717239335946	Heat shock protein 70
Sn00001aa011205_T001	Sn00001aa011205	OG0016578	Sn00001aa011205	Sn	1.84799690655495	0.515693678278567	Small heat shock protein 26
Sn00001aa012884_T003	Sn00001aa012884	OG0021616	Sn00001aa012884	Sn	0.7128158544373718	0.116743023252189	Heat shock protein 90-5, chloroplastic
Sn00001aa013545_T001	Sn00001aa013545	OG0020906	Sn00001aa013545	Sn	0.01292617444427004	1	SHSP domain-containing protein
Sn00001aa014825_T001	Sn00001aa014825	OG0021022	Sn00001aa014825	Sn	1.8773516264492625	0.0124780337708416	Heat shock 70 kDa protein 8
Sn00001aa015830_T001	Sn00001aa015830	OG0016115	Sn00001aa015830	Sn	1.473527177156759	0.291789774108213	22.0 kDa class IV heat shock protein
Sn00001aa022665_T003	Sn00001aa022665	OG0002396	Sn00001aa022665	Sn	0.3402774047662543	0.261506970899988	Heat shock 70 kDa protein, mitochondrial
Sn00001aa038524_T001	Sn00001aa038524	OG0007520	Sn00001aa038524	Sn	1.9045804349213176	0.174664031825993	17.4 kDa class III heat shock protein
Sn00001aa038855_T001	Sn00001aa038855	OG0004387	Sn00001aa038855	Sn	-0.248107861595691	1	Heat shock 70 kDa protein 17
Sn00001aa041377_T001	Sn00001aa041377	OG0000288	Sn00001aa041377	Sn	1.652142272136664	0.0124780337708416	Class I heat shock protein 1
Sn00001aa042524_T001	Sn00001aa042524	OG0000288	Sn00001aa042524	Sn	1.4895429356424736	0.189100599041607	Class I heat shock protein 1
Sn00001aa045518_T001	Sn00001aa045518	OG0005483	Sn00001aa045518	Sn	1.5680321047712789	0.0279686136440513	Class II heat shock protein
Sn00001aa050820_T002	Sn00001aa050820	OG0021382	Sn00001aa050820	Sn	0.36064520246021614	0.201600573388641	Hsp90 protein, expressed
Sn00001aa051040_T001	Sn00001aa051040	OG0000110	Sn00001aa051040	Sn	0.21163525332714944	0.790279626503762	Heat shock protein 90
Sn00001aa051098_T001	Sn00001aa051098	OG0009129	Sn00001aa051098	Sn	0.05102400302446689	1	Heat shock 70 kDa protein, mitochondrial
Sn00001aa057166_T001	Sn00001aa057166	OG0001287	Sn00001aa057166	Sn	-0.0923401721467106	1	Heat shock 70 kDa protein 14
Sn00001aa062351_T001	Sn00001aa062351	OG0000034	Sn00001aa062351	Sn	-0.7685675915520349	0.125063561455587	Heat shock protein 70
Sn00001aa064277_T001	Sn00001aa064277	OG0000034	Sn00001aa064277	Sn	0.4604804700400108	0.0888134846116766	Heat shock protein 70
Sn00001aa064974_T001	Sn00001aa064974	OG0018783	Sn00001aa064974	Sn	1.364572432295856	0.105588867729959	Heat shock protein 101
Sn00001aa066125_T002	Sn00001aa066125	OG0000110	Sn00001aa066125	Sn	0.5859239769586013	0.350524220856379	Heat shock protein 90
Sn00001aa069696_T001	Sn00001aa069696	OG0015134	Sn00001aa069696	Sn	1.6107000621347642	0.0726289947966629	Heat shock protein, mitochondrial
Sn00001aa078393_T003	Sn00001aa078393	OG0009410	Sn00001aa078393	Sn	-0.6016496296540352	0.373056803573925	Heat shock protein DnaJ, cysteine-rich domain superfamily
Sn00001aa093379_T001	Sn00001aa093379	OG0000288	Sn00001aa093379	Sn	1.70310069960416	0.358248026461206	Class I heat shock protein 1
Sn00001aa098268_T001	Sn00001aa098268	OG0000034	Sn00001aa098268	Sn	-0.17788172527065546	1	Heat shock protein 70
Sn00001aa099108_T001	Sn00001aa099108	OG0000110	Sn00001aa099108	Sn	0.1096948648259298	1	Heat shock protein 90
Td00001aa001425_T001	Td00001aa001425	OG0000110	Td00001aa001425	Trip	0.2945599862976245	0.0578160577685803	Heat shock protein 90
Td00001aa001478_T001	Td00001aa001478	OG0021616	Td00001aa001478	Trip	0.604071323668861	0.0304403064672645	Heat shock protein 90-5, chloroplastic
Td00001aa003426_T001	Td00001aa003426	OG0007520	Td00001aa003426	Trip	0.9644677648218205	0.00305607195918078	17.4 kDa class III heat shock protein
Td00001aa003439_T003	Td00001aa003439	OG0022398	Td00001aa003439	Trip	0.832687516439532	7.2015560182849e-4	Putative lipase/calmodulin-binding heat-shock protein
Td00001aa003830_T003	Td00001aa003830	OG0004387	Td00001aa003830	Trip	-0.17662389851944926	0.0937336948903199	Heat shock 70 kDa protein 17
Td00001aa004876_T002	Td00001aa004876	OG0029497	Td00001aa004876	Trip	0.319617934200161	0.0204490231838442	Heat-shock protein DnaJ
Td00001aa005271_T001	Td00001aa005271	OG0015134	Td00001aa005271	Trip	2.46100460993347	0.0822298724091538	Heat shock protein, mitochondrial
Td00001aa006196_T003	Td00001aa006196	OG0000034	Td00001aa006196	Trip	0.150544541043876	0.417297397980317	Heat shock protein 70
Td00001aa006317_T002	Td00001aa006317	OG0021382	Td00001aa006317	Trip	0.3348562212040308	0.00818020434422364	Hsp90 protein, expressed
Td00001aa008295_T001	Td00001aa008295	OG0000034	Td00001aa008295	Trip	0.5845939697211985	3.88218348085966e-7	Heat shock protein 70
Td00001aa008985_T001	Td00001aa008985	OG0005483	Td00001aa008985	Trip	2.1064634051311497	3.10291975989348e-7	Small heat shock protein HSP17.8
Td00001aa009246_T001	Td00001aa009246	OG0000288	Td00001aa009246	Trip	3.33485426933163	0.0629273456307403	Class I heat shock protein 1
Td00001aa010844_T002	Td00001aa010844	OG0000034	Td00001aa010844	Trip	0.7899975884986665	6.23094128374256e-10	Heat shock protein 70
Td00001aa011576_T001	Td00001aa011576	OG0000034	Td00001aa011576	Trip	0.055133479597669	0.930892453929169	Heat shock protein 70
Td00001aa011771_T001	Td00001aa011771	OG0006673	Td00001aa011771	Trip	-0.147202107181229	0.937381246801419	SHSP domain-containing protein
Td00001aa012926_T001	Td00001aa012926	OG0016115	Td00001aa012926	Trip	1.55040819321728	0.0248826777645201	22.0 kDa class IV heat shock protein
Td00001aa014362_T001	Td00001aa014362	OG0016578	Td00001aa014362	Trip	3.43006221938039	2.26631468285949e-12	Small heat shock protein, chloroplastic
Td00001aa014480_T001	Td00001aa014480	OG0001787	Td00001aa014480	Trip	0.8723762723184749	0.00995038490659379	SHSP domain-containing protein
Td00001aa014533_T001	Td00001aa014533	OG0000034	Td00001aa014533	Trip	0.15704371014558	0.53513730613583	Heat shock protein 70
Td00001aa015805_T001	Td00001aa015805	OG0026876	Td00001aa015805	Trip	-0.401634794676355	0.125622835507549	SHSP domain-containing protein
