protein_id	protein_id_base	orthogroup	short_name	species	log2FC	padj	description
PvWBCH1.2NG380200.1.v1.1	PvWBCH1.2NG380200.1.v1.1	OG0002772	PvWBCH1.2NG380200	Pv	0.05241589415113853	1	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
PvWBCH1.7KG042300.1.v1.1	PvWBCH1.7KG042300.1.v1.1	OG0003463	PvWBCH1.7KG042300	Pv	0.3895668117627256	0.00178043854568827	Eukaryotic peptide chain release factor GTP-binding subunit
PvWBCH1.7NG043500.1.v1.1	PvWBCH1.7NG043500.1.v1.1	OG0003463	PvWBCH1.7NG043500	Pv	0.4615285594728771	0.2414060402801	Eukaryotic peptide chain release factor GTP-binding subunit
Sn00001aa003917_T001	Sn00001aa003917	OG0002772	Sn00001aa003917	Sn	-0.34923544088309766	0.124157057635085	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
Sn00001aa011707_T001	Sn00001aa011707	OG0002772	Sn00001aa011707	Sn	-0.4500844463780446	1	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
Sn00001aa055325_T001	Sn00001aa055325	OG0000037	Sn00001aa055325	Sn	-0.5374241119577958	0.914573108198986	Elongation factor 1-alpha
Sn00001aa065833_T003	Sn00001aa065833	OG0003463	Sn00001aa065833	Sn	0.6294731967869486	0.793117790212351	Eukaryotic peptide chain release factor GTP-binding subunit
Sn00001aa083564_T001	Sn00001aa083564	OG0003463	Sn00001aa083564	Sn	0.25096157353321874	1	Eukaryotic peptide chain release factor GTP-binding subunit
Td00001aa000086_T002	Td00001aa000086	OG0002772	Td00001aa000086	Trip	0.26019807636849646	0.0931877675818175	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
Td00001aa000336_T002	Td00001aa000336	OG0011388	Td00001aa000336	Trip	0.4721186692045427	0.00264060412071757	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
Td00001aa000646_T001	Td00001aa000646	OG0000037	Td00001aa000646	Trip	-0.422752464406849	0.317798903559542	Elongation factor 1-alpha
Td00001aa013264_T003	Td00001aa013264	OG0003463	Td00001aa013264	Trip	-0.0293290201838016	0.918447633053048	Eukaryotic peptide chain release factor GTP-binding subunit
Td00001aa018119_T001	Td00001aa018119	OG0000037	Td00001aa018119	Trip	0.13455657591144052	0.0568013523818929	Elongation factor 1-alpha
Td00001aa023457_T002	Td00001aa023457	OG0000037	Td00001aa023457	Trip	0.17440067722696223	0.0361492124952747	Elongation factor 1-alpha
Td00001aa029928_T001	Td00001aa029928	OG0003463	Td00001aa029928	Trip	-0.18856918084196	0.865533004059105	Eukaryotic peptide chain release factor GTP-binding subunit
Td00001aa030742_T001	Td00001aa030742	OG0011388	Td00001aa030742	Trip	0.45947126389034443	0.0593744943391762	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
