"gene_td","gene_zm","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa001541","Zm00001eb315130",0.981271887018479,-0.435687361198313,0.465669670726199,"NS","NS","NS"
"Td00001aa001544","Zm00001eb315060",-0.23505961969154,0.335780454371724,0.605913277867507,"NS","NS","NS"
"Td00001aa001550","Zm00001eb315020",-0.250615806787889,0.959679267763047,0.0118675077570922,"NS","NS","NS"
"Td00001aa001578","Zm00001eb314710",-0.256756615264432,0.172232086292281,0.648702741870966,"NS","NS","NS"
"Td00001aa001591","Zm00001eb314620",-0.0302608183380191,-1.48721621066997,0.00313022288566435,"NS","Down","NS"
"Td00001aa001592","Zm00001eb314610",-0.985033487144169,1.95605983622779,0.00868987234620328,"NS","Up","NS"
"Td00001aa001617","Zm00001eb314300",-0.101186301286003,0.499305238359438,0.144902110945589,"NS","NS","NS"
"Td00001aa001626","Zm00001eb314220",0.0663365368609204,0.414260514103295,0.385765679640992,"NS","NS","NS"
"Td00001aa001703","Zm00001eb313430",0.0311692068075966,0.369345213226599,0.654507738292674,"NS","NS","NS"
"Td00001aa001768","Zm00001eb312560",0.599435047175013,0.0146625059323183,0.988421696118217,"NS","NS","NS"
"Td00001aa001816","Zm00001eb312080",0.081893689496664,1.61622863293294,0.00300785832783175,"NS","Up","NS"
"Td00001aa001865","Zm00001eb311620",0.141599435940143,1.2151819083055,8.10368552117327e-05,"NS","Up","NS"
"Td00001aa001885","Zm00001eb311450",0.139228526542513,0.107528058494385,0.873003156004862,"NS","NS","NS"
"Td00001aa001943","Zm00001eb310830",-0.129947943004872,0.131625180106393,0.776116056628743,"NS","NS","NS"
"Td00001aa001961","Zm00001eb310530",-0.246542795324653,-0.865951433446982,0.10875609002695,"NS","NS","NS"
"Td00001aa001965","Zm00001eb310480",0.603368928747713,0.0828644106149474,0.847805566295425,"NS","NS","NS"
"Td00001aa001981","Zm00001eb310290",0.420926936197368,-0.0823937365346015,0.860247966703914,"NS","NS","NS"
"Td00001aa001998","Zm00001eb309980",-0.152650583551708,0.11544006086198,0.850560864520338,"NS","NS","NS"
"Td00001aa002029","Zm00001eb309660",-0.0580812517821468,0.265643176242543,0.410540640687029,"NS","NS","NS"
"Td00001aa002075","Zm00001eb309260",0.26213049356732,-0.4557887370337,0.254485496273431,"NS","NS","NS"
"Td00001aa002133","Zm00001eb308620",-0.625537936303777,0.484326648786605,0.404685604156914,"NS","NS","NS"
"Td00001aa002147","Zm00001eb308420",0.076594612647782,-0.164782348654556,0.85508273381807,"NS","NS","NS"
"Td00001aa002157","Zm00001eb308000",0.063566873174714,0.0343243141639458,0.959675342724436,"NS","NS","NS"
"Td00001aa002232","Zm00001eb307340",2.91622952373269,0.115778110880897,0.971731662487442,"Up","NS","NS"
"Td00001aa002263","Zm00001eb306930",-0.0230490059381358,0.846934938675734,0.00238607101714524,"NS","NS","NS"
"Td00001aa002278","Zm00001eb306680",0.127275284716866,0.360152833133648,0.389684450472136,"NS","NS","NS"
"Td00001aa002280","Zm00001eb306650",-1.41501339912584,0.0877983226450327,0.841562763479666,"Down","NS","NS"
"Td00001aa002302","Zm00001eb306410",-0.130716010700272,0.225936299968175,0.553993256292951,"NS","NS","NS"
"Td00001aa002304","Zm00001eb306380",-0.891149073751972,-0.822035070092885,0.0378895677809045,"NS","NS","NS"
"Td00001aa002316","Zm00001eb306310",-0.750389614675829,-0.763291884943685,0.00522414611048556,"NS","NS","NS"
"Td00001aa002331","Zm00001eb306210",-0.476227753597293,1.05872554651562,0.0191138050675028,"NS","Up","NS"
"Td00001aa002356","Zm00001eb096920",-0.40745955247943,0.288696681152008,0.457201856596697,"NS","NS","NS"
"Td00001aa002372","Zm00001eb305810",1.72034695182007,0.634394885537981,0.16606904148596,"Up","NS","NS"
"Td00001aa002382","Zm00001eb305750",-0.321126369393918,0.499905870773723,0.131463050152061,"NS","NS","NS"
"Td00001aa002383","Zm00001eb305710",-0.284844593459153,0.377055282144845,0.359345895953883,"NS","NS","NS"
"Td00001aa002406","Zm00001eb305460",-0.164533636292983,0.634303753274051,0.155094652470593,"NS","NS","NS"
"Td00001aa002517","Zm00001eb304310",-0.123961568715865,-0.0231846942744015,0.961956079100613,"NS","NS","NS"
"Td00001aa002518","Zm00001eb096980",-1.09158390636247,-1.12981646792015,0.0155783916151455,"NS","Down","NS"
"Td00001aa002537","Zm00001eb304090",-0.411926222996873,-0.0616070087163701,0.901246082756156,"NS","NS","NS"
"Td00001aa002569","Zm00001eb303740",-0.182552814768504,-0.246527807424836,0.630269901295026,"NS","NS","NS"
"Td00001aa002573","Zm00001eb303720",0.213845306272902,-0.259798955148598,0.527294373746862,"NS","NS","NS"
"Td00001aa002575","Zm00001eb303700",-0.200926521204472,0.315396174560131,0.531383349565833,"NS","NS","NS"
"Td00001aa002598","Zm00001eb303540",-0.278957633898144,-0.337434487666873,0.407685497899444,"NS","NS","NS"
"Td00001aa002600","Zm00001eb303380",-0.0805611260909085,-0.825976899103515,0.0345442420687274,"NS","NS","NS"
"Td00001aa002603","Zm00001eb303350",1.78717265109936,0.42440384600433,0.796781120892649,"Up","NS","NS"
"Td00001aa002606","Zm00001eb303280",-0.457245100053423,-0.105957677544004,0.809652144754761,"NS","NS","NS"
"Td00001aa002617","Zm00001eb303200",-0.142919282021644,0.38647779395232,0.446662947621785,"NS","NS","NS"
"Td00001aa002622","Zm00001eb303080",0.0067182791734865,0.0839853051379127,0.874166253290801,"NS","NS","NS"
"Td00001aa002632","Zm00001eb302980",0.547841036134393,0.0680456304090233,0.918966530016662,"NS","NS","NS"
"Td00001aa002636","Zm00001eb302940",-0.399353830719918,0.176345003799749,0.763937377949136,"NS","NS","NS"
"Td00001aa002661","Zm00001eb302680",-0.368207457996709,0.257886471777138,0.516076524968161,"NS","NS","NS"
"Td00001aa002689","Zm00001eb302400",0.292497791558851,0.543756958634698,0.0168620763123677,"NS","NS","NS"
"Td00001aa002692","Zm00001eb302360",-0.293322730923755,0.713172540352874,0.115562413555433,"NS","NS","NS"
"Td00001aa002694","Zm00001eb302330",0.198842031352773,0.944750705711892,0.0485515665552688,"NS","NS","NS"
"Td00001aa002709","Zm00001eb302200",-0.314846770095038,0.804462249309855,0.00615670748476739,"NS","NS","NS"
"Td00001aa002710","Zm00001eb302190",-0.22247693973782,-0.416232577054974,0.23642021165728,"NS","NS","NS"
"Td00001aa002713","Zm00001eb302140",0.419759585498369,0.633802312327866,0.0290545961345422,"NS","NS","NS"
"Td00001aa002733","Zm00001eb301680",-1.1053382622575,-1.42711145405481,0.0266563464988441,"Down","Down","Down"
"Td00001aa002739","Zm00001eb301540",0.498646110102855,0.649491445714453,0.237855514026371,"NS","NS","NS"
"Td00001aa002746","Zm00001eb301440",0.0806053565646718,0.187942644319275,0.603930235530286,"NS","NS","NS"
"Td00001aa002748","Zm00001eb301420",0.203987478168479,-0.114060702139969,0.80011437393459,"NS","NS","NS"
"Td00001aa002777","Zm00001eb301210",-0.211586356775851,0.0972372930331307,0.854980073593008,"NS","NS","NS"
"Td00001aa002810","Zm00001eb300970",-0.306530082861788,0.427421271801052,0.753483262352749,"NS","NS","NS"
"Td00001aa002818","Zm00001eb300930",-0.0903080670368445,-0.441579156525221,0.315050639588727,"NS","NS","NS"
"Td00001aa002840","Zm00001eb117170",-0.118009839001896,-0.765946183391733,0.0115089658336659,"NS","NS","NS"
"Td00001aa002846","Zm00001eb300740",0.102961039730379,1.08104353849763,0.0154801770903272,"NS","Up","NS"
"Td00001aa002847","Zm00001eb300730",1.79268427439933,0.631595166175323,0.054689148076219,"Up","NS","NS"
"Td00001aa002854","Zm00001eb300670",0.043973628750395,-0.452814149263438,0.511590385255142,"NS","NS","NS"
"Td00001aa002896","Zm00001eb300120",-0.104414610365634,-0.442187636370234,0.46117940233086,"NS","NS","NS"
"Td00001aa002916","Zm00001eb299920",-0.285474945372733,-0.0851810847433355,0.919002940797456,"NS","NS","NS"
"Td00001aa002931","Zm00001eb299790",0.730692314458668,0.167217851773042,0.694416369393174,"NS","NS","NS"
"Td00001aa002989","Zm00001eb299230",0.185163188188742,-0.519485372470134,0.152828877652421,"NS","NS","NS"
"Td00001aa003020","Zm00001eb298950",0.061690055776599,0.0703985425554562,0.876636358212553,"NS","NS","NS"
"Td00001aa003089","Zm00001eb298570",-0.230952315802905,0.117054508868201,0.795853223949663,"NS","NS","NS"
"Td00001aa003097","Zm00001eb298480",-0.82800769864301,-0.598930551475547,0.316774899502652,"NS","NS","NS"
"Td00001aa003108","Zm00001eb298320",-0.468154009503037,-0.555018542982463,0.135714949422178,"NS","NS","NS"
"Td00001aa003158","Zm00001eb259660",-0.734038140501174,0.0924718433889674,0.928599366473508,"NS","NS","NS"
"Td00001aa003180","Zm00001eb259450",0.215635595233187,-0.14766225517741,0.764513890417729,"NS","NS","NS"
"Td00001aa003200","Zm00001eb259320",-0.454733992504537,0.348191476060525,0.251386804171479,"NS","NS","NS"
"Td00001aa003202","Zm00001eb259300",-0.247912141495556,0.145793400432116,0.768060557256121,"NS","NS","NS"
"Td00001aa003203","Zm00001eb259290",0.650810840890723,0.259944830943561,0.531015500499377,"NS","NS","NS"
"Td00001aa003210","Zm00001eb259220",-0.0850780500338677,0.305784285548395,0.543850255744823,"NS","NS","NS"
"Td00001aa003242","Zm00001eb258950",0.494566915896719,0.782414072002812,0.00498467162801175,"NS","NS","NS"
"Td00001aa003249","Zm00001eb258880",-0.353030113403889,0.46367576818545,0.126806891992136,"NS","NS","NS"
"Td00001aa003250","Zm00001eb258870",-0.151312239521834,0.349202931170666,0.318070972851264,"NS","NS","NS"
"Td00001aa003262","Zm00001eb258770",-0.0689767188679,0.401900879145943,0.240309983117096,"NS","NS","NS"
"Td00001aa003276","Zm00001eb258600",0.409249790225637,0.511921977506428,0.230730081314626,"NS","NS","NS"
"Td00001aa003277","Zm00001eb258590",1.52185971415247,-0.430303219908408,0.116464141471022,"Up","NS","NS"
"Td00001aa003303","Zm00001eb258320",-0.0257286429508988,0.0906571687552057,0.858433878383637,"NS","NS","NS"
"Td00001aa003309","Zm00001eb258260",0.0800442269591797,0.461156766037177,0.35825039780587,"NS","NS","NS"
"Td00001aa003317","Zm00001eb258200",0.0663808464607784,0.13615843269601,0.932997426490011,"NS","NS","NS"
"Td00001aa003331","Zm00001eb258070",1.02445382688676,0.427639307436196,0.434415628987334,"Up","NS","NS"
"Td00001aa003346","Zm00001eb257930",-0.604758510864178,-5.02402320553806e-06,0.999984091335271,"NS","NS","NS"
"Td00001aa003349","Zm00001eb257910",0.221705811449564,0.0404091436508315,0.937707649994949,"NS","NS","NS"
"Td00001aa003359","Zm00001eb056620",-0.157821926768913,0.198170375703872,0.716982754944993,"NS","NS","NS"
"Td00001aa003400","Zm00001eb257410",-0.961309003256273,0.989514509002799,0.367538266957992,"NS","NS","NS"
"Td00001aa003426","Zm00001eb257130",0.96446776482182,-2.78016997996482,2.39096863718969e-11,"NS","Down","NS"
"Td00001aa003441","Zm00001eb256970",-0.37785574474262,-0.308877042329147,0.580069475013431,"NS","NS","NS"
"Td00001aa003479","Zm00001eb256470",-0.341443816333266,0.471618120907811,0.286629850996199,"NS","NS","NS"
"Td00001aa003480","Zm00001eb256460",2.0050720291717,-0.0840825299003618,0.918402362636758,"Up","NS","NS"
"Td00001aa003508","Zm00001eb256150",-0.518455933482184,0.192183437302354,0.594022964277124,"NS","NS","NS"
"Td00001aa003516","Zm00001eb256020",-0.109957765312247,0.380325483398622,0.196688771356766,"NS","NS","NS"
"Td00001aa003538","Zm00001eb255720",0.153811795295835,0.24002789783767,0.59732675971913,"NS","NS","NS"
"Td00001aa003542","Zm00001eb255690",0.0920232926096558,0.218938760230077,0.512707163376727,"NS","NS","NS"
"Td00001aa003543","Zm00001eb255680",-0.449503004581859,-0.302711120370288,0.440256676946531,"NS","NS","NS"
"Td00001aa003547","Zm00001eb255600",-0.0141687218222595,0.36341364583561,0.151243662833401,"NS","NS","NS"
"Td00001aa003563","Zm00001eb255450",0.654980714230568,0.16312076853225,0.633735324905057,"NS","NS","NS"
"Td00001aa003578","Zm00001eb255240",0.762265732358543,0.538405108893036,0.147877592526368,"NS","NS","NS"
"Td00001aa003586","Zm00001eb255140",-0.966880928098052,-0.769294460414307,0.0232656593597161,"NS","NS","NS"
"Td00001aa003625","Zm00001eb254530",0.56663805755954,0.182979576532265,0.817275280414854,"NS","NS","NS"
"Td00001aa003659","Zm00001eb254090",0.843324849465243,-0.313327180820909,0.638209091252816,"NS","NS","NS"
"Td00001aa003666","Zm00001eb253990",-0.680186707982186,0.111229075924129,0.805172887464444,"NS","NS","NS"
"Td00001aa003679","Zm00001eb253890",-0.362878217327737,0.729773592803256,0.0469896503619767,"NS","NS","NS"
"Td00001aa003685","Zm00001eb253820",-0.261266127012302,-0.6253116196127,0.0766568501524216,"NS","NS","NS"
"Td00001aa003686","Zm00001eb253810",0.387876254436856,0.647777670739122,0.0250282896008128,"NS","NS","NS"
"Td00001aa003712","Zm00001eb253620",-0.265268541172873,0.0234862594780298,0.981088981622305,"NS","NS","NS"
"Td00001aa003754","Zm00001eb253200",0.273477530219512,-0.119610759671678,0.833212485757584,"NS","NS","NS"
"Td00001aa003762","Zm00001eb253140",-0.249213746683421,-0.0902447050943942,0.837242931851623,"NS","NS","NS"
"Td00001aa003775","Zm00001eb252990",-0.142445270002543,0.627550379327678,0.235899081918977,"NS","NS","NS"
"Td00001aa003788","Zm00001eb189380",-0.0465381769007811,0.30386516868751,0.382639401093299,"NS","NS","NS"
"Td00001aa003795","Zm00001eb252830",0.155266617064828,-0.241275652530358,0.486090184358303,"NS","NS","NS"
"Td00001aa003797","Zm00001eb252790",0.296910471968786,0.757311015377143,0.420105978062034,"NS","NS","NS"
"Td00001aa003812","Zm00001eb252660",-0.34799506291054,0.570136062022811,0.0322682584328116,"NS","NS","NS"
"Td00001aa003819","Zm00001eb252570",-0.357247597526792,-0.212062199877865,0.612950969410823,"NS","NS","NS"
"Td00001aa003823","Zm00001eb252510",0.54385729291416,0.86032713957915,0.00194541061527783,"NS","NS","NS"
"Td00001aa003830","Zm00001eb252410",-0.176623898519449,-0.90052299295592,0.132101103979094,"NS","NS","NS"
"Td00001aa003840","Zm00001eb252330",-0.249063907029896,0.344576233458338,0.521339187366621,"NS","NS","NS"
"Td00001aa003847","Zm00001eb252250",0.792319363838913,-0.242290862939728,0.668053572390954,"NS","NS","NS"
"Td00001aa003848","Zm00001eb252240",-0.321015325209852,-0.923736990728975,0.040703167759453,"NS","NS","NS"
"Td00001aa003862","Zm00001eb252090",0.128665231977951,1.93637169976699,0.00114695754355945,"NS","Up","NS"
"Td00001aa003870","Zm00001eb252020",-0.167230626391639,-0.314105553279109,0.420904914433268,"NS","NS","NS"
"Td00001aa003899","Zm00001eb251680",-0.377872567831814,-0.12500784739841,0.824379854019601,"NS","NS","NS"
"Td00001aa003919","Zm00001eb251490",0.0115604736726435,-0.0582545906226436,0.923695485315349,"NS","NS","NS"
"Td00001aa003921","Zm00001eb251410",-0.382936255719057,-0.0420009310840862,0.916974437523603,"NS","NS","NS"
"Td00001aa003943","Zm00001eb251190",0.335756915125072,0.235603254909618,0.74766858596894,"NS","NS","NS"
"Td00001aa003944","Zm00001eb251180",-0.506022326913864,-0.191079778745674,0.815611355224378,"NS","NS","NS"
"Td00001aa003995","Zm00001eb250700",0.178299640129055,0.455872565960951,0.410304636945074,"NS","NS","NS"
"Td00001aa004007","Zm00001eb250610",-0.505618212387959,0.779803903293807,0.000590277721419436,"NS","NS","NS"
"Td00001aa004024","Zm00001eb250310",0.0299442102138973,-0.243135390551454,0.589669914149285,"NS","NS","NS"
"Td00001aa004040","Zm00001eb250120",2.94775029750144,-0.271442506589942,0.6576381990169,"Up","NS","NS"
"Td00001aa004045","Zm00001eb250080",0.323295566267495,-0.827357899681989,0.219740100681126,"NS","NS","NS"
"Td00001aa004059","Zm00001eb249940",-0.949425503046472,3.10246297193685,0.135549862879553,"NS","NS","NS"
"Td00001aa004106","Zm00001eb249330",0.149346512031328,0.387271468866615,0.14322069153213,"NS","NS","NS"
"Td00001aa004112","Zm00001eb249250",-0.0731980873846925,0.0155163450083895,0.986909197865367,"NS","NS","NS"
"Td00001aa004117","Zm00001eb186320",-0.481719854456807,0.0458066891585133,0.925852155704508,"NS","NS","NS"
"Td00001aa004171","Zm00001eb248630",0.711253751184328,-1.3571240569893,6.65701028459876e-05,"NS","Down","NS"
"Td00001aa004183","Zm00001eb248530",0.333356212239545,0.501631986088514,0.583471494400798,"NS","NS","NS"
"Td00001aa004206","Zm00001eb248290",0.044396724022645,-0.239541252002885,0.616878338237944,"NS","NS","NS"
"Td00001aa004212","Zm00001eb248150",-0.00551401856387951,0.202763737075772,0.61358677281067,"NS","NS","NS"
"Td00001aa004250","Zm00001eb247590",0.350315694534298,-0.400905859298169,0.226725355704844,"NS","NS","NS"
"Td00001aa004258","Zm00001eb247500",-0.0596127882191574,0.290322808379112,0.545443341559108,"NS","NS","NS"
"Td00001aa004275","Zm00001eb247310",-0.373982477047682,-0.610997924430152,0.0121602329334503,"NS","NS","NS"
"Td00001aa004277","Zm00001eb247190",0.148377125997518,-0.48849350682755,0.426287114022733,"NS","NS","NS"
