protein_id	protein_id_base	orthogroup	short_name	species	log2FC	padj	description
Td00001aa017178_T001	Td00001aa017178	OG0009809	Td00001aa017178	Trip	1.47223485533467	1.45594505324735e-14	Dehydrin
Td00001aa019081_T001	Td00001aa019081	OG0022536	Td00001aa019081	Trip	0.816394909169121	0.277177766879228	Late embryogenesis abundant protein 1
Td00001aa020741_T001	Td00001aa020741	OG0011762	Td00001aa020741	Trip	-0.873027143742234	0.0321853262823806	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa022594_T002	Td00001aa022594	OG0022470	Td00001aa022594	Trip	5.07724597845613	5.0365023261006105e-24	Late embryogenesis abundant protein 3
Td00001aa024100_T001	Td00001aa024100	OG0009291	Td00001aa024100	Trip	-1.13606154957603	0.0207599900288538	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa025149_T001	Td00001aa025149	OG0005402	Td00001aa025149	Trip	1.59454854955035	0.043191103234137	Dehydrin 13
Td00001aa026247_T001	Td00001aa026247	OG0010072	Td00001aa026247	Trip	-1.50225991139091	0.0174916393947599	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa027316_T001	Td00001aa027316	OG0015604	Td00001aa027316	Trip	0.258217389536018	0.0879051310110854	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa027412_T001	Td00001aa027412	OG0024318	Td00001aa027412	Trip	3.43175666019445	0.0190891458275502	Dehydrin
Td00001aa031470_T001	Td00001aa031470	OG0022194	Td00001aa031470	Trip	0.0485617908392075	0.182627004051164	Desiccation protectant protein Lea
Td00001aa038997_T001	Td00001aa038997	OG0021361	Td00001aa038997	Trip	-0.800877357986399	0.019394678017454	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
Td00001aa040183_T001	Td00001aa040183	OG0018655	Td00001aa040183	Trip	-0.197599959885161	0.456256378308393	Late embryogenesis abundant protein (LEA) family protein
