protein_id,species,orthogroup,rank,log2FC,DAP,description,go_id,Term,PPV
Ag00001aa123995_T001,Ag,OG0016115,45,1.78114985171021,Up,23.2 kDa heat shock protein-like,GO:0006457,protein folding,0.676032802847
Ag00001aa104490_T001,Ag,OG0013697,46,1.7794698572951697,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
Ag00001aa009716_T001,Ag,OG0016578,47,1.7523204284596705,Up,Small heat shock protein 26,GO:0009408,response to heat,0.726088960718
Ag00001aa018649_T001,Ag,OG0008582,48,1.729008870337863,Up,Embryonic protein DC-8,NA,NA,NA
Ag00001aa019394_T001,Ag,NA,49,1.7154541271157178,Up,Heat shock protein 70,GO:0006457,protein folding,0.676287950591
Ag00001aa118595_T001,Ag,OG0000288,50,1.7110543218120664,Up,Small heat shock protein HSP,GO:0006457,protein folding,0.51433775839
Ag00001aa047794_T002,Ag,OG0010191,51,1.70310069960416,Up,Malic enzyme,GO:0006090,pyruvate metabolic process,0.66492867069
Ag00001aa061896_T002,Ag,OG0003728,52,1.70310069960416,Up,NA,NA,NA,NA
Ag00001aa146322_T001,Ag,OG0033092,53,1.698218478224414,Up,WIBG Mago-binding domain-containing protein,NA,NA,NA
Ag00001aa088228_T002,Ag,NA,54,1.6959938131099002,Up,"Starch synthase, chloroplastic/amyloplastic",GO:0019252,starch biosynthetic process,0.830589543698
Ag00001aa031593_T001,Ag,OG0022016,55,1.6843699290130068,Up,DUF6817 domain-containing protein (Fragment),NA,NA,NA
Ag00001aa021532_T001,Ag,OG0008582,56,1.674008608617225,Up,Embryonic protein DC-8,NA,NA,NA
Ag00001aa019936_T001,Ag,OG0021544,57,1.6653927710418914,Up,"Quinone-oxidoreductase homolog, chloroplastic",NA,NA,NA
Ag00001aa092812_T001,Ag,OG0001959,58,1.655351828612554,Up,chitinase,GO:0000272,polysaccharide catabolic process,0.66189182548
Ag00001aa135121_T001,Ag,OG0000642,59,1.6512239429898776,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.730632183157
Ag00001aa015322_T001,Ag,OG0018059,60,1.6433944534798923,Up,Peroxidase,NA,NA,NA
Ag00001aa055898_T001,Ag,OG0009809,61,1.611172380044005,Up,Dehydrin,GO:0009631,cold acclimation,0.80898370162
Ag00001aa107539_T001,Ag,OG0025357,62,1.6107000621347642,Up,rRNA N-glycosylase,NA,NA,NA
Ag00001aa022335_T001,Ag,OG0008528,63,1.6097549621724434,Up,Safener induced1,NA,NA,NA
Ag00001aa104120_T004,Ag,OG0006161,64,1.6059683588414584,Up,"Pyruvate, phosphate dikinase",GO:0006090,pyruvate metabolic process,0.692519853316
Ag00001aa009020_T002,Ag,OG0008494,65,1.599793852122242,Up,UDP-glucose 4-epimerase,NA,NA,NA
Ag00001aa088349_T001,Ag,OG0004961,66,1.591200672932376,Up,Fe2OG dioxygenase domain-containing protein,NA,NA,NA
Ag00001aa007156_T002,Ag,OG0003728,67,1.5714341158765093,Up,CSD domain-containing protein,NA,NA,NA
Ag00001aa027609_T001,Ag,OG0024318,68,1.56900492681818,Up,NA,NA,NA,NA
Ag00001aa096557_T001,Ag,OG0000823,69,1.5577776713949258,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.730637283447
Ag00001aa022644_T002,Ag,NA,70,1.556797246592743,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",GO:0006096,glycolytic process,0.703665609544
Ag00001aa023126_T001,Ag,OG0018902,71,1.5315686088149625,Up,Pathogenesis-related protein 1-21,NA,NA,NA
Ag00001aa044676_T001,Ag,OG0000863,72,1.5310694927259545,Up,Xylanase inhibitor protein 1,GO:0050832,defense response to fungus,0.559327355948
Ag00001aa029945_T001,Ag,NA,73,1.492109552652613,Up,Glucose-6-phosphate 1-dehydrogenase,GO:0006006,glucose metabolic process,0.70693343105
Ag00001aa071072_T001,Ag,OG0000289,74,1.491083453718256,Up,Alcohol dehydrogenase 1,NA,NA,NA
Ag00001aa102013_T002,Ag,NA,75,1.4880007708340683,Up,"Quinone-oxidoreductase homolog, chloroplastic",NA,NA,NA
Ag00001aa137998_T002,Ag,OG0017688,76,1.476122419880152,Up,L-ascorbate peroxidase,NA,NA,NA
Ag00001aa046278_T001,Ag,OG0018059,77,1.474565834538475,Up,Peroxidase,NA,NA,NA
Ag00001aa018455_T003,Ag,OG0015799,78,1.4719677876615156,Up,Beta-amylase,GO:0005982,starch metabolic process,0.353075250464
Ag00001aa005889_T001,Ag,NA,79,1.447314700253176,Up,ATP-dependent 6-phosphofructokinase 2,GO:0006002,fructose 6-phosphate metabolic process,0.748154026219
Ag00001aa047169_T001,Ag,OG0000034,80,1.415217824888839,Up,Heat shock protein 70,GO:0006457,protein folding,0.676287942701
Ag00001aa120445_T001,Ag,OG0000863,81,1.3851548968843437,Up,Xylanase inhibitor protein 1,GO:0050832,defense response to fungus,0.59006295311
Ag00001aa138044_T002,Ag,OG0000654,82,1.3707222751481671,Up,Dirigent protein (Fragment),NA,NA,NA
Ag00001aa127927_T001,Ag,OG0011610,83,1.3595211704275951,Up,NA,NA,NA,NA
Ag00001aa009888_T001,Ag,OG0021022,84,1.3561438102252754,Up,Heat shock 70 kDa protein 8,GO:0006457,protein folding,0.676287479919
Ag00001aa067474_T001,Ag,OG0001296,85,1.3362833878644322,Up,Thioredoxin domain-containing protein,GO:0009409,response to cold,0.498707760923
Ag00001aa138047_T001,Ag,OG0000654,86,1.3190398155625358,Up,Dirigent protein (Fragment),NA,NA,NA
Ag00001aa053088_T001,Ag,OG0022407,87,1.3103401206121503,Up,ATP-dependent 6-phosphofructokinase 2,GO:0006002,fructose 6-phosphate metabolic process,0.752079383116
Ag00001aa065968_T001,Ag,NA,88,1.3097582714246352,Up,tryptophan synthase,GO:0000162,tryptophan biosynthetic process,0.729087880106
Ag00001aa017895_T001,Ag,NA,89,1.3015876466031868,Up,"Thiamine thiazole synthase, chloroplastic",GO:0009409,response to cold,0.537982518607
Ag00001aa040607_T001,Ag,OG0038518,90,1.2868811477881617,Up,NA,NA,NA,NA
Ag00001aa126910_T003,Ag,OG0000710,91,1.2761988650322418,Up,"NADP-dependent oxidoreductase P1, putative, expressed",NA,NA,NA
Ag00001aa139153_T001,Ag,OG0009942,92,1.2636354035683293,Up,Protein TIME FOR COFFEE,NA,NA,NA
Ag00001aa033409_T001,Ag,OG0007794,93,1.2497487150835689,Up,Golgin subfamily A member 2-like,NA,NA,NA
Ag00001aa055266_T001,Ag,OG0003478,94,1.243669080966863,Up,Gibberellin receptor GID1L2,NA,NA,NA
Ag00001aa009579_T001,Ag,OG0001787,95,1.227741075839128,Up,Small heat shock protein HSP,GO:0006457,protein folding,0.612947948515
Ag00001aa055541_T001,Ag,OG0009783,96,1.2197106395487791,Up,GrpE protein homolog,GO:0006457,protein folding,0.67628459421
Ag00001aa101737_T001,Ag,OG0018907,97,1.2116352533271495,Up,EF-hand domain-containing protein,NA,NA,NA
Ag00001aa027119_T002,Ag,OG0012053,98,1.140778655782796,Up,Stem-specific protein TSJT1,NA,NA,NA
Ag00001aa032609_T004,Ag,NA,99,1.1329058120115063,Up,Delta-1-pyrroline-5-carboxylate synthase,NA,NA,NA
Ag00001aa018374_T001,Ag,OG0008324,100,1.1236661964538197,Up,Anthocyanidin reductase,NA,NA,NA
Ag00001aa118606_T001,Ag,OG0009569,101,1.1216785565882526,Up,Putative calcium-binding protein CML16,NA,NA,NA
Ag00001aa127536_T001,Ag,OG0024036,102,1.1076878693143732,Up,transketolase,NA,NA,NA
Ag00001aa015171_T001,Ag,OG0008582,103,1.0982847957234223,Up,NA,GO:0009631,cold acclimation,0.851335650393
Ag00001aa012639_T001,Ag,OG0005214,104,1.0690146779151806,Up,SUI1 domain-containing protein,NA,NA,NA
Ag00001aa004825_T001,Ag,OG0000654,105,1.0648828515848543,Up,Dirigent protein (Fragment),NA,NA,NA
Ag00001aa090087_T003,Ag,OG0015409,106,1.0621217119077977,Up,NAD(P)-binding Rossmann-fold superfamily protein,NA,NA,NA
Ag00001aa019017_T001,Ag,OG0021022,107,1.05797006863733,Up,Heat shock 70 kDa protein 8,GO:0006457,protein folding,0.676287466065
Ag00001aa054630_T002,Ag,NA,108,1.0565835283663676,Up,Anamorsin homolog,NA,NA,NA
Ag00001aa040662_T001,Ag,OG0000229,109,1.0384361816561078,Up,Glutamine synthetase,NA,NA,NA
Misin09G141100.1.v7.1,Mg,OG0022377,1,2.9847771772757756,Up,NADH-ubiquinone reductase complex 1 MLRQ subunit,NA,NA,NA
Misin01G469600.1.v7.1,Mg,OG0008582,2,2.611845794872104,Up,Embryonic protein DC-8,GO:0009414,response to water deprivation,0.825515376641
Misin12G126200.1.v7.1,Mg,OG0013447,3,2.380816624539516,Up,Malate synthase,NA,NA,NA
Misin17G174300.1.v7.1,Mg,OG0013697,4,2.2404548128082737,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
Misin17G041200.1.v7.1,Mg,OG0000837,5,2.1873280477037573,Up,NA,NA,NA,NA
MisinT394200.1.v7.1,Mg,OG0008494,6,2.0688298519542805,Up,UDP-glucose 4-epimerase,NA,NA,NA
Misin17G219700.1.v7.1,Mg,OG0022470,7,2.05031217075348,Up,NA,NA,NA,NA
Misin07G519500.1.v7.1,Mg,OG0005715,8,2.0452056317175273,Up,Eukaryotic translation initiation factor 3 subunit G,NA,NA,NA
Misin01G106600.1.v7.1,Mg,OG0021805,9,2.041464020649706,Up,Luminal-binding protein,GO:0006457,protein folding,0.676287622886
Misin01G486600.1.v7.1,Mg,OG0015799,10,2.022619601684521,Up,Beta-amylase,GO:0005982,starch metabolic process,0.353206124425
Misin12G096700.1.v7.1,Mg,OG0039078,11,1.999771562814678,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
Misin13G081600.1.v7.1,Mg,OG0016166,12,1.9931695068307325,Up,Late embryogenesis abundant protein D-34-like,NA,NA,NA
Misin18G151700.1.v7.1,Mg,OG0016973,13,1.9678726797234425,Up,Reticulon-like protein (Fragment),NA,NA,NA
Misin14G086000.1.v7.1,Mg,OG0002524,14,1.9174520289505512,Up,GRAM domain-containing protein,NA,NA,NA
Misin14G145400.1.v7.1,Mg,OG0014160,15,1.9030598804461365,Up,Ureidoglycolate hydrolase,NA,NA,NA
MisinT036500.1.v7.1,Mg,OG0017067,16,1.8749205243781744,Up,Tryptophan synthase,GO:0000162,tryptophan biosynthetic process,0.730944024272
Misin17G176700.1.v7.1,Mg,OG0013692,17,1.8578476160269464,Up,NA,NA,NA,NA
MisinT206400.1.v7.1,Mg,OG0021874,18,1.8553323895720413,Up,galactinol--sucrose galactosyltransferase,GO:0009414,response to water deprivation,0.597772982904
Misin02G173100.1.v7.1,Mg,OG0009444,19,1.825056923791063,Up,NA,GO:0009737,response to abscisic acid,0.806433236637
Misin02G374500.1.v7.1,Mg,OG0001139,20,1.8063062231374805,Up,Bet v I/Major latex protein domain-containing protein,NA,NA,NA
Misin16G248000.1.v7.1,Mg,OG0022194,21,1.7977212366360331,Up,Water stress and hypersensitive response domain-containing protein,NA,NA,NA
Misin08G045800.1.v7.1,Mg,OG0023272,22,1.7489703732088666,Up,SNF1-related protein kinase regulatory subunit gamma-like PV42a,NA,NA,NA
Misin18G197900.1.v7.1,Mg,OG0019355,23,1.7110967936803845,Up,tryptophan synthase,GO:0000162,tryptophan biosynthetic process,0.730944230079
Misin05G381000.1.v7.1,Mg,OG0005796,24,1.6770884249862987,Up,Peroxidase,NA,NA,NA
Misin03G046400.1.v7.1,Mg,OG0025362,25,1.6488561173197829,Up,tryptophan synthase,GO:0000162,tryptophan biosynthetic process,0.730942287221
Misin11G222200.1.v7.1,Mg,NA,26,1.5934960267674187,Up,(S)-2-hydroxy-acid oxidase,NA,NA,NA
Misin01G418600.1.v7.1,Mg,OG0023753,27,1.5835474000281122,Up,Senescence domain-containing protein,NA,NA,NA
Misin01G050700.1.v7.1,Mg,OG0042291,28,1.542149417182183,Up,"Stem-specific protein TSJT1, putative, expressed",NA,NA,NA
Misin18G170000.1.v7.1,Mg,OG0005873,29,1.5157964293322683,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.730641033042
Misin17G173700.1.v7.1,Mg,OG0022454,30,1.489484751059735,Up,Aminotransferase class-III,NA,NA,NA
Misin10G188700.1.v7.1,Mg,OG0023602,31,1.480668473108693,Up,14-3-3 domain-containing protein,NA,NA,NA
Misin02G359400.1.v7.1,Mg,OG0000596,32,1.470758777381406,Up,Hydroxyproline-rich glycoprotein family protein,NA,NA,NA
Misin05G400200.1.v7.1,Mg,OG0015482,33,1.42449782852791,Up,DUF255 domain-containing protein,NA,NA,NA
Misin02G401700.1.v7.1,Mg,OG0006466,34,1.402622431170499,Up,anthranilate synthase,GO:0000162,tryptophan biosynthetic process,0.730943387388
Misin17G257700.1.v7.1,Mg,OG0020508,35,1.395967536280257,Up,AAA+ ATPase domain-containing protein,NA,NA,NA
Misin05G021700.1.v7.1,Mg,OG0009505,36,1.394232884139548,Up,4-methyl-5-thiazole monophosphate biosynthesis protein,NA,NA,NA
Misin05G140500.1.v7.1,Mg,OG0014118,37,1.3366977609223287,Up,"Outer envelope pore protein 16-2, chloroplastic",NA,NA,NA
Misin05G173500.1.v7.1,Mg,OG0000891,38,1.323165928546216,Up,"Thiamine thiazole synthase, chloroplastic",GO:0009409,response to cold,0.529251435233
Misin03G281400.1.v7.1,Mg,OG0014773,39,1.306513042500675,Up,Glucose-6-phosphate/phosphate translocator 2,NA,NA,NA
Misin11G171000.1.v7.1,Mg,OG0013568,40,1.3029032692056064,Up,Calcium-transporting ATPase,GO:0009414,response to water deprivation,0.454737113174
Misin08G281600.1.v7.1,Mg,OG0012590,41,1.258996839160906,Up,Peptidase M48 domain-containing protein,NA,NA,NA
Misin07G346000.1.v7.1,Mg,OG0009746,42,1.2112000064662436,Up,Pectinesterase inhibitor domain-containing protein,NA,NA,NA
Misin19G055000.1.v7.1,Mg,OG0002559,43,1.2030374886916455,Up,Pre-mRNA-processing-splicing factor 8A,NA,NA,NA
Misin09G173300.1.v7.1,Mg,OG0023602,44,1.1965686458784943,Up,NA,NA,NA,NA
Misin12G270100.1.v7.1,Mg,OG0035352,45,1.1947673980108289,Up,DJ-1 homolog D,NA,NA,NA
Misin01G502300.1.v7.1,Mg,OG0018330,46,1.152859731372018,Up,Blue fluorescent1,GO:0000162,tryptophan biosynthetic process,0.730867267788
Misin01G018500.1.v7.1,Mg,OG0018028,47,1.1465203971073687,Up,Galactokinase,NA,NA,NA
Misin07G367300.1.v7.1,Mg,OG0009761,48,1.138774247590945,Up,glutathione transferase,GO:0006749,glutathione metabolic process,0.701402353243
Misin18G109800.1.v7.1,Mg,OG0024817,49,1.1326264600193368,Up,Pyruvate dehydrogenase E1 component subunit alpha,NA,NA,NA
Misin12G201000.1.v7.1,Mg,OG0020723,50,1.1145843684749526,Up,(S)-2-hydroxy-acid oxidase,NA,NA,NA
Misin01G316300.1.v7.1,Mg,OG0020952,51,1.1017109389139847,Up,Clp R domain-containing protein,GO:0034605,cellular response to heat,0.748767964181
Misin18G152900.1.v7.1,Mg,OG0014192,52,1.095974341105857,Up,"Alpha-glucan water dikinase, chloroplastic",GO:0009631,cold acclimation,0.571480240811
Misin01G380100.1.v7.1,Mg,OG0022880,53,1.0789694658182278,Up,"Enoyl-CoA hydratase/isomerase family protein, expressed",NA,NA,NA
Misin09G018200.1.v7.1,Mg,OG0001078,54,1.0512417162819718,Up,2-isopropylmalate synthase,NA,NA,NA
Misin19G206700.1.v7.1,Mg,OG0014297,55,1.0412357552241047,Up,Sucrose-phosphate synthase,NA,NA,NA
Misin07G513900.1.v7.1,Mg,OG0007520,56,1.031260748203037,Up,Class II heat shock protein,GO:0006457,protein folding,0.675722528005
Misin16G013800.1.v7.1,Mg,OG0008918,57,1.0145261139778892,Up,Cupin type-1 domain-containing protein,NA,NA,NA
Misin06G106700.1.v7.1,Mg,OG0008882,58,1.0076189277684828,Up,Cysteine proteinase inhibitor,NA,NA,NA
PvWBCH1.9NG479100.4.v1.1,Pv,NA,1,3.85169907708625,Up,Embryonic protein DC-8,GO:0009414,response to water deprivation,0.825069273452
PvWBCH1.3NG170900.1.v1.1,Pv,OG0022470,2,3.6288902190278183,Up,Late embryogenesis abundant protein 3,GO:0009631,cold acclimation,0.416411886776
PvWBCH1.9KG072500.1.v1.1,Pv,OG0004932,3,3.5320675522890306,Up,Isoflavone 2'-hydroxylase,NA,NA,NA
PvWBCH1.3KG225700.1.v1.1,Pv,OG0013692,4,3.288949104584587,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,NA,NA,NA
PvWBCH1.1KG182300.1.v1.1,Pv,OG0002545,5,3.1333991254171982,Up,Dehydrin,GO:0009631,cold acclimation,0.822119748466
PvWBCH1.6NG112900.1.v1.1,Pv,OG0016166,6,3.127633279725874,Up,SMP domain-containing protein,NA,NA,NA
PvWBCH1.3KG178100.1.v1.1,Pv,OG0022470,7,2.9980149292696834,Up,Late embryogenesis abundant protein 3,NA,NA,NA
PvWBCH1.8KG137800.1.v1.1,Pv,OG0022377,8,2.957543200757105,Up,NA,NA,NA,NA
PvWBCH1.5KG009700.1.v1.1,Pv,OG0012263,9,2.945982185997463,Up,Water stress and hypersensitive response domain-containing protein,NA,NA,NA
PvWBCH1.9NG029700.1.v1.1,Pv,OG0012032,10,2.8669079781431663,Up,Actin-depolymerizing factor 3,NA,NA,NA
PvWBCH1.3KG337600.1.v1.1,Pv,OG0002524,11,2.828834649468056,Up,GRAM domain-containing protein,NA,NA,NA
PvWBCH1.9KG056000.1.v1.1,Pv,OG0000642,12,2.745667602052679,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.729341048888
PvWBCH1.5NG360500.1.v1.1,Pv,OG0013321,13,2.7400640588468588,Up,Nematode resistance protein-like HSPRO2,NA,NA,NA
PvWBCH1.1NG299100.1.v1.1,Pv,OG0010901,14,2.6827979987016484,Up,NA,NA,NA,NA
PvWBCH1.8KG089500.1.v1.1,Pv,OG0000863,15,2.593592805864596,Up,Xylanase inhibitor protein 1,GO:0050832,defense response to fungus,0.539690505926
PvWBCH1.9KG185700.1.v1.1,Pv,OG0009444,16,2.580627910457265,Up,Low-temperature-induced 65 kDa protein,GO:0009737,response to abscisic acid,0.807315074072
PvWBCH1.9KG029500.1.v1.1,Pv,OG0012032,17,2.5651096965318345,Up,Actin-depolymerizing factor 3,NA,NA,NA
PvWBCH1.9NG181900.1.v1.1,Pv,OG0009444,18,2.5563067842249767,Up,Low-temperature-induced 65 kDa protein,GO:0009737,response to abscisic acid,0.807352048588
PvWBCH1.3NG315700.1.v1.1,Pv,OG0002524,19,2.5195419045784364,Up,GRAM domain-containing protein,NA,NA,NA
PvWBCH1.9KG512900.1.v1.1,Pv,OG0001959,20,2.4985061891886793,Up,chitinase,GO:0000272,polysaccharide catabolic process,0.662932913638
PvWBCH1.9NG055800.1.v1.1,Pv,OG0000642,21,2.412239566263399,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.730161741119
PvWBCH1.9KG488800.1.v1.1,Pv,OG0008582,22,2.3239464554216678,Up,Embryonic protein DC-8,NA,NA,NA
PvWBCH1.2NG099200.1.v1.1,Pv,OG0029632,23,2.3109217352303437,Up,12-oxophytodienoate reductase 1,NA,NA,NA
PvWBCH1.3KG087700.1.v1.1,Pv,OG0008648,24,2.2770920825043133,Up,UMP-CMP kinase,NA,NA,NA
PvWBCH1.7KG090500.2.v1.1,Pv,NA,25,2.2175409398625243,Up,"1,4-alpha-glucan branching enzyme",GO:0005982,starch metabolic process,0.821329675098
PvWBCH1.5NG350300.1.v1.1,Pv,OG0000034,26,2.142740172116082,Up,Heat shock protein 70,GO:0006457,protein folding,0.676287941444
PvWBCH1.4NG037300.1.v1.1,Pv,OG0002559,27,2.105342840286222,Up,MPN domain-containing protein,NA,NA,NA
PvWBCH1.7KG234800.1.v1.1,Pv,OG0020442,28,2.101650076094435,Up,Embryonic protein DC-8,NA,NA,NA
PvWBCH1.5KG266500.1.v1.1,Pv,OG0007798,29,2.089498150839103,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.730611740609
PvWBCH1.9KG381100.1.v1.1,Pv,OG0021543,30,2.083383587710083,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",GO:0006096,glycolytic process,0.703668904063
PvWBCH1.1NG251700.1.v1.1,Pv,OG0009809,31,2.0717626693000915,Up,Dehydrin,GO:0009631,cold acclimation,0.822329467399
PvWBCH1.1NG326900.1.v1.1,Pv,OG0007520,32,2.058316495590823,Up,Class III heat shock protein,GO:0006457,protein folding,0.651008706802
PvWBCH1.3KG223000.1.v1.1,Pv,OG0013697,33,2.0125686735030555,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
PvWBCH1.9KG395300.1.v1.1,Pv,OG0025089,34,1.9862288802273995,Up,"Outer envelope pore protein 16-2, chloroplastic",NA,NA,NA
PvWBCH1.4KG166000.1.v1.1,Pv,OG0026991,35,1.9726926540042649,Up,FAD-binding PCMH-type domain-containing protein,NA,NA,NA
PvWBCH1.5KG363600.1.v1.1,Pv,OG0000034,36,1.9645834627768648,Up,Heat shock protein 70,GO:0006457,protein folding,0.67628798985
PvWBCH1.9KG495500.1.v1.1,Pv,OG0010777,37,1.9601409803107688,Up,SMP domain-containing protein,NA,NA,NA
PvWBCH1.4KG012300.1.v1.1,Pv,OG0005018,38,1.9593992347721212,Up,"Multiple organellar RNA editing factor 2, chloroplastic",GO:0006397,mRNA processing,0.591938317553
PvWBCH1.1KG077700.1.v1.1,Pv,OG0015134,39,1.946356571633634,Up,"Heat shock protein, mitochondrial",GO:0009408,response to heat,0.72598800882
PvWBCH1.2NG036100.1.v1.1,Pv,OG0001162,40,1.926758531986465,Up,NA,NA,NA,NA
PvWBCH1.9KG134700.1.v1.1,Pv,OG0025315,41,1.903809558578697,Up,VOC domain-containing protein,NA,NA,NA
PvWBCH1.3KG190900.1.v1.1,Pv,OG0018783,42,1.8964656161894256,Up,Heat shock protein 101,GO:0034605,cellular response to heat,0.675115888952
