rank,species,protein_id,orthogroup,log2FC,DAP,description,short_description,BP,cold_related_category
11,Trip22,Td00001aa022969_T001,OG0013697,3.0018583106,Up,Aldose reductase,Aldose reductase,prostaglandin biosynthetic process,Detoxification / ROS scavenging
12,Ag,Ag00001aa064944_T001,OG0022470,2.3391373849,Up,Late embryogenesis abundant protein 3,LEA3,cold acclimation,Protein aggregation / membrane stability
12,Mg,Misin13G081600.1.v7.1,OG0016166,1.9931695068,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
12,Pv,PvWBCH1.9KG056000.1.v1.1,OG0000642,2.7456676021,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
12,Sn,Sn00001aa014488_T001,OG0025089,2.2451913931,Up,"Outer envelope pore protein 16-2, chloroplastic",OEP162,amino acid transmembrane transport,Metabolism / osmoregulation
12,Trip19,Td00001aa024450_T001,OG0000642,2.945982186,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
12,Trip22,Td00001aa019280_T001,OG0000034,2.8466379588,Up,Heat shock protein 70,HSP70,protein folding,Protein folding / stability
13,Ag,Ag00001aa120298_T001,OG0008270,2.2833291681,Up,GH18 domain-containing protein,GH18,carbohydrate metabolic process,Other
13,Mg,Misin18G151700.1.v7.1,OG0016973,1.9678726797,Up,Reticulon-like protein (Fragment),Reticulon-like,tryptophan biosynthetic process,Metabolism / osmoregulation
13,Pv,PvWBCH1.5NG360500.1.v1.1,OG0013321,2.7400640588,Up,Nematode resistance protein-like HSPRO2,Nematode HSPRO2,tryptophan catabolic process to kynurenine,Other
13,Sn,Sn00001aa060716_T002,OG0017067,2.233274539,Up,Tryptophan synthase,Tryptophan synthase,tryptophan biosynthetic process,Metabolism / osmoregulation
13,Trip19,Td00001aa025492_T002,OG0012185,2.9183862344,Up,Methionine gamma-lyase,Methionine gamma-lyase,transsulfuration,Metabolism / osmoregulation
13,Trip22,Td00001aa032866_T001,OG0014118,2.8307919529,Up,"Outer envelope pore protein 16-2, chloroplastic",OEP162,amino acid transmembrane transport,Metabolism / osmoregulation
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
14,Mg,Misin14G086000.1.v7.1,OG0002524,1.917452029,Up,GRAM domain-containing protein,GEM-like protein 5,maintenance of seed dormancy by absisic acid,Other
14,Pv,PvWBCH1.1NG299100.1.v1.1,OG0010901,2.6827979987,Up,NA,NA,NA,Other
14,Sn,Sn00001aa002111_T004,OG0016454,2.2252749299,Up,"39 kDa EF-Hand containing protein, putative, expressed",EFHD,NA,Cold signal transduction
14,Trip19,Td00001aa032866_T001,OG0014118,2.8900575114,Up,"Outer envelope pore protein 16-2, chloroplastic",OEP162,amino acid transmembrane transport,Metabolism / osmoregulation
14,Trip22,Td00001aa004040_T001,OG0009809,2.8292391527,Up,Dehydrin,Dehydrin,cold acclimation,Protein aggregation / membrane stability
15,Ag,Ag00001aa097924_T001,OG0000288,2.2536867827,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
15,Mg,Misin14G145400.1.v7.1,OG0014160,1.9030598804,Up,Ureidoglycolate hydrolase,Ureidoglycolate hydrolase,purine nucleobase metabolic process,Metabolism / osmoregulation
15,Pv,PvWBCH1.8KG089500.1.v1.1,OG0000863,2.5935928059,Up,Xylanase inhibitor protein 1,Xylanase inhibitor,defense response to fungus,Other
15,Sn,Sn00001aa005515_T001,OG0000642,2.2156785966,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
15,Trip19,Td00001aa026762_T001,OG0000568,2.7454524831,Up,Ent-cassadiene C2-hydroxylase,Dolabradiene monooxygenase,diterpenoid metabolic process,Other
15,Trip22,Td00001aa004295_T001,OG0012515,2.8177028116,Up,Temperature-induced lipocalin,TIL1,response to reactive oxygen species,Detoxification / ROS scavenging
16,Ag,Ag00001aa028565_T001,OG0009444,2.2494453411,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
16,Mg,MisinT036500.1.v7.1,OG0017067,1.8749205244,Up,Tryptophan synthase,Tryptophan synthase,tryptophan biosynthetic process,Metabolism / osmoregulation
16,Pv,PvWBCH1.9KG185700.1.v1.1,OG0009444,2.5806279105,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
16,Sn,Sn00001aa050948_T001,OG0002524,2.2094533656,Up,GRAM domain-containing protein,GEM-like protein 5,maintenance of seed dormancy by absisic acid,Other
16,Trip19,Td00001aa017178_T002,NA,2.7239953447,Up,Dehydrin,Dehydrin,cold acclimation,Protein aggregation / membrane stability
16,Trip22,Td00001aa029174_T001,OG0010710,2.6654274992,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
17,Ag,Ag00001aa013246_T001,OG0005269,2.2110121935,Up,Ribonuclease 1,Ribonuclease 1,anthocyanin-containing compound biosynthetic process,Other
17,Mg,Misin17G176700.1.v7.1,OG0013692,1.857847616,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,PEBP,NA,Lipid metabolism
17,Pv,PvWBCH1.9KG029500.1.v1.1,OG0012032,2.5651096965,Up,Actin-depolymerizing factor 3,Actin-depolymerizing 3,actin filament depolymerization,Cytoskeleton stability
17,Sn,Sn00001aa099345_T002,OG0023941,2.2035144111,Up,Protein HEAT-STRESS-ASSOCIATED 32,HSA32,post-transcriptional regulation of gene ...,Protein folding / stability
17,Trip19,Td00001aa004295_T001,OG0012515,2.6285403193,Up,Temperature-induced lipocalin,TIL1,response to reactive oxygen species,Detoxification / ROS scavenging
17,Trip22,Td00001aa040575_T001,OG0001162,2.6468049312,Up,Cylicin-1,Cylicin-1,base-excision repair,Cytoskeleton stability
18,Ag,Ag00001aa143736_T001,OG0000288,2.1253204737,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
18,Mg,MisinT206400.1.v7.1,OG0021874,1.8553323896,Up,galactinol--sucrose galactosyltransferase,Raffinose synthase,response to water deprivation,Metabolism / osmoregulation
18,Pv,PvWBCH1.9NG181900.1.v1.1,OG0009444,2.5563067842,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
18,Sn,Sn00001aa011441_T001,OG0018330,2.200378798,Up,"Anthranilate phosphoribosyltransferase, chloroplastic",Anthranilate PRTase,tryptophan biosynthetic process,Metabolism / osmoregulation
18,Trip19,Td00001aa014939_T002,OG0008494,2.6248027653,Up,UDP-glucose 4-epimerase,UDP-glucose 4-epimerase,galactose metabolic process,Metabolism / osmoregulation
18,Trip22,Td00001aa024379_T002,OG0012053,2.5783062576,Up,Stem-specific protein TSJT1,TSJT1,NA,Other
19,Ag,Ag00001aa006944_T001,OG0020442,2.1203519404,Up,Embryonic protein DC-8,Embryonic protein DC-8,NA,Protein aggregation / membrane stability
19,Mg,Misin02G173100.1.v7.1,OG0009444,1.8250569238,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
19,Pv,PvWBCH1.3NG315700.1.v1.1,OG0002524,2.5195419046,Up,GRAM domain-containing protein,GEM-like protein 5,maintenance of seed dormancy by absisic acid,Other
19,Sn,Sn00001aa035637_T001,OG0024384,2.1414327909,Up,Golgi apparatus membrane protein TVP15,TVP15,NA,Other
19,Trip19,Td00001aa033192_T001,OG0000288,2.552868871,Up,16.9 kDa class I heat shock protein 1,HSP16.9A,protein folding,Protein folding / stability
19,Trip22,Td00001aa002232_T001,OG0014638,2.5688236439,Up,NA,NA,NA,Other
20,Ag,Ag00001aa041516_T001,OG0009444,2.1063483195,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
20,Mg,Misin02G374500.1.v7.1,OG0001139,1.8063062231,Up,Bet v I/Major latex protein domain-containing protein,Pathogenesis-related 1,abscisic acid-activated signaling pathway,Other
20,Pv,PvWBCH1.9KG512900.1.v1.1,OG0001959,2.4985061892,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
20,Sn,Sn00001aa088201_T001,OG0013568,2.1358631654,Up,Calcium-transporting ATPase,Ca-transporting ATPase,response to water deprivation,Cold signal transduction
20,Trip19,Td00001aa000735_T001,OG0002718,2.4481080437,Up,X8 domain-containing protein,"1,3-Beta-glucosidase",carbohydrate metabolic process,Other
20,Trip22,Td00001aa021652_T001,OG0022704,2.4944114966,Up,Aconitate hydratase,Aconitase 1,cellular aldehyde metabolic process,Metabolism / osmoregulation
21,Ag,Ag00001aa100594_T001,OG0015134,2.0854246563,Up,"Heat shock protein, mitochondrial","HSP, mitochondrial",response to heat,Protein folding / stability
21,Mg,Misin16G248000.1.v7.1,OG0022194,1.7977212366,Up,Water stress and hypersensitive response domain-containing protein,LEA14-A,response to desiccation,Protein aggregation / membrane stability
21,Pv,PvWBCH1.9NG055800.1.v1.1,OG0000642,2.4122395663,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
21,Sn,Sn00001aa000144_T001,OG0018330,2.1263121303,Up,"Anthranilate phosphoribosyltransferase, chloroplastic",Anthranilate PRTase,tryptophan biosynthetic process,Metabolism / osmoregulation
21,Trip19,Td00001aa019065_T001,OG0005483,2.3256742341,Up,Small heat shock protein HSP17.8,sHSP17.8,protein folding,Protein folding / stability
21,Trip22,Td00001aa033308_T001,OG0000288,2.4714710776,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
22,Ag,Ag00001aa052871_T001,NA,2.0765590951,Up,23.2 kDa heat shock protein-like,HSP23.2,protein folding,Protein folding / stability
22,Mg,Misin08G045800.1.v7.1,OG0023272,1.7489703732,Up,SNF1-related protein kinase regulatory subunit gamma-like PV42a,PV42a,embryo sac development,Other
22,Pv,PvWBCH1.9KG488800.1.v1.1,OG0008582,2.3239464554,Up,Embryonic protein DC-8,Embryonic protein DC-8,cold acclimation,Protein aggregation / membrane stability
22,Sn,Sn00001aa010461_T001,OG0021543,2.0377336274,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",Phosphoglycerate mutase,glycolytic process,Metabolism / osmoregulation
22,Trip19,Td00001aa022732_T002,OG0025011,2.2942531364,Up,Globin domain-containing protein,Anaerobic nitrite reductase,NA,Other
22,Trip22,Td00001aa038053_T001,OG0037479,2.3139346652,Up,"Starch synthase, chloroplastic/amyloplastic",Starch synthase,starch biosynthetic process,Metabolism / osmoregulation
23,Ag,Ag00001aa121107_T001,OG0009444,2.0721058005,Up,Low-temperature-induced 65 kDa protein,LTI65,response to abscisic acid,Protein aggregation / membrane stability
23,Mg,Misin18G197900.1.v7.1,OG0019355,1.7110967937,Up,tryptophan synthase,Tryptophan synthase,tryptophan biosynthetic process,Metabolism / osmoregulation
23,Pv,PvWBCH1.2NG099200.1.v1.1,OG0029632,2.3109217352,Up,12-oxophytodienoate reductase 1,OPR1,oxylipin biosynthetic process,Detoxification / ROS scavenging
23,Sn,Sn00001aa040888_T001,OG0009496,1.9737949297,Up,AAA+ ATPase domain-containing protein,AAA+ ATPase,pollen sperm cell differentiation,Other
23,Trip19,Td00001aa024451_T001,OG0000642,2.2714256761,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
23,Trip22,Td00001aa029231_T001,OG0013447,2.3033657735,Up,Malate synthase,Malate synthase,glyoxylate cycle,Metabolism / osmoregulation
24,Ag,Ag00001aa116892_T001,OG0025357,2.0538064437,Up,rRNA N-glycosylase,rRNA N-glycosylase,negative regulation of translation,Other
24,Mg,Misin05G381000.1.v7.1,OG0005796,1.677088425,Up,Peroxidase,Peroxidase,hydrogen peroxide catabolic process,Detoxification / ROS scavenging
24,Pv,PvWBCH1.3KG087700.1.v1.1,OG0008648,2.2770920825,Up,UMP-CMP kinase,UMP-CMP kinase,nucleoside monophosphate phosphorylation,Metabolism / osmoregulation
24,Sn,Sn00001aa014825_T001,OG0021022,1.8773516264,Up,Heat shock 70 kDa protein 8,HSP70 8,protein folding,Protein folding / stability
24,Trip19,Td00001aa020613_T001,OG0017265,2.2606279081,Up,Transmembrane protein,Transmembrane protein,NA,Other
24,Trip22,Td00001aa033760_T001,OG0009509,2.2676018133,Up,Heme-binding protein 2,Heme-binding protein,NA,Other
25,Ag,Ag00001aa023522_T001,OG0016454,2.0538064437,Up,"39 kDa EF-Hand containing protein, putative, expressed",EFHD,NA,Cold signal transduction
25,Mg,Misin03G046400.1.v7.1,OG0025362,1.6488561173,Up,tryptophan synthase,Tryptophan synthase,tryptophan biosynthetic process,Metabolism / osmoregulation
25,Pv,PvWBCH1.7KG090500.2.v1.1,NA,2.2175409399,Up,"1,4-alpha-glucan branching enzyme",SBE II-1,starch metabolic process,Metabolism / osmoregulation
25,Sn,Sn00001aa103117_T001,OG0013692,1.8619553641,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,PEBP,NA,Lipid metabolism
25,Trip19,Td00001aa031042_T001,OG0013692,2.2454956628,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,PEBP,NA,Lipid metabolism
25,Trip22,Td00001aa008985_T001,OG0005483,2.2383974978,Up,Small heat shock protein HSP17.8,sHSP17.8,protein folding,Protein folding / stability
26,Ag,Ag00001aa009144_T001,NA,2.0359757437,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",Phosphoglycerate mutase,glycolytic process,Metabolism / osmoregulation
26,Mg,Misin11G222200.1.v7.1,NA,1.5934960268,Up,(S)-2-hydroxy-acid oxidase,GLO3,response to other organism,Detoxification / ROS scavenging
26,Pv,PvWBCH1.5NG350300.1.v1.1,OG0000034,2.1427401721,Up,Heat shock protein 70,HSP70,protein folding,Protein folding / stability
26,Sn,Sn00001aa080797_T001,OG0016973,1.8507994231,Up,Reticulon-like protein (Fragment),Reticulon-like,tryptophan biosynthetic process,Metabolism / osmoregulation
26,Trip19,Td00001aa021652_T001,OG0022704,2.1596291858,Up,Aconitate hydratase,Aconitase 1,cellular aldehyde metabolic process,Metabolism / osmoregulation
26,Trip22,Td00001aa019363_T002,OG0008548,2.2122244058,Up,phosphoenolpyruvate carboxykinase (ATP),PEP carboxykinase 2,gluconeogenesis,Metabolism / osmoregulation
27,Ag,Ag00001aa064445_T001,OG0013692,2.0349199843,Up,PEBP (Phosphatidylethanolamine-binding protein) family protein,PEBP,NA,Lipid metabolism
27,Mg,Misin01G418600.1.v7.1,OG0023753,1.5835474,Up,Senescence domain-containing protein,Senescence domain,NA,Other
27,Pv,PvWBCH1.4NG037300.1.v1.1,OG0002559,2.1053428403,Up,MPN domain-containing protein,Pre-mRNA-processing,spliceosomal tri-snRNP complex assembly,Other
27,Sn,Sn00001aa001175_T001,OG0021543,1.814345335,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",Phosphoglycerate mutase,glycolytic process,Metabolism / osmoregulation
27,Trip19,Td00001aa033337_T001,OG0003421,2.1302719545,Up,KOW domain-containing protein,KOW,translation,Other
27,Trip22,Td00001aa039232_T002,OG0002524,2.198565787,Up,GRAM domain-containing protein,GEM-like protein 5,maintenance of seed dormancy by absisic acid,Other
28,Ag,Ag00001aa102742_T001,OG0016578,2.0321008432,Up,Small heat shock protein 26,sHSP26,response to heat,Protein folding / stability
28,Mg,Misin01G050700.1.v7.1,OG0042291,1.5421494172,Up,"Stem-specific protein TSJT1, putative, expressed",TSJT1,NA,Other
28,Pv,PvWBCH1.7KG234800.1.v1.1,OG0020442,2.1016500761,Up,Embryonic protein DC-8,Embryonic protein DC-8,NA,Protein aggregation / membrane stability
28,Sn,Sn00001aa006179_T001,OG0015482,1.7756827017,Up,DUF255 domain-containing protein,DUF255,carbohydrate metabolic process,Other
28,Trip19,Td00001aa010483_T002,NA,2.0908534305,Up,Malic enzyme,Malic enzyme,pyruvate metabolic process,Metabolism / osmoregulation
28,Trip22,Td00001aa027028_T002,OG0014966,2.1872313767,Up,Protein DETOXIFICATION,Protein DETOXIFICATION,xenobiotic detoxification by transmembrane export across the plasma membrane,Detoxification / ROS scavenging
29,Ag,Ag00001aa076340_T001,OG0026292,1.9737949297,Up,NA,NA,NA,Other
29,Mg,Misin18G170000.1.v7.1,OG0005873,1.5157964293,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
29,Pv,PvWBCH1.5KG266500.1.v1.1,OG0007798,2.0894981508,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
29,Sn,Sn00001aa082341_T001,OG0024036,1.7518921384,Up,transketolase,Transketolase,pentose-phosphate shunt,Metabolism / osmoregulation
29,Trip19,Td00001aa033308_T001,OG0000288,2.0799753767,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
29,Trip22,Td00001aa007217_T002,OG0010227,2.1547096656,Up,UspA domain-containing protein,UspA,NA,Other
30,Ag,Ag00001aa064448_T001,OG0008398,1.9392265777,Up,pyruvate decarboxylase,Pyruvate decarboxylase,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway,Metabolism / osmoregulation
30,Mg,Misin17G173700.1.v7.1,OG0022454,1.4894847511,Up,Aminotransferase class-III,Aminotransferase III,NA,Metabolism / osmoregulation
30,Pv,PvWBCH1.9KG381100.1.v1.1,OG0021543,2.0833835877,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",Phosphoglycerate mutase,glycolytic process,Metabolism / osmoregulation
30,Sn,Sn00001aa086694_T001,OG0010361,1.6544355408,Up,Glucose-1-phosphate adenylyltransferase,AGPase,starch biosynthetic process,Metabolism / osmoregulation
30,Trip19,Td00001aa024207_T001,OG0012032,2.0621217119,Up,Actin-depolymerizing factor 3,Actin-depolymerizing 3,actin filament depolymerization,Cytoskeleton stability
30,Trip22,Td00001aa019065_T001,OG0005483,2.1267054356,Up,Small heat shock protein HSP17.8,sHSP17.8,protein folding,Protein folding / stability
31,Ag,Ag00001aa047463_T001,OG0008092,1.9263790252,Up,protein-disulfide reductase,protein-di-S reductase,cellular oxidant detoxification,Protein folding / stability
