"motif_id","Name","Class","Family","Type","UniprotID","SpeciesName","BaseID","TaxGroup","Cluster","ClusterDesc"
"MA0574.1","MYB15","Tryptophan cluster factors","Myb","SELEX","Q9LTC4","Arabidopsis thaliana","MA0574","plants","cluster_02","MYB_TRB"
"MA0576.2","RAX3","Tryptophan cluster factors","MYB","SELEX","Q9M2Y9","Arabidopsis thaliana","MA0576","plants","cluster_02","MYB_TRB"
"MA0577.4","SPL3","C3H(C),C2HC zinc fingers factors","SBP","SELEX","P93015","Arabidopsis thaliana","MA0577","plants","cluster_28","SPL_A"
"MA0578.1","SPL8","C3H(C),C2HC zinc fingers factors","SBP","SELEX","Q8GXL3","Arabidopsis thaliana","MA0578","plants","cluster_40","SPL8"
"MA0930.3","ABF3","Basic leucine zipper factors (bZIP)","Group A","","Q9M7Q3","Arabidopsis thaliana","MA0930","plants","cluster_07","BHLH_CAMTA"
"MA0931.2","ABI5","Basic leucine zipper factors (bZIP)","Group A","PBM","Q9SJN0","Arabidopsis thaliana","MA0931","plants","cluster_07","BHLH_CAMTA"
"MA0932.1","AHL12","A.T hook factors","AHL","PBM","Q8LPN5","Arabidopsis thaliana","MA0932","plants","cluster_09","HDZIP_PLINC_AHL"
"MA0933.1","AHL20","A.T hook factors","AHL","PBM","Q8GWQ2","Arabidopsis thaliana","MA0933","plants","cluster_09","HDZIP_PLINC_AHL"
"MA0940.1","AP1","MADS box factors","MIKC","ChIP-seq","P35631","Arabidopsis thaliana","MA0940","plants","cluster_23","MIKC"
"MA0941.2","ABF2","Basic leucine zipper factors (bZIP)","Group A","PBM","Q9M7Q4","Arabidopsis thaliana","MA0941","plants","cluster_07","BHLH_CAMTA"
"MA0952.1","ATHB-51","Homeo domain factors","HD-ZIP","PBM","Q9LZR0","Arabidopsis thaliana","MA0952","plants","cluster_09","HDZIP_PLINC_AHL"
"MA0957.1","BHLH3","Basic helix-loop-helix factors (bHLH)","bHLH","PBM","O23487","Arabidopsis thaliana","MA0957","plants","cluster_07","BHLH_CAMTA"
"MA0958.1","BHLH13","Basic helix-loop-helix factors (bHLH)","bHLH","PBM","Q9LNJ5","Arabidopsis thaliana","MA0958","plants","cluster_07","BHLH_CAMTA"
"MA0959.1","AIB","Basic helix-loop-helix factors (bHLH)","bHLH","PBM","Q9ZPY8","Arabidopsis thaliana","MA0959","plants","cluster_07","BHLH_CAMTA"
"MA0968.3","BZIP68","Basic leucine zipper factors (bZIP)","Group G","DAP-seq","Q84LG2","Arabidopsis thaliana","MA0968","plants","cluster_07","BHLH_CAMTA"
"MA0971.2","DREB1A","AP2/EREBP","ERF/DREB","PBM","Q9M0L0","Arabidopsis thaliana","MA0971","plants","cluster_15","ERF_DREB_A"
"MA0972.1","CCA1","Tryptophan cluster factors","Myb-related","PBM","P92973","Arabidopsis thaliana","MA0972","plants","cluster_13","RVE_ARR_GATA"
"MA0973.2","CDF2","Other C4 zinc finger-type factors","DOF","PBM","Q93ZL5","Arabidopsis thaliana","MA0973","plants","cluster_03","DOF_CDF"
"MA0975.1","CRF2","AP2/EREBP","ERF/DREB","PBM","Q9SUQ2","Arabidopsis thaliana","MA0975","plants","cluster_24","ERF_DREB_B"
"MA0976.3","CRF4","AP2/EREBP","ERF/DREB","DAP-seq","Q9SUE3","Arabidopsis thaliana","MA0976","plants","cluster_24","ERF_DREB_B"
"MA0977.1","DOF2.5","Other C4 zinc finger-type factors","DOF","PBM","Q9ZPY0","Arabidopsis thaliana","MA0977","plants","cluster_03","DOF_CDF"
"MA0978.1","DREB1E","AP2/EREBP","ERF/DREB","PBM","Q9SGJ6","Arabidopsis thaliana","MA0978","plants","cluster_15","ERF_DREB_A"
"MA0986.1","DREB2C","AP2/EREBP","ERF/DREB","PBM","Q8LFR2","Arabidopsis thaliana","MA0986","plants","cluster_15","ERF_DREB_A"
"MA0992.3","ERF4","AP2/EREBP","ERF/DREB","DAP-seq","O80340","Arabidopsis thaliana","MA0992","plants","cluster_24","ERF_DREB_B"
"MA0994.3","ERF8","AP2/EREBP","ERF/DREB","","Q9MAI5","Arabidopsis thaliana","MA0994","plants","cluster_24","ERF_DREB_B"
"MA1000.3","ERF105","AP2/EREBP","ERF/DREB","DAP-seq","Q8VY90","Arabidopsis thaliana","MA1000","plants","cluster_24","ERF_DREB_B"
"MA1001.4","ERF076","AP2/EREBP","ERF/DREB","","Q9C5I3","Arabidopsis thaliana","MA1001","plants","cluster_24","ERF_DREB_B"
"MA1004.2","ERF13","AP2/EREBP","ERF/DREB","PBM","Q8L9K1","Arabidopsis thaliana","MA1004","plants","cluster_24","ERF_DREB_B"
"MA1005.3","ERF082","AP2/EREBP","ERF/DREB","DAP-seq","O80339","Arabidopsis thaliana","MA1005","plants","cluster_24","ERF_DREB_B"
"MA1006.2","ERF6","AP2/EREBP","ERF/DREB","PBM","Q8VZ91","Arabidopsis thaliana","MA1006","plants","cluster_15","ERF_DREB_A"
"MA1007.1","PHYPADRAFT_173530","AP2/EREBP","ERF/DREB","PBM","","Physcomitrium patens","MA1007","plants","cluster_15","ERF_DREB_A"
"MA1008.2","PHYPADRAFT_182268","AP2/EREBP","ERF/DREB","PBM","A9S898","Physcomitrium patens","MA1008","plants","cluster_15","ERF_DREB_A"
"MA1012.1","AGL27","MADS box factors","MIKC","ChIP-seq","Q9AT76","Arabidopsis thaliana","MA1012","plants","cluster_23","MIKC"
"MA1023.1","PHYPADRAFT_28324","AP2/EREBP","ERF/DREB","PBM","","Physcomitrium patens","MA1023","plants","cluster_15","ERF_DREB_A"
"MA1026.3","ATHB-15","Homeo domain factors","HD-ZIP","DAP-seq","Q9ZU11","Arabidopsis thaliana","MA1026","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1030.2","P0510F09.23","Tryptophan cluster factors","MYB","PBM","Q5N9C9","Oryza sativa Japonica Group","MA1030","plants","cluster_02","MYB_TRB"
"MA1033.1","OJ1058_F05.8","Basic leucine zipper factors (bZIP)","Group A","PBM","Q75HX9","Oryza sativa Japonica Group","MA1033","plants","cluster_07","BHLH_CAMTA"
"MA1034.1","Os05g0497200","AP2/EREBP","ERF/DREB","PBM","Q75K84","Oryza sativa Japonica Group","MA1034","plants","cluster_24","ERF_DREB_B"
"MA1036.1","MYB111","Tryptophan cluster factors","Myb","PBM","Q9FJ07","Arabidopsis thaliana","MA1036","plants","cluster_02","MYB_TRB"
"MA1038.2","MYB3","Tryptophan cluster factors","MYB","PBM","Q9S9K9","Arabidopsis thaliana","MA1038","plants","cluster_02","MYB_TRB"
"MA1039.1","MYB4","Tryptophan cluster factors","Myb","PBM","Q9SZP1","Arabidopsis thaliana","MA1039","plants","cluster_02","MYB_TRB"
"MA1040.1","MYB46","Tryptophan cluster factors","Myb","PBM","Q9LXV2","Arabidopsis thaliana","MA1040","plants","cluster_02","MYB_TRB"
"MA1041.1","MYB55","Tryptophan cluster factors","Myb","PBM","Q9M118","Arabidopsis thaliana","MA1041","plants","cluster_02","MYB_TRB"
"MA1048.1","ERF018","AP2/EREBP","ERF/DREB","PBM","Q9S7L5","Arabidopsis thaliana","MA1048","plants","cluster_15","ERF_DREB_A"
"MA1049.2","ERF094","AP2/EREBP","ERF/DREB","PBM","Q9LND1","Arabidopsis thaliana","MA1049","plants","cluster_24","ERF_DREB_B"
"MA1051.1","RAP2-3","AP2/EREBP","ERF/DREB","PBM","P42736","Arabidopsis thaliana","MA1051","plants","cluster_24","ERF_DREB_B"
"MA1053.1","ERF109","AP2/EREBP","ERF/DREB","PBM","Q9SZ06","Arabidopsis thaliana","MA1053","plants","cluster_24","ERF_DREB_B"
"MA1055.3","SPL1","C3H(C),C2HC zinc fingers factors","SBP","SELEX","Q9SMX9","Arabidopsis thaliana","MA1055","plants","cluster_28","SPL_A"
"MA1056.2","SPL11","C3H(C),C2HC zinc fingers factors","SBP","PBM","Q9FZK0","Arabidopsis thaliana","MA1056","plants","cluster_28","SPL_A"
"MA1061.2","SPT","Basic helix-loop-helix factors (bHLH)","bHLH","PBM","Q9FUA4","Arabidopsis thaliana","MA1061","plants","cluster_07","BHLH_CAMTA"
"MA1156.2","JKD","C2H2 zinc finger factors","IDD","DAP-seq","Q700D2","Arabidopsis thaliana","MA1156","plants","cluster_08","C2H2_DOF"
"MA1157.2","NUC","C2H2 zinc finger factors","IDD","DAP-seq","Q9FFH3","Arabidopsis thaliana","MA1157","plants","cluster_08","C2H2_DOF"
"MA1158.2","MGP","C2H2 zinc finger factors","IDD","DAP-seq","Q9ZWA6","Arabidopsis thaliana","MA1158","plants","cluster_08","C2H2_DOF"
"MA1159.2","SGR5","C2H2 zinc finger factors","IDD","DAP-seq","F4IPE3","Arabidopsis thaliana","MA1159","plants","cluster_08","C2H2_DOF"
"MA1160.2","IDD6","C2H2 zinc finger factors","IDD","DAP-seq","Q8RWX7","Arabidopsis thaliana","MA1160","plants","cluster_08","C2H2_DOF"
"MA1161.1","TSO1","CPP","","DAP-seq","Q9LUI3","Arabidopsis thaliana","MA1161","plants","cluster_06","CPP"
"MA1162.1","TCX2","CPP","","DAP-seq","F4JIF5","Arabidopsis thaliana","MA1162","plants","cluster_06","CPP"
"MA1166.2","PHL12","Tryptophan cluster factors","GARP_G2-like","DAP-seq","Q8VYI2","Arabidopsis thaliana","MA1166","plants","cluster_04","HSF_GARP"
"MA1182.2","RVE8","Tryptophan cluster factors","MYB-related","DAP-seq","Q8RWU3","Arabidopsis thaliana","MA1182","plants","cluster_13","RVE_ARR_GATA"
"MA1183.2","RVE6","Tryptophan cluster factors","MYB-related","DAP-seq","Q8H0W3","Arabidopsis thaliana","MA1183","plants","cluster_13","RVE_ARR_GATA"
"MA1184.2","RVE1","Tryptophan cluster factors","MYB-related","DAP-seq","F4KGY6","Arabidopsis thaliana","MA1184","plants","cluster_13","RVE_ARR_GATA"
"MA1185.2","LHY","Tryptophan cluster factors","MYB-related","DAP-seq","F4HQG9","Arabidopsis thaliana","MA1185","plants","cluster_13","RVE_ARR_GATA"
"MA1186.2","YAB4","Tryptophan cluster factors","MYB-related","DAP-seq","Q9M9A3","Arabidopsis thaliana","MA1186","plants","cluster_05","Tryptophan_cluster"
"MA1187.2","RVE4","Tryptophan cluster factors","MYB-related","DAP-seq","Q6R0G4","Arabidopsis thaliana","MA1187","plants","cluster_13","RVE_ARR_GATA"
"MA1188.1","At3g11280","Tryptophan cluster factors","Myb-related","DAP-seq","","Arabidopsis thaliana","MA1188","plants","cluster_05","Tryptophan_cluster"
"MA1189.2","AT5G61620","Tryptophan cluster factors","MYB-related","DAP-seq","Q9FKF9","Arabidopsis thaliana","MA1189","plants","cluster_05","Tryptophan_cluster"
"MA1190.2","RVE5","Tryptophan cluster factors","MYB-related","DAP-seq","C0SVG5","Arabidopsis thaliana","MA1190","plants","cluster_13","RVE_ARR_GATA"
"MA1191.2","RVE7L","Tryptophan cluster factors","MYB-related","DAP-seq","F4J2J6","Arabidopsis thaliana","MA1191","plants","cluster_13","RVE_ARR_GATA"
"MA1192.2","DIV1","Tryptophan cluster factors","MYB-related","DAP-seq","","Arabidopsis thaliana","MA1192","plants","cluster_05","Tryptophan_cluster"
"MA1193.2","AT2G38090","Tryptophan cluster factors","MYB-related","DAP-seq","","Arabidopsis thaliana","MA1193","plants","cluster_05","Tryptophan_cluster"
"MA1194.2","AT3G10580","Tryptophan cluster factors","MYB-related","DAP-seq","","Arabidopsis thaliana","MA1194","plants","cluster_05","Tryptophan_cluster"
"MA1195.2","AT5G56840","Tryptophan cluster factors","MYB-related","DAP-seq","","Arabidopsis thaliana","MA1195","plants","cluster_05","Tryptophan_cluster"
"MA1196.2","AT5G05790","Tryptophan cluster factors","MYB-related","DAP-seq","","Arabidopsis thaliana","MA1196","plants","cluster_05","Tryptophan_cluster"
"MA1199.1","AGL16","MADS box factors","MIKC","DAP-seq","A2RVQ5","Arabidopsis thaliana","MA1199","plants","cluster_23","MIKC"
"MA1203.1","AGL63","MADS box factors","MIKC","DAP-seq","Q9SA07","Arabidopsis thaliana","MA1203","plants","cluster_23","MIKC"
"MA1204.1","AGL13","MADS box factors","MIKC","DAP-seq","Q38837","Arabidopsis thaliana","MA1204","plants","cluster_23","MIKC"
"MA1205.1","AGL6","MADS box factors","MIKC","DAP-seq","P29386","Arabidopsis thaliana","MA1205","plants","cluster_23","MIKC"
"MA1207.2","GT-3a","Tryptophan cluster factors","Trihelix","DAP-seq","Q9SDW0","Arabidopsis thaliana","MA1207","plants","cluster_07","BHLH_CAMTA"
"MA1208.2","GT-2","Tryptophan cluster factors","Trihelix","DAP-seq","Q39117","Arabidopsis thaliana","MA1208","plants","cluster_10","WRKY"
"MA1212.2","ATHB-13","Homeo domain factors","HD-ZIP","DAP-seq","Q8LC03","Arabidopsis thaliana","MA1212","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1213.3","ZHD3","Homeo domain factors","PLINC","","O64722","Arabidopsis thaliana","MA1213","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1214.2","ATHB-40","Homeo domain factors","HD-ZIP","DAP-seq","O23208","Arabidopsis thaliana","MA1214","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1215.2","ATHB-53","Homeo domain factors","HD-ZIP","DAP-seq","Q9LVR0","Arabidopsis thaliana","MA1215","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1218.2","DREB1D","AP2/EREBP","ERF/DREB","DAP-seq","Q9FJ93","Arabidopsis thaliana","MA1218","plants","cluster_15","ERF_DREB_A"
"MA1219.3","ERF011","AP2/EREBP","ERF/DREB","","Q9SNE1","Arabidopsis thaliana","MA1219","plants","cluster_15","ERF_DREB_A"
"MA1220.2","TINY","AP2/EREBP","ERF/DREB","DAP-seq","Q39127","Arabidopsis thaliana","MA1220","plants","cluster_15","ERF_DREB_A"
"MA1221.1","RAP2-6","AP2/EREBP","ERF/DREB","DAP-seq","Q7G1L2","Arabidopsis thaliana","MA1221","plants","cluster_24","ERF_DREB_B"
"MA1222.1","ERF014","AP2/EREBP","ERF/DREB","DAP-seq","Q9LPE8","Arabidopsis thaliana","MA1222","plants","cluster_24","ERF_DREB_B"
"MA1223.2","ERF035","AP2/EREBP","ERF/DREB","DAP-seq","Q9M210","Arabidopsis thaliana","MA1223","plants","cluster_15","ERF_DREB_A"
"MA1225.1","ERF5","AP2/EREBP","ERF/DREB","DAP-seq","O80341","Arabidopsis thaliana","MA1225","plants","cluster_24","ERF_DREB_B"
"MA1226.2","DREB2G","AP2/EREBP","ERF/DREB","DAP-seq","P61827","Arabidopsis thaliana","MA1226","plants","cluster_24","ERF_DREB_B"
"MA1228.2","ERF091","AP2/EREBP","ERF/DREB","DAP-seq","Q8LBQ7","Arabidopsis thaliana","MA1228","plants","cluster_24","ERF_DREB_B"
"MA1229.2","ERF034","AP2/EREBP","ERF/DREB","DAP-seq","Q8LBQ7","Arabidopsis thaliana","MA1229","plants","cluster_15","ERF_DREB_A"
"MA1230.2","ERF037","AP2/EREBP","ERF/DREB","DAP-seq","O80654","Arabidopsis thaliana","MA1230","plants","cluster_15","ERF_DREB_A"
"MA1231.3","ERF15","AP2/EREBP","ERF/DREB","","Q8VYM0","Arabidopsis thaliana","MA1231","plants","cluster_24","ERF_DREB_B"
"MA1232.2","ERF054","AP2/EREBP","ERF/DREB","DAP-seq","Q9M0J3","Arabidopsis thaliana","MA1232","plants","cluster_15","ERF_DREB_A"
"MA1233.3","ERF021","AP2/EREBP","ERF/DREB","DAP-seq","Q9C9I2","Arabidopsis thaliana","MA1233","plants","cluster_15","ERF_DREB_A"
"MA1234.2","ERF017","AP2/EREBP","ERF/DREB","DAP-seq","Q84QC2","Arabidopsis thaliana","MA1234","plants","cluster_15","ERF_DREB_A"
"MA1238.3","ERF038","AP2/EREBP","ERF/DREB","DAP-seq","Q9ZQP3","Arabidopsis thaliana","MA1238","plants","cluster_15","ERF_DREB_A"
"MA1239.2","ERF104","AP2/EREBP","ERF/DREB","DAP-seq","Q9FKG1","Arabidopsis thaliana","MA1239","plants","cluster_24","ERF_DREB_B"
"MA1240.2","ERF077","AP2/EREBP","ERF/DREB","DAP-seq","Q9ZWA2","Arabidopsis thaliana","MA1240","plants","cluster_24","ERF_DREB_B"
"MA1241.2","ERF043","AP2/EREBP","ERF/DREB","DAP-seq","Q9M080","Arabidopsis thaliana","MA1241","plants","cluster_15","ERF_DREB_A"
"MA1242.1","DREB2F","AP2/EREBP","ERF/DREB","DAP-seq","Q9SVX5","Arabidopsis thaliana","MA1242","plants","cluster_24","ERF_DREB_B"
"MA1244.2","ABR1","AP2/EREBP","ERF/DREB","DAP-seq","Q9FGF8","Arabidopsis thaliana","MA1244","plants","cluster_24","ERF_DREB_B"
"MA1245.3","ERF112","AP2/EREBP","ERF/DREB","DAP-seq","P93007","Arabidopsis thaliana","MA1245","plants","cluster_24","ERF_DREB_B"
"MA1246.2","LEP","AP2/EREBP","ERF/DREB","DAP-seq","Q9M644","Arabidopsis thaliana","MA1246","plants","cluster_24","ERF_DREB_B"
"MA1247.2","ERF087","AP2/EREBP","ERF/DREB","DAP-seq","Q9FZ90","Arabidopsis thaliana","MA1247","plants","cluster_24","ERF_DREB_B"
"MA1248.2","ERF012","AP2/EREBP","ERF/DREB","DAP-seq","Q9SFE4","Arabidopsis thaliana","MA1248","plants","cluster_15","ERF_DREB_A"
"MA1250.2","DREB2D","AP2/EREBP","ERF/DREB","DAP-seq","Q9LQZ2","Arabidopsis thaliana","MA1250","plants","cluster_24","ERF_DREB_B"
"MA1251.2","RAP2-9","AP2/EREBP","ERF/DREB","DAP-seq","Q8W3M3","Arabidopsis thaliana","MA1251","plants","cluster_15","ERF_DREB_A"
"MA1252.2","ERF086","AP2/EREBP","ERF/DREB","DAP-seq","Q6J9Q2","Arabidopsis thaliana","MA1252","plants","cluster_24","ERF_DREB_B"
"MA1253.2","ERF036","AP2/EREBP","ERF/DREB","DAP-seq","Q9LU18","Arabidopsis thaliana","MA1253","plants","cluster_15","ERF_DREB_A"
"MA1256.2","RAP2-12","AP2/EREBP","ERF/DREB","DAP-seq","Q9SSA8","Arabidopsis thaliana","MA1256","plants","cluster_24","ERF_DREB_B"
"MA1257.2","ERF9","AP2/EREBP","ERF/DREB","DAP-seq","Q9FE67","Arabidopsis thaliana","MA1257","plants","cluster_37","ERF9_AS2"
"MA1258.2","DREB2A","AP2/EREBP","ERF/DREB","DAP-seq","O82132","Arabidopsis thaliana","MA1258","plants","cluster_15","ERF_DREB_A"
"MA1259.2","ERF023","AP2/EREBP","ERF/DREB","DAP-seq","Q1ECI2","Arabidopsis thaliana","MA1259","plants","cluster_15","ERF_DREB_A"
"MA1260.2","ERF013","AP2/EREBP","ERF/DREB","DAP-seq","Q9CAP4","Arabidopsis thaliana","MA1260","plants","cluster_15","ERF_DREB_A"
"MA1261.2","ERF122","AP2/EREBP","ERF/DREB","DAP-seq","Q38Q40","Arabidopsis thaliana","MA1261","plants","cluster_24","ERF_DREB_B"
"MA1262.2","ERF2","AP2/EREBP","ERF/DREB","DAP-seq","O80338","Arabidopsis thaliana","MA1262","plants","cluster_24","ERF_DREB_B"
"MA1263.2","ERF055","AP2/EREBP","ERF/DREB","DAP-seq","Q9SKW5","Arabidopsis thaliana","MA1263","plants","cluster_15","ERF_DREB_A"
"MA1264.2","ERF095","AP2/EREBP","ERF/DREB","DAP-seq","Q9LTC6","Arabidopsis thaliana","MA1264","plants","cluster_24","ERF_DREB_B"
"MA1265.3","ERF015","AP2/EREBP","ERF/DREB","DAP-seq","Q6NLD5","Arabidopsis thaliana","MA1265","plants","cluster_15","ERF_DREB_A"
"MA1266.2","RAP2-11","AP2/EREBP","ERF/DREB","DAP-seq","Q6J9S1","Arabidopsis thaliana","MA1266","plants","cluster_24","ERF_DREB_B"
"MA1267.2","DOF5.8","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9FGD6","Arabidopsis thaliana","MA1267","plants","cluster_08","C2H2_DOF"
"MA1268.2","CDF5","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9SEZ3","Arabidopsis thaliana","MA1268","plants","cluster_08","C2H2_DOF"
"MA1270.2","DOF3.2","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9M1E6","Arabidopsis thaliana","MA1270","plants","cluster_08","C2H2_DOF"
"MA1273.2","DOF4.2","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9SUB1","Arabidopsis thaliana","MA1273","plants","cluster_03","DOF_CDF"
"MA1274.1","DOF3.6","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9M2U1","Arabidopsis thaliana","MA1274","plants","cluster_08","C2H2_DOF"
"MA1275.2","DOF1.6","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9SX97","Arabidopsis thaliana","MA1275","plants","cluster_03","DOF_CDF"
"MA1276.2","DOF3.5","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9SVC5","Arabidopsis thaliana","MA1276","plants","cluster_03","DOF_CDF"
"MA1277.2","DOF1.7","Other C4 zinc finger-type factors","DOF","DAP-seq","O82155","Arabidopsis thaliana","MA1277","plants","cluster_03","DOF_CDF"
"MA1278.2","DOF3.4","Other C4 zinc finger-type factors","DOF","DAP-seq","Q39088","Arabidopsis thaliana","MA1278","plants","cluster_08","C2H2_DOF"
"MA1279.2","DOF1.5","Other C4 zinc finger-type factors","DOF","DAP-seq","P68350","Arabidopsis thaliana","MA1279","plants","cluster_08","C2H2_DOF"
"MA1280.2","DOF5.4","Other C4 zinc finger-type factors","DOF","DAP-seq","Q8LDR0","Arabidopsis thaliana","MA1280","plants","cluster_03","DOF_CDF"
"MA1281.2","DOF5.1","Other C4 zinc finger-type factors","DOF","DAP-seq","Q9LZ56","Arabidopsis thaliana","MA1281","plants","cluster_08","C2H2_DOF"
"MA1292.2","MYB27","Tryptophan cluster factors","MYB","DAP-seq","Q9SCP1","Arabidopsis thaliana","MA1292","plants","cluster_02","MYB_TRB"
"MA1320.2","SPL15","C3H(C),C2HC zinc fingers factors","SBP","DAP-seq","Q9M2Q6","Arabidopsis thaliana","MA1320","plants","cluster_28","SPL_A"
"MA1323.2","GATA19","Other C4 zinc finger-type factors","C4-GATA-related","DAP-seq","Q6QPM2","Arabidopsis thaliana","MA1323","plants","cluster_13","RVE_ARR_GATA"
"MA1324.1","GATA20","Other C4 zinc finger-type factors","C4-GATA-related","DAP-seq","Q9ZPX0","Arabidopsis thaliana","MA1324","plants","cluster_13","RVE_ARR_GATA"
"MA1326.2","ZHD5","Homeo domain factors","PLINC","DAP-seq","Q9FRL5","Arabidopsis thaliana","MA1326","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1327.3","ATHB-23","Homeo domain factors","HD-ZIP","DAP-seq","Q8LFD3","Arabidopsis thaliana","MA1327","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1328.1","ZHD9","Homeo domain factors","PLINC","DAP-seq","Q8LFD3","Arabidopsis thaliana","MA1328","plants","cluster_06","CPP"
"MA1329.3","ZHD1","Homeo domain factors","PLINC","DAP-seq","Q9SB61","Arabidopsis thaliana","MA1329","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1330.2","ZHD6","Homeo domain factors","PLINC","DAP-seq","","Arabidopsis thaliana","MA1330","plants","cluster_09","HDZIP_PLINC_AHL"
"MA1331.2","BEH4","Basic helix-loop-helix factors (bHLH)","BES/BZR","DAP-seq","Q9ZV88","Arabidopsis thaliana","MA1331","plants","cluster_07","BHLH_CAMTA"
"MA1332.2","BEH2","Basic helix-loop-helix factors (bHLH)","BES/BZR","DAP-seq","Q94A43","Arabidopsis thaliana","MA1332","plants","cluster_07","BHLH_CAMTA"
"MA1333.2","BEH3","Basic helix-loop-helix factors (bHLH)","BES/BZR","DAP-seq","O49404","Arabidopsis thaliana","MA1333","plants","cluster_07","BHLH_CAMTA"
"MA1334.2","BZIP11","Basic leucine zipper factors (bZIP)","Group S","DAP-seq","O65683","Arabidopsis thaliana","MA1334","plants","cluster_14","BZIP_TGA"
"MA1337.2","BZIP44","Basic leucine zipper factors (bZIP)","Group S","DAP-seq","C0Z2L5","Arabidopsis thaliana","MA1337","plants","cluster_14","BZIP_TGA"
"MA1338.3","DPBF3","Basic leucine zipper factors (bZIP)","Group A","","Q9LES3","Arabidopsis thaliana","MA1338","plants","cluster_07","BHLH_CAMTA"
