Ag_peptides	Ag_protein	Mg_protein_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Ag00001aa096403_T001_16	Ag00001aa096403_T001	Misin07G012300.1.v7.1	94.7	19	1	0	1	19	202	220	0.0000238	37.7
Ag00001aa096403_T001_25	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa096403_T001_26	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa096403_T001_27	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa096403_T001_28	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa096403_T001_29	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa096403_T001_30	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa096403_T001_31	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	26	0	0	1	26	368	393	3.16e-10	52
Ag00001aa096403_T001_32	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa096403_T001_33	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa096403_T001_34	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa096403_T001_35	Ag00001aa096403_T001	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa096403_T001_38	Ag00001aa096403_T001	Misin02G408300.1.v7.1	100	27	0	0	1	27	204	230	1.07e-11	56.2
Ag00001aa096403_T001_41	Ag00001aa096403_T001	Misin14G109700.1.v7.1	100	27	0	0	1	27	279	305	5.09e-11	54.3
Ag00001aa096403_T001_45	Ag00001aa096403_T001	Misin15G144300.1.v7.1	100	16	0	0	1	16	97	112	0.0000378	37
Ag00001aa096403_T001_46	Ag00001aa096403_T001	Misin15G144300.1.v7.1	100	16	0	0	1	16	97	112	0.0000378	37
Ag00001aa096403_T001_47	Ag00001aa096403_T001	Misin02G408300.1.v7.1	100	29	0	0	1	29	398	426	8.58e-12	56.6
Ag00001aa096932_T001_1	Ag00001aa096932_T001	Misin01G145800.1.v7.1	100	22	0	0	1	22	367	388	0.000000883	42
Ag00001aa096932_T001_2	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	24	0	0	1	24	146	169	0.0000000122	47.4
Ag00001aa096932_T001_3	Ag00001aa096932_T001	Misin14G168800.1.v7.1	95.5	22	1	0	1	22	197	218	4.31e-9	48.5
Ag00001aa096932_T001_6	Ag00001aa096932_T001	Misin01G145800.1.v7.1	100	21	0	0	1	21	590	610	0.00000215	40.8
Ag00001aa096932_T001_10	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	174	189	0.000863	33.1
Ag00001aa096932_T001_11	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	557	572	0.00000576	39.3
Ag00001aa096932_T001_12	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	557	572	0.00000576	39.3
Ag00001aa096932_T001_18	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	17	0	0	1	17	271	287	0.0000155	38.1
Ag00001aa096932_T001_19	Ag00001aa096932_T001	Misin01G145800.1.v7.1	100	22	0	0	1	22	589	610	0.000000472	42.7
Ag00001aa096932_T001_20	Ag00001aa096932_T001	Misin01G145800.1.v7.1	100	22	0	0	1	22	426	447	0.0000000206	46.6
Ag00001aa096932_T001_23	Ag00001aa096932_T001	Misin15G179100.1.v7.1	100	17	0	0	1	17	740	756	0.000488	33.9
Ag00001aa096932_T001_24	Ag00001aa096932_T001	Misin15G179100.1.v7.1	100	17	0	0	1	17	740	756	0.000488	33.9
Ag00001aa096932_T001_25	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	21	0	0	1	21	428	448	0.0000000937	44.7
Ag00001aa096932_T001_27	Ag00001aa096932_T001	Misin01G145800.1.v7.1	100	17	0	0	1	17	477	493	0.0000398	37
Ag00001aa096932_T001_30	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	19	0	0	1	19	719	737	5.06e-9	48.1
Ag00001aa096932_T001_31	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	28	0	0	1	28	495	522	5.5e-14	62.8
Ag00001aa096932_T001_32	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	28	0	0	1	28	495	522	5.5e-14	62.8
Ag00001aa096932_T001_33	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	23	0	0	1	23	298	320	0.0000000062	48.1
Ag00001aa096932_T001_36	Ag00001aa096932_T001	Misin01G145800.1.v7.1	100	15	0	0	1	15	618	632	0.0000356	37
Ag00001aa096932_T001_39	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	17	0	0	1	17	254	270	0.0000744	36.2
Ag00001aa096932_T001_44	Ag00001aa096932_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	39	56	5.17e-10	48.1
Ag00001aa096932_T001_45	Ag00001aa096932_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	39	56	5.17e-10	48.1
Ag00001aa096932_T001_46	Ag00001aa096932_T001	Misin15G179100.1.v7.1	100	16	0	0	1	16	741	756	0.000631	33.5
Ag00001aa096932_T001_47	Ag00001aa096932_T001	Misin15G179100.1.v7.1	100	16	0	0	1	16	741	756	0.000631	33.5
Ag00001aa096932_T001_48	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	16	0	0	1	16	690	705	0.00000421	39.7
Ag00001aa096932_T001_50	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	26	0	0	1	26	56	81	3.96e-12	57.4
Ag00001aa096932_T001_51	Ag00001aa096932_T001	Misin14G168800.1.v7.1	100	26	0	0	1	26	56	81	3.96e-12	57.4
Ag00001aa096932_T001_52	Ag00001aa096932_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	9	26	0.000000017	44.3
Ag00001aa096932_T001_53	Ag00001aa096932_T001	Misin09G113300.1.v7.1	100	18	0	0	1	18	9	26	0.000000017	44.3
Ag00001aa122153_T002_1	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	17	0	0	1	17	227	243	0.00000611	39.3
Ag00001aa122153_T002_4	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	24	0	0	1	24	431	454	1.53e-10	52.8
Ag00001aa122153_T002_8	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	24	0	0	1	24	5	28	1.03e-12	58.9
Ag00001aa122153_T002_9	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	25	0	0	1	25	430	454	4.61e-11	54.3
Ag00001aa122153_T002_10	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	27	0	0	1	27	575	601	1.99e-11	55.5
Ag00001aa122153_T002_11	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	29	0	0	1	29	575	603	1.8e-12	58.5
Ag00001aa122153_T002_13	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	26	0	0	1	26	576	601	1.24e-10	53.1
Ag00001aa122153_T002_14	Ag00001aa122153_T002	Misin01G106600.1.v7.1	100	17	0	0	1	17	213	229	0.0000213	37.7
Ag00001aa122153_T002_15	Ag00001aa122153_T002	Misin07G012300.1.v7.1	94.7	19	1	0	1	19	202	220	0.0000238	37.7
Ag00001aa122153_T002_22	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa122153_T002_23	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa122153_T002_24	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa122153_T002_25	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	29	0	0	1	29	616	644	1.05e-10	53.5
Ag00001aa122153_T002_26	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa122153_T002_27	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa122153_T002_28	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	26	0	0	1	26	368	393	3.16e-10	52
Ag00001aa122153_T002_29	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa122153_T002_30	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa122153_T002_31	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa122153_T002_32	Ag00001aa122153_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	60	74	0.000234	34.7
Ag00001aa122153_T002_35	Ag00001aa122153_T002	Misin02G408300.1.v7.1	100	27	0	0	1	27	204	230	1.07e-11	56.2
Ag00001aa122153_T002_38	Ag00001aa122153_T002	Misin14G109700.1.v7.1	100	27	0	0	1	27	279	305	5.09e-11	54.3
Ag00001aa122153_T002_42	Ag00001aa122153_T002	Misin15G144300.1.v7.1	100	16	0	0	1	16	97	112	0.0000378	37
Ag00001aa122153_T002_43	Ag00001aa122153_T002	Misin15G144300.1.v7.1	100	16	0	0	1	16	97	112	0.0000378	37
Ag00001aa122153_T002_44	Ag00001aa122153_T002	Misin02G408300.1.v7.1	100	29	0	0	1	29	398	426	8.58e-12	56.6
Ag00001aa081313_T003_1	Ag00001aa081313_T003	Misin01G145800.1.v7.1	100	22	0	0	1	22	367	388	0.000000883	42
Ag00001aa081313_T003_2	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	24	0	0	1	24	146	169	0.0000000122	47.4
Ag00001aa081313_T003_5	Ag00001aa081313_T003	Misin01G145800.1.v7.1	100	21	0	0	1	21	590	610	0.00000215	40.8
Ag00001aa081313_T003_9	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	16	0	0	1	16	174	189	0.000863	33.1
Ag00001aa081313_T003_10	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	16	0	0	1	16	557	572	0.00000576	39.3
Ag00001aa081313_T003_11	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	16	0	0	1	16	557	572	0.00000576	39.3
Ag00001aa081313_T003_18	Ag00001aa081313_T003	Misin01G145800.1.v7.1	100	22	0	0	1	22	589	610	0.000000472	42.7
Ag00001aa081313_T003_19	Ag00001aa081313_T003	Misin01G145800.1.v7.1	100	22	0	0	1	22	426	447	0.0000000206	46.6
Ag00001aa081313_T003_22	Ag00001aa081313_T003	Misin15G179100.1.v7.1	100	17	0	0	1	17	740	756	0.000488	33.9
Ag00001aa081313_T003_23	Ag00001aa081313_T003	Misin15G179100.1.v7.1	100	17	0	0	1	17	740	756	0.000488	33.9
Ag00001aa081313_T003_24	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	21	0	0	1	21	428	448	0.0000000937	44.7
Ag00001aa081313_T003_26	Ag00001aa081313_T003	Misin01G145800.1.v7.1	100	17	0	0	1	17	477	493	0.0000398	37
Ag00001aa081313_T003_29	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	19	0	0	1	19	719	737	5.06e-9	48.1
Ag00001aa081313_T003_30	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	28	0	0	1	28	495	522	5.5e-14	62.8
Ag00001aa081313_T003_31	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	28	0	0	1	28	495	522	5.5e-14	62.8
Ag00001aa081313_T003_32	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	23	0	0	1	23	298	320	0.0000000062	48.1
Ag00001aa081313_T003_35	Ag00001aa081313_T003	Misin01G145800.1.v7.1	100	15	0	0	1	15	618	632	0.0000356	37
Ag00001aa081313_T003_38	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	17	0	0	1	17	254	270	0.0000744	36.2
Ag00001aa081313_T003_43	Ag00001aa081313_T003	Misin09G113300.1.v7.1	100	18	0	0	1	18	39	56	5.17e-10	48.1
Ag00001aa081313_T003_44	Ag00001aa081313_T003	Misin09G113300.1.v7.1	100	18	0	0	1	18	39	56	5.17e-10	48.1
Ag00001aa081313_T003_45	Ag00001aa081313_T003	Misin15G179100.1.v7.1	100	16	0	0	1	16	741	756	0.000631	33.5
Ag00001aa081313_T003_46	Ag00001aa081313_T003	Misin15G179100.1.v7.1	100	16	0	0	1	16	741	756	0.000631	33.5
Ag00001aa081313_T003_47	Ag00001aa081313_T003	Misin14G168800.1.v7.1	100	16	0	0	1	16	690	705	0.00000421	39.7
Ag00001aa081313_T003_49	Ag00001aa081313_T003	Misin14G168800.1.v7.1	96.2	26	1	0	1	26	56	81	5.41e-12	57
Ag00001aa081313_T003_50	Ag00001aa081313_T003	Misin14G168800.1.v7.1	96.2	26	1	0	1	26	56	81	5.41e-12	57
Ag00001aa081313_T003_51	Ag00001aa081313_T003	Misin09G113300.1.v7.1	100	18	0	0	1	18	9	26	0.000000017	44.3
Ag00001aa081313_T003_52	Ag00001aa081313_T003	Misin09G113300.1.v7.1	100	18	0	0	1	18	9	26	0.000000017	44.3
Ag00001aa016177_T002_2	Ag00001aa016177_T002	Misin14G109700.1.v7.1	100	17	0	0	1	17	227	243	0.00000611	39.3
Ag00001aa016177_T002_7	Ag00001aa016177_T002	Misin01G399900.1.v7.1	100	24	0	0	1	24	431	454	1.53e-10	52.8
Ag00001aa016177_T002_12	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	24	0	0	1	24	9	32	1.03e-12	58.9
Ag00001aa016177_T002_13	Ag00001aa016177_T002	Misin01G399900.1.v7.1	100	25	0	0	1	25	430	454	4.61e-11	54.3
Ag00001aa016177_T002_14	Ag00001aa016177_T002	Misin05G344000.1.v7.1	96.3	27	1	0	1	27	574	600	3.72e-11	54.7
Ag00001aa016177_T002_15	Ag00001aa016177_T002	Misin06G317700.1.v7.1	100	26	0	0	1	26	575	600	9.05e-11	53.5
Ag00001aa016177_T002_16	Ag00001aa016177_T002	Misin01G106600.1.v7.1	100	17	0	0	1	17	213	229	0.0000213	37.7
Ag00001aa016177_T002_17	Ag00001aa016177_T002	Misin07G012300.1.v7.1	94.7	19	1	0	1	19	202	220	0.0000238	37.7
Ag00001aa016177_T002_26	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa016177_T002_27	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa016177_T002_28	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa016177_T002_29	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa016177_T002_30	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa016177_T002_31	Ag00001aa016177_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa016177_T002_32	Ag00001aa016177_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa016177_T002_33	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa016177_T002_34	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa016177_T002_35	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa016177_T002_36	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa016177_T002_39	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	27	0	0	1	27	204	230	1.07e-11	56.2
Ag00001aa016177_T002_41	Ag00001aa016177_T002	Misin16G164500.1.v7.1	100	26	0	0	1	26	367	392	5.91e-10	51.2
Ag00001aa016177_T002_42	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	27	0	0	1	27	278	304	6.95e-11	53.9
Ag00001aa016177_T002_46	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	16	0	0	1	16	96	111	0.0000148	38.1
Ag00001aa016177_T002_47	Ag00001aa016177_T002	Misin05G344000.1.v7.1	100	16	0	0	1	16	96	111	0.0000148	38.1
Ag00001aa016177_T002_48	Ag00001aa016177_T002	Misin02G408300.1.v7.1	100	29	0	0	1	29	398	426	8.58e-12	56.6
Ag00001aa127002_T002_1	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	18	0	0	1	18	35	52	0.0000584	36.6
Ag00001aa127002_T002_2	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	16	0	0	1	16	66	81	0.000183	35
Ag00001aa127002_T002_4	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	20	0	0	1	20	82	101	0.000000232	43.5
Ag00001aa127002_T002_5	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	20	0	0	1	20	82	101	0.000000232	43.5
Ag00001aa127002_T002_7	Ag00001aa127002_T002	Misin18G026500.1.v7.1	100	16	0	0	1	16	133	148	0.0000281	37.4
Ag00001aa127002_T002_8	Ag00001aa127002_T002	Misin18G026500.1.v7.1	100	23	0	0	1	23	205	227	1.32e-9	50.1
Ag00001aa127002_T002_9	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	17	0	0	1	17	168	184	0.0000296	37.4
Ag00001aa127002_T002_10	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	17	0	0	1	17	168	184	0.0000296	37.4
Ag00001aa127002_T002_11	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	17	0	0	1	17	168	184	0.0000296	37.4
Ag00001aa127002_T002_12	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	17	0	0	1	17	168	184	0.0000296	37.4
Ag00001aa127002_T002_14	Ag00001aa127002_T002	Misin18G026500.1.v7.1	100	15	0	0	1	15	134	148	0.000127	35.4
Ag00001aa127002_T002_18	Ag00001aa127002_T002	Misin15G101000.1.v7.1	100	23	0	0	1	23	315	337	0.0000000063	48.1
Ag00001aa127002_T002_19	Ag00001aa127002_T002	Misin15G101000.1.v7.1	100	23	0	0	1	23	315	337	0.0000000063	48.1
Ag00001aa127002_T002_23	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	21	0	0	1	21	147	167	0.0000000078	47.8
Ag00001aa127002_T002_25	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	25	0	0	1	25	290	314	2.05e-12	58.2
Ag00001aa127002_T002_26	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	22	0	0	1	22	383	404	0.0000000287	46.2
Ag00001aa127002_T002_28	Ag00001aa127002_T002	Misin14G083200.1.v7.1	93.8	16	1	0	1	16	263	278	0.000469	33.9
Ag00001aa127002_T002_30	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	16	0	0	1	16	245	260	0.0000981	35.8
Ag00001aa127002_T002_31	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	16	0	0	1	16	245	260	0.0000981	35.8
Ag00001aa127002_T002_32	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	18	0	0	1	18	245	262	0.0000122	38.5
Ag00001aa127002_T002_33	Ag00001aa127002_T002	Misin14G083200.1.v7.1	100	18	0	0	1	18	245	262	0.0000122	38.5
Ag00001aa127002_T002_34	Ag00001aa127002_T002	Misin18G026500.1.v7.1	100	22	0	0	1	22	206	227	0.000000006	48.1
Ag00001aa038464_T002_2	Ag00001aa038464_T002	Misin14G109700.1.v7.1	100	17	0	0	1	17	227	243	0.00000611	39.3
Ag00001aa038464_T002_7	Ag00001aa038464_T002	Misin01G399900.1.v7.1	100	24	0	0	1	24	431	454	1.53e-10	52.8
Ag00001aa038464_T002_12	Ag00001aa038464_T002	Misin01G399900.1.v7.1	100	25	0	0	1	25	430	454	4.61e-11	54.3
Ag00001aa038464_T002_13	Ag00001aa038464_T002	Misin11G055900.1.v7.1	96.3	27	1	0	1	27	570	596	2.72e-11	55.1
Ag00001aa038464_T002_14	Ag00001aa038464_T002	Misin11G055900.1.v7.1	96.3	27	1	0	1	27	570	596	2.72e-11	55.1
Ag00001aa038464_T002_15	Ag00001aa038464_T002	Misin11G055900.1.v7.1	96.2	26	1	0	1	26	571	596	1.24e-10	53.1
Ag00001aa038464_T002_16	Ag00001aa038464_T002	Misin01G106600.1.v7.1	100	17	0	0	1	17	213	229	0.0000213	37.7
Ag00001aa038464_T002_17	Ag00001aa038464_T002	Misin07G012300.1.v7.1	94.7	19	1	0	1	19	202	220	0.0000238	37.7
Ag00001aa038464_T002_26	Ag00001aa038464_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa038464_T002_27	Ag00001aa038464_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa038464_T002_28	Ag00001aa038464_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa038464_T002_29	Ag00001aa038464_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa038464_T002_30	Ag00001aa038464_T002	Misin05G344000.1.v7.1	100	29	0	0	1	29	615	643	1.05e-10	53.5
Ag00001aa038464_T002_31	Ag00001aa038464_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa038464_T002_32	Ag00001aa038464_T002	Misin01G399900.1.v7.1	100	15	0	0	1	15	145	159	0.000234	34.7
Ag00001aa038464_T002_33	Ag00001aa038464_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa038464_T002_34	Ag00001aa038464_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa038464_T002_35	Ag00001aa038464_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
Ag00001aa038464_T002_36	Ag00001aa038464_T002	Misin02G408300.1.v7.1	100	15	0	0	1	15	64	78	0.000438	33.9
