Ag_protein,Mg_protein_id,n_peptides,sum_bitscore,median_pident
Ag00001aa001425_T002,Misin04G111900.1.v7.1,7,356.90000000000003,100
Ag00001aa001437_T001,Misin04G113100.1.v7.1,1,47,100
Ag00001aa001455_T001,Misin03G102900.1.v7.1,1,35.8,100
Ag00001aa001463_T001,Misin03G103400.1.v7.1,1,39.7,95.2
Ag00001aa001505_T001,Misin03G107200.1.v7.1,3,127.9,100
Ag00001aa001519_T002,Misin04G120500.1.v7.1,2,71.69999999999999,100
Ag00001aa001538_T001,Misin03G110700.1.v7.1,1,42,100
Ag00001aa001550_T001,Misin04G122900.1.v7.1,1,56.2,96.6
Ag00001aa001569_T001,Misin04G126000.1.v7.1,3,129.8,100
Ag00001aa001578_T001,Misin03G121100.1.v7.1,6,247.9,94.55000000000001
Ag00001aa001617_T001,MisinT457200.1.v7.1,3,124.7,100
Ag00001aa001668_T001,Misin03G115100.1.v7.1,3,128.60000000000002,95.7
Ag00001aa001682_T008,Misin03G125400.1.v7.1,1,44.7,100
Ag00001aa001685_T004,Misin11G134200.1.v7.1,2,98.6,96
Ag00001aa001702_T001,Misin04G156200.1.v7.1,3,138.60000000000002,100
Ag00001aa001753_T001,Misin04G142300.1.v7.1,1,63.5,100
Ag00001aa001831_T004,Misin03G139300.1.v7.1,5,209.10000000000002,100
Ag00001aa001866_T001,Misin07G435900.1.v7.1,1,33.9,100
Ag00001aa001881_T002,Misin03G143000.1.v7.1,3,126.4,100
Ag00001aa001946_T001,Misin01G250100.1.v7.1,1,43.5,95.5
Ag00001aa002001_T001,Misin03G155400.1.v7.1,1,47,100
Ag00001aa002026_T001,Misin03G157400.1.v7.1,9,352.7,100
Ag00001aa002068_T002,Misin03G162600.1.v7.1,1,38.1,100
Ag00001aa002088_T001,MisinT222500.1.v7.1,1,37.4,100
Ag00001aa002104_T002,Misin04G181300.1.v7.1,2,93.6,95.5
Ag00001aa002167_T001,Misin04G187600.1.v7.1,2,117,100
Ag00001aa002174_T002,Misin03G176800.1.v7.1,1,39.7,100
Ag00001aa002239_T001,Misin06G317300.1.v7.1,6,212.4,100
Ag00001aa002267_T002,Misin04G199100.1.v7.1,1,50.1,100
Ag00001aa002276_T001,Misin04G200300.1.v7.1,1,60.8,100
Ag00001aa002291_T001,Misin04G201500.1.v7.1,3,122,90
Ag00001aa002294_T001,Misin04G201500.1.v7.1,3,124.3,90
Ag00001aa002297_T001,Misin03G182400.1.v7.1,1,33.5,100
Ag00001aa002312_T001,Misin04G202100.1.v7.1,4,165.3,100
Ag00001aa002400_T001,Misin03G201000.1.v7.1,2,73.19999999999999,97.05
Ag00001aa002401_T001,Misin03G201000.1.v7.1,1,37.4,100
Ag00001aa002437_T001,Misin04G212600.1.v7.1,6,259.79999999999995,100
Ag00001aa002468_T003,Misin04G215400.1.v7.1,2,96.3,97.05
Ag00001aa002474_T001,Misin03G194900.1.v7.1,4,144.1,100
Ag00001aa002576_T001,MisinT248400.1.v7.1,10,405.2,100
Ag00001aa002578_T001,MisinT248400.1.v7.1,10,405.2,100
Ag00001aa002657_T001,Misin03G213900.1.v7.1,1,47.4,100
Ag00001aa002666_T001,Misin03G212800.1.v7.1,2,76.7,100
Ag00001aa002692_T001,Misin03G218500.1.v7.1,1,35.8,93.3
Ag00001aa002737_T003,Misin03G221000.1.v7.1,2,131.8,100
Ag00001aa002793_T001,Misin03G245500.1.v7.1,1,33.5,100
Ag00001aa002842_T002,Misin04G246600.1.v7.1,2,88.1,100
Ag00001aa002867_T001,Misin03G222900.1.v7.1,1,42,100
Ag00001aa002874_T001,Misin04G244200.1.v7.1,1,35.4,100
Ag00001aa002922_T001,Misin04G259200.1.v7.1,2,80.5,100
Ag00001aa002927_T001,Misin03G236400.1.v7.1,1,36.6,100
Ag00001aa002940_T001,Misin04G261100.1.v7.1,1,33.5,100
Ag00001aa002958_T003,Misin01G263600.1.v7.1,3,117.80000000000001,100
Ag00001aa002960_T001,Misin03G233600.1.v7.1,4,194.5,100
Ag00001aa002981_T004,Misin03G231800.1.v7.1,1,45.8,100
Ag00001aa003058_T003,Misin03G256800.1.v7.1,8,332.00000000000006,100
Ag00001aa003094_T001,Misin03G253600.1.v7.1,3,108.30000000000001,100
Ag00001aa003117_T001,Misin03G250800.1.v7.1,1,38.9,100
Ag00001aa003172_T002,Misin03G268300.1.v7.1,1,44.7,100
Ag00001aa003194_T001,Misin03G266700.1.v7.1,1,39.3,100
Ag00001aa003223_T003,Misin03G265700.1.v7.1,2,71.2,100
Ag00001aa003233_T001,Misin03G261800.1.v7.1,5,274.2,100
Ag00001aa003251_T001,Misin04G292200.1.v7.1,9,352.7,100
Ag00001aa003252_T002,Misin03G269900.1.v7.1,1,38.1,100
Ag00001aa003254_T001,Misin03G270100.1.v7.1,2,103.2,100
Ag00001aa003271_T002,Misin03G271500.1.v7.1,1,37.4,94.7
Ag00001aa003316_T002,Misin03G276600.1.v7.1,4,152.6,100
Ag00001aa003379_T001,Misin03G281400.1.v7.1,1,33.9,100
Ag00001aa003383_T003,Misin04G304800.1.v7.1,1,38.9,100
Ag00001aa003407_T001,Misin03G283800.1.v7.1,1,48.1,100
Ag00001aa003452_T001,Misin04G312400.1.v7.1,3,113.6,100
Ag00001aa003570_T002,Misin03G327400.1.v7.1,1,34.3,100
Ag00001aa003625_T001,Misin03G321600.1.v7.1,1,35,100
Ag00001aa003671_T001,Misin03G318000.1.v7.1,1,57,96.6
Ag00001aa003682_T001,Misin03G317000.1.v7.1,3,119,100
Ag00001aa003699_T001,MisinT397300.1.v7.1,3,103.5,100
Ag00001aa003701_T001,Misin04G343900.1.v7.1,8,347.20000000000005,100
Ag00001aa003757_T001,Misin03G312400.1.v7.1,4,148.7,100
Ag00001aa003779_T002,Misin03G308700.1.v7.1,1,45.8,100
Ag00001aa003786_T001,Misin04G337900.1.v7.1,1,42,100
Ag00001aa003816_T001,Misin03G304100.1.v7.1,3,154.4,100
Ag00001aa003842_T001,Misin03G296200.1.v7.1,2,90.5,100
Ag00001aa003845_T001,Misin04G343800.1.v7.1,4,196.4,98.4
Ag00001aa003857_T002,Misin03G297200.1.v7.1,4,156.4,97.75
Ag00001aa003896_T001,Misin01G154000.1.v7.1,2,70.1,100
Ag00001aa003923_T001,Misin04G349000.1.v7.1,4,218.8,100
Ag00001aa003926_T001,Misin04G349400.1.v7.1,1,43.5,100
Ag00001aa003929_T004,Misin08G103300.1.v7.1,3,139.4,100
Ag00001aa003952_T001,Misin03G331800.1.v7.1,2,77,94.4
Ag00001aa003962_T001,Misin04G359600.1.v7.1,1,34.7,100
Ag00001aa003988_T002,Misin04G357300.1.v7.1,2,78.1,100
Ag00001aa004058_T001,Misin03G339300.1.v7.1,1,40.8,100
Ag00001aa004070_T001,Misin04G365800.1.v7.1,1,35,100
Ag00001aa004071_T001,Misin03G347200.1.v7.1,4,153.3,97.35
Ag00001aa004100_T001,Misin03G344500.1.v7.1,1,48.9,100
Ag00001aa004147_T001,Misin03G363700.1.v7.1,2,71.6,100
Ag00001aa004163_T002,Misin03G363400.1.v7.1,3,120.5,100
Ag00001aa004181_T001,MisinT312100.1.v7.1,1,38.1,100
Ag00001aa004202_T001,MisinT523900.1.v7.1,5,230.7,100
Ag00001aa004224_T001,MisinT320100.1.v7.1,3,119.00000000000001,100
Ag00001aa004252_T004,Misin03G358800.1.v7.1,1,39.7,94.7
Ag00001aa004315_T001,Misin04G386000.1.v7.1,3,128.3,92.5
Ag00001aa004321_T004,Misin04G386200.1.v7.1,4,169,100
Ag00001aa004348_T001,Misin04G387000.1.v7.1,1,43.1,100
Ag00001aa004411_T001,Misin04G392200.1.v7.1,1,35.4,100
Ag00001aa004414_T001,Misin03G311700.1.v7.1,2,73.19999999999999,100
Ag00001aa004423_T002,Misin04G393300.1.v7.1,4,141.6,100
Ag00001aa004436_T001,Misin04G395100.1.v7.1,1,33.1,100
Ag00001aa004447_T001,Misin03G347800.1.v7.1,1,38.5,100
Ag00001aa004452_T001,Misin11G204000.1.v7.1,1,42.7,100
Ag00001aa004465_T001,Misin03G363900.1.v7.1,4,161,100
Ag00001aa004466_T001,Misin04G398600.1.v7.1,7,289.7,100
Ag00001aa004470_T002,MisinT505900.1.v7.1,1,70.1,94.6
Ag00001aa004490_T001,Misin03G365000.1.v7.1,1,50.1,100
Ag00001aa004534_T001,Misin04G404300.1.v7.1,2,71.19999999999999,100
Ag00001aa004553_T001,Misin04G407200.1.v7.1,1,35,100
Ag00001aa004557_T001,Misin04G407400.1.v7.1,2,77.8,100
Ag00001aa004568_T002,MisinT071400.1.v7.1,11,602.1999999999999,100
Ag00001aa004627_T001,Misin11G005600.1.v7.1,4,164,100
Ag00001aa004636_T001,Misin12G003500.1.v7.1,1,64.7,100
Ag00001aa004704_T001,Misin12G019000.1.v7.1,1,33.1,88.2
Ag00001aa004729_T001,Misin12G016900.1.v7.1,1,35,100
Ag00001aa004786_T002,Misin11G008200.1.v7.1,1,37.7,100
Ag00001aa004820_T001,Misin09G176400.1.v7.1,10,408.00000000000006,58.6
Ag00001aa004824_T001,Misin09G176400.1.v7.1,4,163.2,58.6
Ag00001aa004825_T001,Misin09G176400.1.v7.1,10,408.00000000000006,58.6
Ag00001aa004887_T001,Misin12G244800.1.v7.1,1,37.7,100
Ag00001aa005058_T001,Misin11G026500.1.v7.1,1,44.3,95.7
Ag00001aa005066_T003,Misin12G034400.1.v7.1,2,69.3,100
Ag00001aa005079_T001,Misin11G034900.1.v7.1,6,224.2,100
Ag00001aa005129_T002,Misin12G050000.1.v7.1,1,32.7,100
Ag00001aa005135_T002,Misin12G051300.1.v7.1,1,48.5,100
Ag00001aa005230_T002,Misin12G196100.1.v7.1,6,256.8,100
Ag00001aa005257_T002,Misin12G062300.1.v7.1,4,166.3,100
Ag00001aa005265_T004,Misin12G063000.1.v7.1,8,295,100
Ag00001aa005268_T001,Misin12G062800.1.v7.1,1,36.6,100
Ag00001aa005319_T002,Misin11G065400.1.v7.1,4,140.5,100
Ag00001aa005392_T001,Misin12G070400.1.v7.1,2,83.19999999999999,100
Ag00001aa005548_T001,Misin11G080500.1.v7.1,1,35.8,100
Ag00001aa005554_T001,Misin12G081900.1.v7.1,6,248.7,100
Ag00001aa005625_T001,Misin11G089900.1.v7.1,1,35.4,100
Ag00001aa005644_T001,Misin11G088600.1.v7.1,3,157.8,95.8
Ag00001aa005657_T001,Misin11G093500.1.v7.1,3,103.6,100
Ag00001aa005664_T002,Misin11G093000.1.v7.1,1,39.3,100
Ag00001aa005676_T001,Misin12G093900.1.v7.1,1,51.6,95.7
Ag00001aa005694_T001,Misin12G096700.1.v7.1,2,100.8,91.3
Ag00001aa005699_T001,Misin11G100100.1.v7.1,1,41.6,100
Ag00001aa005748_T005,Misin11G104000.1.v7.1,1,34.7,100
Ag00001aa005763_T001,Misin11G104300.1.v7.1,1,40.4,100
Ag00001aa005766_T001,Misin11G104400.1.v7.1,1,39.3,83.3
Ag00001aa005789_T001,Misin12G105200.1.v7.1,1,33.5,100
Ag00001aa005790_T001,Misin12G105300.1.v7.1,1,35,100
Ag00001aa005791_T001,Misin12G105400.1.v7.1,1,39.3,100
Ag00001aa005816_T001,Misin11G098300.1.v7.1,4,151.2,100
Ag00001aa005818_T001,Misin12G108000.1.v7.1,4,175.2,100
Ag00001aa005842_T001,Misin12G110200.1.v7.1,1,34.3,100
Ag00001aa005848_T002,Misin11G105100.1.v7.1,1,33.5,100
Ag00001aa005856_T001,Misin12G111300.1.v7.1,1,34.3,100
Ag00001aa005886_T001,Misin11G106700.1.v7.1,1,33.1,100
Ag00001aa005889_T001,Misin11G106300.1.v7.1,3,170.89999999999998,100
Ag00001aa005907_T002,Misin11G110400.1.v7.1,1,34.3,94.7
Ag00001aa005936_T001,Misin11G113100.1.v7.1,1,35.8,100
Ag00001aa005955_T001,Misin12G121800.1.v7.1,1,37,94.1
Ag00001aa005993_T001,Misin12G123800.1.v7.1,1,35.8,100
Ag00001aa006010_T001,Misin11G122100.1.v7.1,6,256.1,100
Ag00001aa006018_T001,Misin12G126200.1.v7.1,5,230.89999999999998,100
Ag00001aa006025_T001,Misin11G216800.1.v7.1,2,99,100
Ag00001aa006059_T003,Misin12G131900.1.v7.1,1,34.7,100
Ag00001aa006083_T001,Misin11G127700.1.v7.1,1,35,100
Ag00001aa006098_T001,Misin12G136300.1.v7.1,1,57.4,100
Ag00001aa006114_T002,Misin11G130700.1.v7.1,1,34.3,82.4
Ag00001aa006156_T001,MisinT501000.1.v7.1,3,122.10000000000001,100
Ag00001aa006158_T002,Misin11G134200.1.v7.1,5,217.60000000000002,100
Ag00001aa006183_T002,Misin11G136900.1.v7.1,2,74,100
Ag00001aa006282_T003,MisinT589400.1.v7.1,3,161.7,100
Ag00001aa006357_T001,Misin11G149900.1.v7.1,3,106.30000000000001,100
Ag00001aa006381_T001,Misin12G163600.1.v7.1,2,85.4,100
Ag00001aa006389_T001,Misin12G162100.1.v7.1,1,53.5,100
Ag00001aa006418_T001,Misin12G158400.1.v7.1,2,84,100
Ag00001aa006545_T001,Misin12G180400.1.v7.1,1,39.3,100
Ag00001aa006571_T003,Misin11G169300.1.v7.1,2,98.6,100
Ag00001aa006648_T002,Misin11G195100.1.v7.1,3,126.30000000000001,100
Ag00001aa006676_T001,MisinT450800.1.v7.1,1,43.1,100
Ag00001aa006700_T002,Misin12G195500.1.v7.1,2,72,100
Ag00001aa006747_T001,Misin08G243700.1.v7.1,1,42,100
Ag00001aa006881_T002,Misin11G174100.1.v7.1,1,46.6,100
Ag00001aa006909_T002,Misin11G171500.1.v7.1,4,159.10000000000002,100
Ag00001aa006911_T001,Misin12G212800.1.v7.1,1,36.2,100
Ag00001aa006924_T001,Misin12G211600.1.v7.1,4,171.4,100
Ag00001aa006961_T002,Misin11G208000.1.v7.1,8,398.40000000000003,100
Ag00001aa006973_T001,Misin12G207200.1.v7.1,2,78.9,100
Ag00001aa006979_T001,Misin11G209900.1.v7.1,3,141.8,100
Ag00001aa006983_T003,Misin11G210500.1.v7.1,2,91.7,100
Ag00001aa007007_T001,Misin12G204400.1.v7.1,1,47,100
Ag00001aa007010_T002,Misin09G029300.1.v7.1,2,78.5,100
Ag00001aa007066_T002,Misin12G201000.1.v7.1,1,36.2,100
Ag00001aa007075_T001,Misin12G199800.1.v7.1,1,43.1,100
Ag00001aa007133_T002,Misin12G231500.1.v7.1,1,35,100
Ag00001aa007138_T002,Misin12G227700.1.v7.1,2,87.8,97.2
Ag00001aa007156_T002,Misin12G238000.1.v7.1,2,79.4,88
Ag00001aa007213_T006,Misin11G228100.1.v7.1,2,73.5,100
Ag00001aa007215_T001,Misin11G228300.1.v7.1,2,97,97.35
Ag00001aa007324_T002,Misin09G102100.1.v7.1,4,137.2,100
Ag00001aa007346_T002,Misin01G106300.1.v7.1,2,83.5,100
Ag00001aa007351_T001,Misin11G242800.1.v7.1,2,82,100
Ag00001aa007354_T001,Misin11G242500.1.v7.1,6,272.3,100
Ag00001aa007374_T001,Misin11G241300.1.v7.1,1,39.3,100
Ag00001aa007387_T001,Misin07G491000.1.v7.1,2,126.4,100
Ag00001aa007426_T001,Misin07G302700.1.v7.1,2,80.5,95
Ag00001aa007448_T001,Misin12G264300.1.v7.1,1,47,100
Ag00001aa007481_T001,Misin11G255300.1.v7.1,4,160.9,97.85
Ag00001aa007484_T001,Misin11G255000.1.v7.1,2,67.4,100
Ag00001aa007544_T001,Misin12G274100.1.v7.1,1,37.7,100
Ag00001aa007555_T001,Misin12G275300.1.v7.1,6,292.2,100
Ag00001aa007595_T001,Misin11G009600.1.v7.1,1,33.1,100
Ag00001aa007599_T001,Misin11G276500.1.v7.1,2,82.1,100
Ag00001aa007607_T002,Misin15G067600.1.v7.1,2,87.1,100
Ag00001aa007616_T002,Misin15G067000.1.v7.1,1,51.6,100
Ag00001aa007631_T001,Misin11G273600.1.v7.1,1,36.2,100
Ag00001aa007636_T003,Misin11G272800.1.v7.1,2,120.5,100
Ag00001aa007655_T003,Misin07G459900.1.v7.1,2,74.8,100
Ag00001aa007662_T001,Misin12G281400.1.v7.1,2,74.3,97.05
Ag00001aa007663_T001,Misin11G270000.1.v7.1,4,144.8,94
Ag00001aa007691_T004,Misin11G267600.1.v7.1,1,42,100
Ag00001aa007700_T001,MisinT000300.1.v7.1,1,55.8,100
Ag00001aa007715_T004,MisinT002200.1.v7.1,2,79.69999999999999,100
Ag00001aa007755_T001,MisinT115400.1.v7.1,2,109.4,100
Ag00001aa007756_T001,Misin02G231700.1.v7.1,1,37,100
Ag00001aa007775_T001,Misin02G234900.1.v7.1,1,37.4,100
Ag00001aa007877_T007,Misin18G105400.1.v7.1,6,235.60000000000002,100
Ag00001aa007991_T001,Misin01G242700.1.v7.1,5,247.6,100
Ag00001aa008032_T001,Misin01G260500.1.v7.1,1,39.7,100
Ag00001aa008061_T001,Misin02G266300.1.v7.1,1,36.6,82.4
Ag00001aa008073_T003,Misin06G001700.1.v7.1,1,35,100
Ag00001aa008085_T001,Misin01G271300.1.v7.1,3,103.6,100
Ag00001aa008113_T001,Misin01G268200.1.v7.1,3,124.3,100
Ag00001aa008135_T004,Misin01G263600.1.v7.1,4,166.70000000000002,100
Ag00001aa008136_T001,Misin02G259300.1.v7.1,1,37.4,100
Ag00001aa008138_T001,Misin01G262900.1.v7.1,1,40.4,100
Ag00001aa008148_T001,Misin01G262200.1.v7.1,1,35,100
Ag00001aa008154_T001,Misin01G264700.1.v7.1,2,81.2,100
Ag00001aa008172_T001,Misin01G276400.1.v7.1,3,124.80000000000001,100
Ag00001aa008184_T002,Misin01G277900.1.v7.1,1,33.1,100
Ag00001aa008193_T001,Misin01G278200.1.v7.1,5,255.79999999999998,100
Ag00001aa008224_T001,Misin01G282200.1.v7.1,1,39.7,100
Ag00001aa008238_T004,Misin02G272900.1.v7.1,1,45.4,100
Ag00001aa008333_T001,Misin01G290500.1.v7.1,1,40,100
Ag00001aa008378_T001,Misin02G282400.1.v7.1,2,67.80000000000001,94.45
Ag00001aa008400_T001,Misin01G294900.1.v7.1,10,422.30000000000007,100
Ag00001aa008427_T002,Misin01G298600.1.v7.1,2,88.19999999999999,100
Ag00001aa008440_T001,Misin02G286600.1.v7.1,1,59.3,85.3
Ag00001aa008454_T001,Misin01G301200.1.v7.1,1,44.7,89.3
Ag00001aa008486_T001,Misin16G030600.1.v7.1,7,304.2,100
Ag00001aa008496_T001,Misin02G295600.1.v7.1,2,84.4,97.05
Ag00001aa008506_T001,Misin02G299100.1.v7.1,1,38.9,93.8
Ag00001aa008510_T002,Misin02G298800.1.v7.1,1,56.2,100
Ag00001aa008535_T002,Misin02G302800.1.v7.1,3,134.1,88.2
Ag00001aa008548_T001,Misin02G301300.1.v7.1,1,36.2,100
Ag00001aa008697_T002,Misin01G323100.1.v7.1,13,594.6000000000001,95.5
Ag00001aa008707_T001,Misin01G322600.1.v7.1,2,83.2,98.1
Ag00001aa008719_T001,Misin01G333600.1.v7.1,14,659.8000000000001,100
Ag00001aa008735_T001,Misin01G333300.1.v7.1,1,45.4,100
Ag00001aa008756_T002,Misin01G331400.1.v7.1,6,279.2,100
Ag00001aa008780_T001,Misin02G322600.1.v7.1,2,75,100
Ag00001aa008784_T002,Misin01G328000.1.v7.1,5,196.39999999999998,100
Ag00001aa008791_T002,Misin01G328500.1.v7.1,4,162.79999999999998,100
Ag00001aa008862_T001,Misin01G337900.1.v7.1,1,60.8,100
Ag00001aa008904_T004,Misin01G342300.1.v7.1,1,38.5,100
Ag00001aa008911_T001,MisinT312100.1.v7.1,1,49.3,100
Ag00001aa008943_T001,Misin01G349600.1.v7.1,1,32.7,100
Ag00001aa008944_T001,Misin02G352300.1.v7.1,1,51.2,100
Ag00001aa008965_T006,MisinT466200.1.v7.1,3,147.5,97
Ag00001aa008966_T003,Misin02G354700.1.v7.1,3,102.4,100
Ag00001aa008985_T001,Misin16G200700.1.v7.1,2,77.8,89.5
Ag00001aa009020_T002,MisinT394200.1.v7.1,1,39.3,100
Ag00001aa009023_T001,Misin01G357300.1.v7.1,3,121.19999999999999,100
Ag00001aa009034_T002,Misin01G356000.1.v7.1,1,35.4,89.5
Ag00001aa009090_T004,Misin01G358300.1.v7.1,8,399.3,100
Ag00001aa009095_T001,Misin02G340100.1.v7.1,1,51.2,83.9
Ag00001aa009143_T001,Misin01G365000.1.v7.1,1,45.1,100
Ag00001aa009144_T001,Misin01G365200.1.v7.1,5,294.1,100
Ag00001aa009190_T001,Misin01G369600.1.v7.1,1,35,94.4
Ag00001aa009194_T001,Misin01G370200.1.v7.1,1,37.4,100
Ag00001aa009208_T002,Misin02G362000.1.v7.1,1,65.9,96.8
Ag00001aa009218_T001,Misin01G372700.1.v7.1,1,35,100
Ag00001aa009234_T002,Misin02G364700.1.v7.1,2,85.5,100
Ag00001aa009238_T001,Misin02G365000.1.v7.1,1,33.5,100
Ag00001aa009239_T001,Misin01G375600.1.v7.1,4,184.2,100
Ag00001aa009255_T001,Misin02G366700.1.v7.1,1,39.3,100
Ag00001aa009274_T001,Misin02G369200.1.v7.1,5,237.5,100
Ag00001aa009281_T001,Misin19G136300.1.v7.1,1,35,92.9
Ag00001aa009282_T002,Misin04G404300.1.v7.1,1,35.4,100
Ag00001aa009291_T002,Misin01G378200.1.v7.1,7,269.29999999999995,100
Ag00001aa009292_T001,Misin01G378200.1.v7.1,1,39.7,100
Ag00001aa009326_T001,Misin01G388800.1.v7.1,3,117.5,100
Ag00001aa009351_T001,Misin01G386200.1.v7.1,1,40.8,100
Ag00001aa009358_T001,Misin01G385300.1.v7.1,3,107.80000000000001,100
Ag00001aa009362_T002,Misin02G378500.1.v7.1,1,45.8,100
Ag00001aa009376_T001,Misin04G407100.1.v7.1,4,225.2,94.5
Ag00001aa009414_T002,Misin01G390800.1.v7.1,1,40.8,100
Ag00001aa009415_T001,Misin01G391000.1.v7.1,5,200.2,100
Ag00001aa009422_T001,Misin01G391900.1.v7.1,1,34.3,100
Ag00001aa009446_T001,Misin01G393200.1.v7.1,4,142.79999999999998,96.9
Ag00001aa009454_T001,Misin01G393900.1.v7.1,1,37,100
Ag00001aa009461_T002,Misin02G385500.1.v7.1,9,370.00000000000006,100
Ag00001aa009487_T001,Misin01G396700.1.v7.1,1,40,95
Ag00001aa009489_T001,Misin04G259500.1.v7.1,1,49.3,95.7
Ag00001aa009503_T002,Misin01G398500.1.v7.1,15,792.1999999999997,100
Ag00001aa009508_T001,Misin02G408300.1.v7.1,10,422.1,100
Ag00001aa009517_T001,Misin01G399900.1.v7.1,13,585.1999999999999,100
Ag00001aa009522_T001,Misin17G023300.1.v7.1,1,35.4,100
Ag00001aa009568_T002,Misin16G001400.1.v7.1,1,36.6,100
Ag00001aa009579_T001,Misin01G404800.1.v7.1,3,116.2,100
Ag00001aa009580_T001,Misin01G404700.1.v7.1,1,43.1,100
Ag00001aa009596_T001,Misin01G406800.1.v7.1,1,36.6,100
Ag00001aa009599_T003,Misin02G401700.1.v7.1,2,83.9,100
Ag00001aa009607_T001,Misin02G400700.1.v7.1,1,44.3,100
Ag00001aa009611_T001,Misin01G408300.1.v7.1,1,36.6,100
Ag00001aa009636_T001,Misin01G409200.1.v7.1,1,33.1,100
Ag00001aa009652_T001,Misin02G396700.1.v7.1,3,137.4,100
Ag00001aa009659_T001,Misin01G412200.1.v7.1,7,264.2,100
Ag00001aa009663_T003,Misin02G395900.1.v7.1,3,159.39999999999998,100
Ag00001aa009666_T002,Misin01G413100.1.v7.1,4,149.9,100
Ag00001aa009667_T002,Misin01G413200.1.v7.1,3,133.3,100
Ag00001aa009671_T001,Misin01G413900.1.v7.1,1,43.5,100
Ag00001aa009677_T001,Misin02G394300.1.v7.1,1,41.6,100
Ag00001aa009685_T003,Misin01G415100.1.v7.1,3,106.19999999999999,100
Ag00001aa009709_T001,Misin07G337400.1.v7.1,1,47.8,100
Ag00001aa009716_T001,Misin02G415700.1.v7.1,2,77,94.7
