query_id,uniprot_id,Description,BP_terms,MF_terms,CC_terms
Ag00001aa064448_T001,P28516,Pyruvate decarboxylase 1,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway,magnesium ion binding; pyruvate decarboxylase activity; thiamine pyrophosphate binding,cytosol
Ag00001aa064944_T001,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
Ag00001aa069057_T001,Q9Z729,UPF0098 protein CPn_0877/CP_0992/CPj0877/CpB0906,,,
Ag00001aa069574_T002,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
Ag00001aa071693_T001,Q84TB6,Actin-depolymerizing factor 3,actin filament depolymerization,actin filament binding,actin cytoskeleton; cytoplasm
Ag00001aa076340_T001,P28522,Ribosome-inactivating protein,defense response; negative regulation of translation,rRNA N-glycosylase activity; toxin activity,
Ag00001aa078823_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa097918_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa097924_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa099855_T001,P02879,Ricin,defense response; killing of cells of another organism; negative regulation of translation,AMP binding; carbohydrate binding; rRNA N-glycosylase activity; toxin activity,
Ag00001aa100594_T001,B7EZJ7,"23.6 kDa heat shock protein, mitochondrial",response to heat,,mitochondrion
Ag00001aa102742_T001,Q10P60,"26.7 kDa heat shock protein, chloroplastic",response to heat,,chloroplast
Ag00001aa104490_T001,P23901,Aldose reductase,,aldose reductase (NADPH) activity,
Ag00001aa106444_T001,P09444,Late embryogenesis abundant protein D-34,,,
Ag00001aa110604_T001,Q0D840,Thioredoxin H1,negative regulation of catalytic activity; plasmodesmata-mediated intercellular transport; response to cold; response to oxidative stress,"enzyme inhibitor activity; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; protein-disulfide reductase activity",cytoplasm
Ag00001aa111933_T001,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
Ag00001aa114791_T001,Q6Z6L5,19.0 kDa class II heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa116892_T001,P04399,Protein synthesis inhibitor II,defense response to fungus; killing of cells of another organism; negative regulation of translation,rRNA N-glycosylase activity; toxin activity,cytoplasm
Ag00001aa118595_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa120298_T001,Q9SLP4,Chitinase 1,chitin catabolic process; polysaccharide catabolic process,chitin binding; endochitinase activity,
Ag00001aa122642_T001,P01053,Subtilisin-chymotrypsin inhibitor-2A,response to wounding,serine-type endopeptidase inhibitor activity,
Ag00001aa123995_T001,Q7XUW5,23.2 kDa heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,endoplasmic reticulum
Ag00001aa124402_T001,P29022,Endochitinase A,amino sugar metabolic process; cell wall macromolecule catabolic process; chitin catabolic process; defense response to fungus; polysaccharide catabolic process,chitin binding; chitinase activity; endochitinase activity,extracellular region
Ag00001aa129885_T002,P09444,Late embryogenesis abundant protein D-34,,,
Ag00001aa141013_T001,P12628,NADP-dependent malic enzyme,malate metabolic process; pyruvate metabolic process,malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding; oxaloacetate decarboxylase activity,chloroplast
Ag00001aa143736_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Ag00001aa151368_T001,Q96522,Peroxidase 45,hydrogen peroxide catabolic process; response to oxidative stress,heme binding; lactoperoxidase activity; metal ion binding,extracellular region
Ag00001aa156538_T001,Q08277,Heat shock protein 82,cellular response to heat; protein folding; protein stabilization,ATP binding; ATP hydrolysis activity; ATP-dependent protein folding chaperone; unfolded protein binding,cytosol; perinuclear region of cytoplasm; plasma membrane; protein-containing complex
Ag00001aa157044_T001,P09444,Late embryogenesis abundant protein D-34,,,
Misin01G018500.1.v7.1,Q9SEE5,Galactokinase,carbohydrate phosphorylation; galactose metabolic process,ATP binding; galactokinase activity; metal ion binding,cytosol
Misin01G050700.1.v7.1,P24805,Stem-specific protein TSJT1,,,
Misin01G106600.1.v7.1,Q53RJ5,Heat shock 70 kDa protein BIP2,chaperone cofactor-dependent protein refolding; endoplasmic reticulum unfolded protein response; ERAD pathway; protein refolding,ATP binding; ATP hydrolysis activity; ATP-dependent protein folding chaperone; heat shock protein binding; protein folding chaperone,cytoplasm; endoplasmic reticulum chaperone complex; endoplasmic reticulum lumen; membrane; nucleus
Misin01G418600.1.v7.1,O48832,"Protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic",circadian rhythm; response to abscisic acid; response to cold; response to high light intensity; response to salt stress; response to water deprivation,,chloroplast; plasma membrane
Misin01G486600.1.v7.1,Q10RZ1,"Beta-amylase 2, chloroplastic",polysaccharide catabolic process,beta-amylase activity,chloroplast
Misin01G502300.1.v7.1,Q02166,"Anthranilate phosphoribosyltransferase, chloroplastic",tryptophan biosynthetic process,anthranilate phosphoribosyltransferase activity; metal ion binding,chloroplast; chloroplast envelope; chloroplast stroma; plastid
Misin02G359400.1.v7.1,Q10M12,Ricin B-like lectin R40C1,,carbohydrate binding,
Misin02G374500.1.v7.1,Q05736,Pathogenesis-related protein 1,abscisic acid-activated signaling pathway; defense response,abscisic acid binding; protein phosphatase inhibitor activity; signaling receptor activity,cytoplasm; nucleus
Misin02G401700.1.v7.1,Q9XJ29,"Anthranilate synthase alpha subunit 2, chloroplastic",tryptophan biosynthetic process,anthranilate synthase activity,anthranilate synthase complex; chloroplast
Misin03G046400.1.v7.1,Q42529,"Tryptophan synthase alpha chain, chloroplastic",auxin biosynthetic process; defense response by callose deposition in cell wall; defense response to bacterium; gravitropism; tryptophan biosynthetic process; tryptophan metabolic process,indole-3-glycerol-phosphate lyase activity; tryptophan synthase activity,chloroplast; chloroplast stroma
Misin03G281400.1.v7.1,Q94B38,"Glucose-6-phosphate/phosphate translocator 2, chloroplastic",glucose-6-phosphate transport; phosphoenolpyruvate transport; phosphoglycerate transmembrane transport; photosynthesis; photosynthetic acclimation; regulation of photosynthesis; response to glucose; response to nematode; response to sucrose; triose phosphate transmembrane transport,glucose-6-phosphate transmembrane transporter activity; phosphate transmembrane transporter activity; phosphoglycerate transmembrane transporter activity; triose-phosphate transmembrane transporter activity,chloroplast; chloroplast membrane; plant-type vacuole
Misin05G021700.1.v7.1,Q9MAH3,Protein DJ-1 homolog B,,glyoxalase III activity,chloroplast; chloroplast stroma
Misin05G140500.1.v7.1,Q0WMZ5,"Outer envelope pore protein 16-2, chloroplastic",monoatomic ion transport,amino acid transmembrane transporter activity; porin activity; protein homodimerization activity,chloroplast outer membrane; plastid outer membrane; pore complex
Misin05G173500.1.v7.1,C5XNN6,"Thiamine thiazole synthase 1, chloroplastic",thiamine biosynthetic process; thiazole biosynthetic process,cysteine-dependent adenosine diphosphate thiazole synthase activity; iron ion binding,chloroplast stroma; cytosol
Misin05G381000.1.v7.1,P84516,Cationic peroxidase SPC4,hydrogen peroxide catabolic process; response to oxidative stress; response to stress,calcium ion binding; heme binding; lactoperoxidase activity; peroxidase activity,extracellular region; plant-type cell wall
Misin05G400200.1.v7.1,Q8TB22,Spermatogenesis-associated protein 20,carbohydrate metabolic process; cell differentiation; spermatogenesis,,extracellular region; mitochondrion
Misin07G346000.1.v7.1,Q6ETW4,Pectinesterase inhibitor 8,,pectinesterase inhibitor activity,apoplast
Misin07G367300.1.v7.1,Q9ZVQ3,Glutathione S-transferase Z1,aromatic amino acid metabolic process; homogentisate catabolic process; toxin catabolic process,glutathione transferase activity; maleylacetoacetate isomerase activity; peroxidase activity,cytoplasm; cytosol
Misin07G519500.1.v7.1,Q6DRC4,Eukaryotic translation initiation factor 3 subunit G,formation of cytoplasmic translation initiation complex; translational initiation,RNA binding; translation initiation factor activity,eukaryotic 43S preinitiation complex; eukaryotic 48S preinitiation complex; eukaryotic translation initiation factor 3 complex
Misin08G045800.1.v7.1,Q9XI37,SNF1-related protein kinase regulatory subunit gamma-like PV42a,developmental process involved in reproduction; embryo sac development; pollen development; pollen tube guidance; stamen development,,
Misin08G281600.1.v7.1,Q9FLI5,Mitochondrial metalloendopeptidase OMA1,cellular response to heat; proteolysis involved in protein catabolic process; response to osmotic stress; response to oxidative stress,metal ion binding; metalloendopeptidase activity,membrane; mitochondrial inner membrane; mitochondrion
Misin09G173300.1.v7.1,P93212,14-3-3 protein 7,protein localization; signal transduction,,cytoplasm
Misin10G188700.1.v7.1,Q2R1D5,Putative 14-3-3-like protein GF14-H,protein localization; signal transduction,,cytoplasm
Misin11G171000.1.v7.1,Q7X8B5,"Calcium-transporting ATPase 5, plasma membrane-type",response to cold; response to water deprivation,ATP binding; ATP hydrolysis activity; calmodulin binding; metal ion binding; P-type calcium transporter activity,intracellular membrane-bounded organelle; plasma membrane
Misin11G222200.1.v7.1,B8AUI3,Glycolate oxidase 3,cellular response to virus; oxidative photosynthetic carbon pathway; photorespiration; regulation of photosynthesis,(S)-2-hydroxy-acid oxidase activity; FMN binding,peroxisome
Misin12G096700.1.v7.1,P0DXH7,7-acetyl-epi-neemfruitin B aldo-keto reductase,,oxidoreductase activity,
Misin12G126200.1.v7.1,P49081,"Malate synthase, glyoxysomal",glyoxylate cycle; tricarboxylic acid cycle,malate synthase activity,cytoplasm; glyoxysome
Misin12G201000.1.v7.1,B8AUI3,Glycolate oxidase 3,cellular response to virus; oxidative photosynthetic carbon pathway; photorespiration; regulation of photosynthesis,(S)-2-hydroxy-acid oxidase activity; FMN binding,peroxisome
Misin12G270100.1.v7.1,Q9M8R4,Protein DJ-1 homolog D,,glyoxalase III activity; lactoylglutathione lyase activity,cytosol
Misin13G081600.1.v7.1,P09444,Late embryogenesis abundant protein D-34,,,
Misin14G086000.1.v7.1,Q9LYV6,GEM-like protein 5,embryo development ending in seed dormancy; maintenance of seed dormancy by absisic acid; regulation of seed germination; seed germination,,plastid
Misin14G145400.1.v7.1,Q2QMN7,Ureidoglycolate hydrolase,allantoin catabolic process; purine nucleobase catabolic process; ureide catabolic process,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines; manganese ion binding; ureidoglycolate hydrolase activity",endoplasmic reticulum
Misin16G248000.1.v7.1,P46518,Late embryogenesis abundant protein Lea14-A,response to desiccation,,
Misin17G041200.1.v7.1,A2WPN7,Salt stress-induced protein,,carbohydrate binding,
Misin17G173700.1.v7.1,Q9SR86,"Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial",cellular response to nitrogen levels; photorespiration,alanine-glyoxylate transaminase activity; pyridoxal phosphate binding,mitochondrion
Misin17G174300.1.v7.1,P23901,Aldose reductase,,aldose reductase (NADPH) activity,
Misin17G219700.1.v7.1,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
Misin17G257700.1.v7.1,Q6NW58,Spastin,anterograde axonal transport; axon extension; axon guidance; axonal transport of mitochondrion; axonogenesis; central nervous system neuron axonogenesis; cytokinetic process; cytoplasmic microtubule organization; endoplasmic reticulum organization; endoplasmic reticulum to Golgi vesicle-mediated transport; endosome organization; exit from mitosis; lipid droplet organization; membrane fission; microtubule bundle formation; microtubule cytoskeleton organization; microtubule severing; mitotic cytokinesis; mitotic spindle disassembly; negative regulation of apoptotic process; nuclear membrane reassembly; positive regulation of axon extension; positive regulation of microtubule depolymerization; protein hexamerization; protein homooligomerization; reactive oxygen species metabolic process; skeletal muscle fiber development,alpha-tubulin binding; ATP binding; ATP hydrolysis activity; beta-tubulin binding; isomerase activity; microtubule binding; microtubule severing ATPase activity,axon cytoplasm; centrosome; microtubule; microtubule cytoskeleton; midbody; nuclear membrane; nucleus; perinuclear region of cytoplasm; spindle
Misin18G109800.1.v7.1,Q654V6,"Pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial",acetyl-CoA biosynthetic process from pyruvate,metal ion binding; pyruvate dehydrogenase (acetyl-transferring) activity,mitochondrial matrix
Misin18G151700.1.v7.1,Q9SUT9,Reticulon-like protein B2,endoplasmic reticulum tubular network organization; response to bacterium,mRNA binding,cytoplasmic side of endoplasmic reticulum membrane; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum tubular network; Golgi apparatus; plasma membrane
Misin18G170000.1.v7.1,Q10CE7,Probable glutathione S-transferase GSTU1,glutathione metabolic process,glutathione transferase activity,cytoplasm
Misin18G197900.1.v7.1,O67409,Tryptophan synthase beta chain 2,tryptophan biosynthetic process; tryptophan metabolic process,"L-serine hydro-lyase (adding indole, L-tryptophan-forming) activity; pyridoxal phosphate binding; tryptophan synthase activity",
Misin19G055000.1.v7.1,Q9SSD2,Pre-mRNA-processing-splicing factor 8A,"alternative mRNA splicing, via spliceosome; mRNA splicing, via spliceosome",metallopeptidase activity; U5 snRNA binding; U6 snRNA binding,mitochondrion; spliceosomal complex
MisinT036500.1.v7.1,P43284,"Tryptophan synthase beta chain 2, chloroplastic",tryptophan biosynthetic process; tryptophan metabolic process,tryptophan synthase activity,chloroplast; cytoplasm
MisinT206400.1.v7.1,Q5VQG4,Galactinol--sucrose galactosyltransferase,,galactinol-sucrose galactosyltransferase activity,
MisinT394200.1.v7.1,Q8LNZ3,UDP-glucose 4-epimerase 1,galactose metabolic process; monosaccharide metabolic process,UDP-glucose 4-epimerase activity,cytosol
PvWBCH1.1KG077700.1.v1.1,B7EZJ7,"23.6 kDa heat shock protein, mitochondrial",response to heat,,mitochondrion
PvWBCH1.1KG182300.1.v1.1,P12950,Dehydrin DHN1,cold acclimation; response to abscisic acid; response to water deprivation,lipid binding; phosphatidic acid binding; phosphatidylglycerol binding; phosphatidylinositol binding; phosphatidylserine binding,vesicle membrane
PvWBCH1.1NG251700.1.v1.1,P46524,Dehydrin COR410,cold acclimation; response to abscisic acid; response to water deprivation,,membrane
PvWBCH1.1NG326900.1.v1.1,Q6K7E9,18.6 kDa class III heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
PvWBCH1.2NG099200.1.v1.1,Q84QK0,12-oxophytodienoate reductase 1,defense response; jasmonic acid biosynthetic process; oxylipin biosynthetic process,12-oxophytodienoate reductase activity; FMN binding; oxidoreductase activity,
PvWBCH1.3KG087700.1.v1.1,Q5VRN0,UMP-CMP kinase 1,'de novo' pyrimidine nucleobase biosynthetic process; CDP biosynthetic process; UDP biosynthetic process,(d)CMP kinase activity; ATP binding; CMP kinase activity; dCMP kinase activity; UMP kinase activity,cytoplasm; nucleus
PvWBCH1.3KG178100.1.v1.1,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
PvWBCH1.3KG190900.1.v1.1,Q6F2Y7,Chaperone protein ClpB1,cellular response to heat,ATP binding; ATP hydrolysis activity,cytoplasm; cytosol; nucleus
PvWBCH1.3KG223000.1.v1.1,P23901,Aldose reductase,,aldose reductase (NADPH) activity,
PvWBCH1.3KG225700.1.v1.1,O26373,UPF0098 protein MTH_273,,,
PvWBCH1.3KG337600.1.v1.1,Q9LYV6,GEM-like protein 5,embryo development ending in seed dormancy; maintenance of seed dormancy by absisic acid; regulation of seed germination; seed germination,,plastid
PvWBCH1.3NG170900.1.v1.1,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
PvWBCH1.3NG315700.1.v1.1,Q9LYV6,GEM-like protein 5,embryo development ending in seed dormancy; maintenance of seed dormancy by absisic acid; regulation of seed germination; seed germination,,plastid
PvWBCH1.4KG012300.1.v1.1,O22793,"Multiple organellar RNA editing factor 2, chloroplastic","cytidine to uridine editing; endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA); mRNA processing; plastid organization",protein dimerization activity; protein homodimerization activity,chloroplast; endoplasmic reticulum
PvWBCH1.4KG166000.1.v1.1,Q5QJ60,Berberine bridge enzyme-like Cyn d 4,,FAD binding; oxidoreductase activity,
PvWBCH1.4KG275100.1.v1.1,Q01401,"1,4-alpha-glucan-branching enzyme, chloroplastic/amyloplastic",carbohydrate metabolic process; glycogen biosynthetic process; starch biosynthetic process; starch catabolic process; starch metabolic process,"1,4-alpha-glucan branching enzyme activity; cation binding; hydrolase activity, hydrolyzing O-glycosyl compounds",amyloplast; chloroplast; cytoplasm
PvWBCH1.4NG037300.1.v1.1,Q9SSD2,Pre-mRNA-processing-splicing factor 8A,"alternative mRNA splicing, via spliceosome; mRNA splicing, via spliceosome",metallopeptidase activity; U5 snRNA binding; U6 snRNA binding,mitochondrion; spliceosomal complex
PvWBCH1.4NG206200.1.v1.1,P12783,"Phosphoglycerate kinase, cytosolic",gluconeogenesis; glycolytic process,ADP binding; ATP binding; phosphoglycerate kinase activity,cytosol
PvWBCH1.5KG009700.1.v1.1,P46518,Late embryogenesis abundant protein Lea14-A,response to desiccation,,
PvWBCH1.5KG266500.1.v1.1,Q06398,Probable glutathione S-transferase GSTU6,glutathione metabolic process,glutathione transferase activity,cytoplasm
PvWBCH1.5KG299900.1.v1.1,P12628,NADP-dependent malic enzyme,malate metabolic process; pyruvate metabolic process,malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding; oxaloacetate decarboxylase activity,chloroplast
PvWBCH1.5KG363600.1.v1.1,Q9LHA8,Heat shock 70 kDa protein 4,protein ubiquitination; response to bacterium; response to heat; response to temperature stimulus; response to virus,ATP binding; ATP-dependent protein folding chaperone; ubiquitin protein ligase binding,cytosol; Golgi apparatus; mitochondrion; nucleus; plant-type cell wall; plant-type vacuole; plasma membrane
PvWBCH1.5NG010300.1.v1.1,Q9P7J5,Uncharacterized AAA domain-containing protein C24B10.10c,extraction of mislocalized protein from mitochondrial outer membrane; negative regulation of mitochondrial fission,ATP binding; ATP hydrolysis activity; GTPase inhibitor activity; membrane protein dislocase activity,mitochondrial outer membrane; mitochondrion
PvWBCH1.5NG129100.1.v1.1,Q0WMZ5,"Outer envelope pore protein 16-2, chloroplastic",monoatomic ion transport,amino acid transmembrane transporter activity; porin activity; protein homodimerization activity,chloroplast outer membrane; plastid outer membrane; pore complex
PvWBCH1.5NG350300.1.v1.1,Q9LHA8,Heat shock 70 kDa protein 4,protein ubiquitination; response to bacterium; response to heat; response to temperature stimulus; response to virus,ATP binding; ATP-dependent protein folding chaperone; ubiquitin protein ligase binding,cytosol; Golgi apparatus; mitochondrion; nucleus; plant-type cell wall; plant-type vacuole; plasma membrane
PvWBCH1.5NG360500.1.v1.1,Q9LY61,Nematode resistance protein-like HSPRO1,defense response; tryptophan catabolic process to kynurenine,heme binding; metal ion binding,cytoplasm
PvWBCH1.6NG112900.1.v1.1,Q9LJ97,Late embryogenesis abundant protein 31,intracellular monoatomic ion homeostasis; response to lithium ion; seed germination,,cytosol; nucleolus; nucleus
PvWBCH1.7KG090500.2.v1.1,Q08047,"1,4-alpha-glucan-branching enzyme 2, chloroplastic/amyloplastic",glycogen biosynthetic process; starch biosynthetic process; starch metabolic process,"1,4-alpha-glucan branching enzyme activity; cation binding; hydrolase activity, hydrolyzing O-glycosyl compounds",amyloplast; chloroplast; cytoplasm
PvWBCH1.7KG134800.1.v1.1,Q9FIK0,ATP-dependent 6-phosphofructokinase 2,fructose 6-phosphate metabolic process; glycolytic process,6-phosphofructokinase activity; ATP binding; metal ion binding,cytosol
PvWBCH1.8KG089500.1.v1.1,Q7GCM7,Xylanase inhibitor protein 1,carbohydrate metabolic process; defense response to fungus,enzyme inhibitor activity,extracellular region
PvWBCH1.9KG029500.1.v1.1,Q84TB6,Actin-depolymerizing factor 3,actin filament depolymerization,actin filament binding,actin cytoskeleton; cytoplasm
PvWBCH1.9KG056000.1.v1.1,A2XMN2,Probable glutathione S-transferase GSTU1,glutathione metabolic process,glutathione transferase activity,cytoplasm
PvWBCH1.9KG072500.1.v1.1,W8JMU7,Cytochrome P450 81Q32,,"heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",membrane
PvWBCH1.9KG381100.1.v1.1,P35493,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",glucose catabolic process; glycolytic process,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; manganese ion binding",cytoplasm
PvWBCH1.9KG395300.1.v1.1,Q0WMZ5,"Outer envelope pore protein 16-2, chloroplastic",monoatomic ion transport,amino acid transmembrane transporter activity; porin activity; protein homodimerization activity,chloroplast outer membrane; plastid outer membrane; pore complex
PvWBCH1.9KG495500.1.v1.1,P09444,Late embryogenesis abundant protein D-34,,,
PvWBCH1.9KG512900.1.v1.1,Q10S66,Chitinase 11,cell wall macromolecule catabolic process; chitin catabolic process; defense response to fungus; polysaccharide catabolic process,chitinase activity; endochitinase activity,
PvWBCH1.9NG029700.1.v1.1,Q84TB6,Actin-depolymerizing factor 3,actin filament depolymerization,actin filament binding,actin cytoskeleton; cytoplasm
PvWBCH1.9NG055800.1.v1.1,Q10CE7,Probable glutathione S-transferase GSTU1,glutathione metabolic process,glutathione transferase activity,cytoplasm
PvWBCH1.9NG503500.1.v1.1,Q10S66,Chitinase 11,cell wall macromolecule catabolic process; chitin catabolic process; defense response to fungus; polysaccharide catabolic process,chitinase activity; endochitinase activity,
Sn00001aa000144_T001,Q02166,"Anthranilate phosphoribosyltransferase, chloroplastic",tryptophan biosynthetic process,anthranilate phosphoribosyltransferase activity; metal ion binding,chloroplast; chloroplast envelope; chloroplast stroma; plastid
Sn00001aa001175_T001,P35493,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",glucose catabolic process; glycolytic process,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; manganese ion binding",cytoplasm
Sn00001aa001519_T001,Q75GT3,"Chaperone protein ClpB2, chloroplastic",cellular response to heat; protein refolding,ATP binding; ATP hydrolysis activity,chloroplast; cytoplasm
Sn00001aa005515_T001,Q10CE7,Probable glutathione S-transferase GSTU1,glutathione metabolic process,glutathione transferase activity,cytoplasm
Sn00001aa006179_T001,Q8TB22,Spermatogenesis-associated protein 20,carbohydrate metabolic process; cell differentiation; spermatogenesis,,extracellular region; mitochondrion
Sn00001aa006768_T001,P31726,Cystatin-1,,cysteine-type endopeptidase inhibitor activity,
Sn00001aa007068_T001,P12628,NADP-dependent malic enzyme,malate metabolic process; pyruvate metabolic process,malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding; oxaloacetate decarboxylase activity,chloroplast
Sn00001aa007255_T001,Q06398,Probable glutathione S-transferase GSTU6,glutathione metabolic process,glutathione transferase activity,cytoplasm
Sn00001aa008159_T001,B0R0B1,Zinc-regulated GTPase metalloprotein activator 1,intracellular zinc ion homeostasis,GTP binding; GTPase activity; metal ion binding; zinc chaperone activity,cytoplasm; nucleus
Sn00001aa010391_T001,Q8LNZ3,UDP-glucose 4-epimerase 1,galactose metabolic process; monosaccharide metabolic process,UDP-glucose 4-epimerase activity,cytosol
Sn00001aa010461_T001,P35493,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",glucose catabolic process; glycolytic process,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; manganese ion binding",cytoplasm
Sn00001aa010629_T001,P49248,Protein IN2-1,,glutathione transferase activity,
Sn00001aa011441_T001,Q02166,"Anthranilate phosphoribosyltransferase, chloroplastic",tryptophan biosynthetic process,anthranilate phosphoribosyltransferase activity; metal ion binding,chloroplast; chloroplast envelope; chloroplast stroma; plastid
Sn00001aa012896_T001,Q9SJZ2,Peroxidase 17,hydrogen peroxide catabolic process; lignin biosynthetic process; response to oxidative stress; vegetative to reproductive phase transition of meristem,heme binding; lactoperoxidase activity; metal ion binding; peroxidase activity,extracellular region; plant-type cell wall; vacuole
Sn00001aa014488_T001,Q0WMZ5,"Outer envelope pore protein 16-2, chloroplastic",monoatomic ion transport,amino acid transmembrane transporter activity; porin activity; protein homodimerization activity,chloroplast outer membrane; plastid outer membrane; pore complex
Sn00001aa014825_T001,Q9SKY8,Heat shock 70 kDa protein 8,response to heat,ATP binding; ATP-dependent protein folding chaperone,
Sn00001aa021863_T001,Q0JNR2,Cysteine proteinase inhibitor 12,defense response,cysteine-type endopeptidase inhibitor activity,extracellular region
Sn00001aa023333_T004,P00333,Alcohol dehydrogenase 1,formaldehyde catabolic process,alcohol dehydrogenase (NAD+) activity; S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity; zinc ion binding,cytosol
Sn00001aa030610_T001,Q9FIK0,ATP-dependent 6-phosphofructokinase 2,fructose 6-phosphate metabolic process; glycolytic process,6-phosphofructokinase activity; ATP binding; metal ion binding,cytosol
Sn00001aa031675_T002,Q9ZT66,"Endo-1,3;1,4-beta-D-glucanase",,hydrolase activity,extracellular region
Sn00001aa040888_T001,Q9P7J5,Uncharacterized AAA domain-containing protein C24B10.10c,extraction of mislocalized protein from mitochondrial outer membrane; negative regulation of mitochondrial fission,ATP binding; ATP hydrolysis activity; GTPase inhibitor activity; membrane protein dislocase activity,mitochondrial outer membrane; mitochondrion
Sn00001aa041377_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Sn00001aa045518_T001,P24631,17.5 kDa class II heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
