orthogroup	protein_id	description
OG0000289	Ag00001aa071072_T001	Alcohol dehydrogenase 1
OG0000289	PvWBCH1.8KG100900.1.v1.1	Alcohol dehydrogenase 1
OG0000289	Sn00001aa023333_T004	Alcohol dehydrogenase 1
OG0000289	Td00001aa024734_T004	Alcohol dehydrogenase 1
OG0000305	Ag00001aa030359_T001	Aquaporin
OG0000305	Ag00001aa056960_T001	Aquaporin
OG0000305	Ag00001aa061390_T001	Aquaporin
OG0000305	Ag00001aa062385_T001	Plasma membrane intrinsic protein 1
OG0000305	Misin07G437200.1.v7.1	Aquaporin
OG0000305	Misin07G548500.1.v7.1	Aquaporin
OG0000305	PvWBCH1.1KG264600.1.v1.1	Plasma membrane intrinsic protein
OG0000305	PvWBCH1.1NG248800.1.v1.1	Plasma membrane intrinsic protein 1
OG0000305	PvWBCH1.7KG202400.1.v1.1	Aquaporin
OG0000305	Sn00001aa039024_T001	Aquaporin
OG0000316	PvWBCH1.9NG239500.1.v1.1	alanine transaminase
OG0000316	Td00001aa026000_T001	alanine transaminase
OG0000332	PvWBCH1.3NG101500.1.v1.1	glutathione transferase
OG0000355	PvWBCH1.3KG424900.1.v1.1	Plasma membrane ATPase
OG0000355	Sn00001aa074929_T001	Plasma membrane ATPase
OG0000355	Td00001aa025008_T004	Plasma membrane ATPase
OG0000402	PvWBCH1.3NG157700.1.v1.1	Ubiquitin-conjugating enzyme E2 36
OG0000433	Ag00001aa004423_T002	Peroxidase
OG0000433	Ag00001aa023989_T001	Peroxidase
OG0000433	Ag00001aa155706_T001	Peroxidase
OG0000433	Td00001aa022195_T001	Peroxidase
OG0000506	PvWBCH1.5NG032300.1.v1.1	Malic enzyme
OG0000517	Td00001aa007062_T001	Glycosyltransferase
OG0000523	PvWBCH1.7KG117800.1.v1.1	NADP-dependent oxidoreductase domain-containing protein
OG0000523	PvWBCH1.7NG127400.1.v1.1	NADP-dependent oxidoreductase domain-containing protein
OG0000527	Sn00001aa091151_T001	Glycosyltransferase
OG0000538	Sn00001aa004935_T002	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
OG0000565	PvWBCH1.3KG156000.1.v1.1	Isocitrate dehydrogenase [NADP]
OG0000566	PvWBCH1.5KG232200.1.v1.1	Cytochrome P450 family 72 subfamily A polypeptide 8
OG0000566	Td00001aa007022_T003	Cytochrome P450 family 72 subfamily A polypeptide 8
OG0000568	Td00001aa026762_T001	Ent-cassadiene C2-hydroxylase
OG0000579	Td00001aa037166_T003	KEN domain-containing protein
OG0000596	Misin02G359400.1.v7.1	Hydroxyproline-rich glycoprotein family protein
OG0000596	PvWBCH1.2NG392700.1.v1.1	Hydroxyproline-rich glycoprotein family protein
OG0000596	Td00001aa014817_T001	Hydroxyproline-rich glycoprotein family protein
OG0000597	Td00001aa014781_T002	DOG1 domain-containing protein
OG0000618	PvWBCH1.3KG173500.1.v1.1	Secondary cell wall-related glycosyltransferase family 47
OG0000620	PvWBCH1.5KG315300.1.v1.1	Formamidase
OG0000642	Ag00001aa135121_T001	Glutathione S-transferase
OG0000642	PvWBCH1.9KG056000.1.v1.1	Glutathione S-transferase
OG0000642	PvWBCH1.9NG055800.1.v1.1	Glutathione S-transferase
OG0000642	Sn00001aa005515_T001	Glutathione S-transferase
OG0000642	Td00001aa024450_T001	Glutathione S-transferase
OG0000642	Td00001aa024451_T001	Glutathione S-transferase
OG0000646	Td00001aa007991_T003	Lipoxygenase
OG0000646	Td00001aa007992_T002	Lipoxygenase
OG0000654	Ag00001aa004820_T001	Dirigent protein (Fragment)
OG0000654	Ag00001aa004824_T001	Dirigent protein (Fragment)
OG0000654	Ag00001aa004825_T001	Dirigent protein (Fragment)
OG0000654	Ag00001aa138044_T002	Dirigent protein (Fragment)
OG0000654	Ag00001aa138047_T001	Dirigent protein (Fragment)
OG0000670	PvWBCH1.3KG334800.1.v1.1	ABC transporter domain-containing protein
OG0000670	Sn00001aa050960_T001	ABC transporter domain-containing protein
OG0000670	Td00001aa005913_T001	ABC transporter domain-containing protein
OG0000704	Td00001aa033446_T004	"Acyl-coenzyme A oxidase 4, peroxisomal"
OG0000710	Ag00001aa050176_T001	NADP-dependent oxidoreductase P2
OG0000710	Ag00001aa126910_T003	"NADP-dependent oxidoreductase P1, putative, expressed"
OG0000711	Td00001aa011427_T001	"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucosidebeta-D-glucosidase"
OG0000711	Td00001aa011430_T003	Avenacosidase 2
OG0000715	PvWBCH1.1KG237100.1.v1.1	Phenylalanine ammonia-lyase
OG0000715	PvWBCH1.1NG224900.1.v1.1	Phenylalanine ammonia-lyase
OG0000715	PvWBCH1.7KG173500.1.v1.1	Phenylalanine ammonia-lyase
OG0000715	PvWBCH1.7NG178200.1.v1.1	Phenylalanine ammonia-lyase
OG0000715	Sn00001aa009014_T001	Phenylalanine ammonia-lyase
OG0000715	Td00001aa004249_T001	Phenylalanine ammonia-lyase
OG0000715	Td00001aa017003_T001	Phenylalanine ammonia-lyase
OG0000715	Td00001aa029037_T001	Phenylalanine ammonia-lyase
OG0000744	PvWBCH1.3NG401800.1.v1.1	AB hydrolase-1 domain-containing protein
OG0000823	Ag00001aa096557_T001	Glutathione S-transferase
OG0000823	Sn00001aa092320_T001	Glutathione S-transferase
OG0000823	Td00001aa018860_T001	Glutathione S-transferase
OG0000835	PvWBCH1.3NG084400.1.v1.1	Serine/arginine-rich splicing factor RS2Z32
OG0000837	Misin17G041200.1.v7.1	NA
OG0000844	PvWBCH1.2KG079800.1.v1.1	Vesicle-associated membrane protein 725
OG0000863	Ag00001aa044676_T001	Xylanase inhibitor protein 1
OG0000863	Ag00001aa120445_T001	Xylanase inhibitor protein 1
OG0000863	PvWBCH1.8KG089500.1.v1.1	Xylanase inhibitor protein 1
OG0000885	PvWBCH1.4NG163700.1.v1.1	Coatomer subunit beta'
OG0000889	Td00001aa008365_T001	ALOG domain-containing protein
OG0000891	Misin05G173500.1.v7.1	"Thiamine thiazole synthase, chloroplastic"
OG0000891	Td00001aa006961_T001	"Thiamine thiazole synthase, chloroplastic"
OG0000891	Td00001aa009874_T001	"Thiamine thiazole synthase, chloroplastic"
OG0000898	PvWBCH1.6KG114300.1.v1.1	C2H2-type domain-containing protein
OG0000915	Td00001aa033015_T001	Peroxidase
OG0000920	PvWBCH1.3NG057100.1.v1.1	VWFA domain-containing protein
OG0000929	Td00001aa001541_T001	"Tuliposide A-converting enzyme 2, chloroplastic"
OG0000937	Td00001aa036466_T004	glycerophosphodiester phosphodiesterase
OG0000950	PvWBCH1.3NG116300.1.v1.1	Cellulose synthase
OG0000950	Td00001aa033546_T001	Cellulose synthase
OG0000971	Td00001aa030923_T003	"Fructose-1,6-bisphosphatase, cytosolic"
OG0000973	Misin05G317500.1.v7.1	Expansin
OG0001000	Sn00001aa043654_T003	cinnamyl-alcohol dehydrogenase
OG0001014	PvWBCH1.9NG358300.1.v1.1	Nascent polypeptide-associated complex subunit alpha-like protein 1
OG0001019	Td00001aa011649_T002	"Cytochrome P450 family protein, expressed"
OG0001032	Misin04G083200.1.v7.1	Methyltransferase
OG0001078	Misin09G018200.1.v7.1	2-isopropylmalate synthase
OG0001078	Sn00001aa096746_T001	2-isopropylmalate synthase
OG0001087	Misin09G057300.1.v7.1	Coatomer subunit beta
OG0001095	Td00001aa007047_T001	Flavanone 4-reductase
OG0001112	Td00001aa029477_T004	Lipoxygenase
OG0001124	Ag00001aa077312_T002	Subtilisin-like protease
OG0001124	Td00001aa041768_T003	Subtilisin-like serine endopeptidase family protein
OG0001139	Misin02G374500.1.v7.1	Bet v I/Major latex protein domain-containing protein
OG0001139	Td00001aa014690_T001	Bet v I/Major latex protein domain-containing protein
OG0001162	PvWBCH1.2NG036100.1.v1.1	NA
OG0001162	Td00001aa002847_T001	Cylicin-1
OG0001162	Td00001aa040575_T001	NA
OG0001173	Td00001aa031593_T001	Transcription factor CBF/NF-Y/archaeal histone domain-containing protein
OG0001189	Sn00001aa022890_T001	Calcineurin B-like protein 3
OG0001189	Td00001aa043587_T002	Calcineurin B-like protein 3
OG0001196	Td00001aa023617_T001	Leucine-rich repeat extensin-like protein 3
OG0001215	Td00001aa039885_T001	Serine/threonine-protein kinase NAK
OG0001228	PvWBCH1.3KG080900.1.v1.1	Cytochrome b5 heme-binding domain-containing protein
OG0001259	Ag00001aa123912_T001	Polyamine oxidase
OG0001259	PvWBCH1.9KG469900.1.v1.1	Polyamine oxidase
OG0001259	Td00001aa038427_T002	NA
OG0001268	PvWBCH1.1KG292700.1.v1.1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
OG0001268	Sn00001aa009456_T002	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
OG0001268	Td00001aa017372_T002	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
OG0001296	Ag00001aa067474_T001	Thioredoxin domain-containing protein
OG0001296	Ag00001aa110604_T001	Thioredoxin domain-containing protein
OG0001312	Td00001aa021855_T002	Polyol transporter 5
OG0001322	Ag00001aa027795_T002	Lipoxygenase
OG0001322	Misin01G114400.1.v7.1	Lipoxygenase
OG0001322	Misin02G103400.1.v7.1	Lipoxygenase
OG0001322	Td00001aa024952_T002	Lipoxygenase
OG0001322	Td00001aa027330_T001	Lipoxygenase
OG0001372	Misin06G110100.1.v7.1	Argonaute 4
OG0001379	PvWBCH1.5NG302600.1.v1.1	Chorismate mutase
OG0001450	PvWBCH1.7KG056200.1.v1.1	NADP-dependent oxidoreductase domain-containing protein
OG0001479	Sn00001aa071959_T001	UDP-glucose 6-dehydrogenase 3
OG0001479	Td00001aa024620_T001	UDP-glucose 6-dehydrogenase 3
OG0001503	Misin10G048800.1.v7.1	Transmembrane 9 superfamily member
OG0001503	Misin14G060100.1.v7.1	Transmembrane 9 superfamily member
OG0001503	PvWBCH1.3KG041900.1.v1.1	Transmembrane 9 superfamily member
OG0001503	PvWBCH1.8NG048200.1.v1.1	Transmembrane 9 superfamily member
OG0001521	Misin07G413400.1.v7.1	Aquaporin plasma membrane intrinsic protein 2-2
OG0001521	PvWBCH1.1KG238400.1.v1.1	Aquaporin plasma membrane intrinsic protein 2-2
OG0001521	Td00001aa004234_T001	Aquaporin plasma membrane intrinsic protein 2-2
OG0001536	PvWBCH1.5KG338400.1.v1.1	Plastidic phosphate translocator-like protein1
OG0001536	Td00001aa022874_T001	Plastidic phosphate translocator-like protein1
OG0001655	PvWBCH1.9KG112500.1.v1.1	Beta-glucosidase 7
OG0001655	Td00001aa024936_T001	Beta-glucosidase 8
OG0001662	Misin11G003400.1.v7.1	Glyoxylate/hydroxypyruvate reductase HPR3
OG0001707	Td00001aa003164_T002	"1,3-beta-glucan synthase"
OG0001787	Ag00001aa009579_T001	Small heat shock protein HSP
OG0001787	Td00001aa014480_T001	SHSP domain-containing protein
OG0001861	Td00001aa027460_T001	Zinc finger BED domain-containing protein RICESLEEPER 2
OG0001890	Ag00001aa101082_T002	Apoptosis-inducing factor 2
OG0001891	PvWBCH1.4NG206200.1.v1.1	Phosphoglycerate kinase
OG0001897	Td00001aa039430_T005	Aluminum induced protein with YGL and LRDR motifs
OG0001916	Td00001aa043582_T001	NA
OG0001948	PvWBCH1.8NG111400.1.v1.1	Bifunctional dihydrofolate reductase-thymidylate synthase
OG0001959	Ag00001aa092812_T001	chitinase
OG0001959	PvWBCH1.9KG512900.1.v1.1	chitinase
OG0001959	PvWBCH1.9NG503500.1.v1.1	chitinase
OG0001959	Sn00001aa050399_T001	chitinase
OG0001959	Sn00001aa062552_T001	chitinase
OG0001963	PvWBCH1.6KG252500.1.v1.1	"Malate dehydrogenase [NADP], chloroplastic"
OG0001998	Td00001aa023115_T002	Putative MYB DNA-binding domain superfamily protein
OG0002006	PvWBCH1.9NG404100.1.v1.1	"Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1"
OG0002031	Td00001aa006065_T001	Glycosyltransferase
OG0002175	PvWBCH1.1KG337200.1.v1.1	UMP-CMP kinase
OG0002175	Td00001aa043750_T003	UMP-CMP kinase
OG0002192	PvWBCH1.9KG290600.1.v1.1	Mitochondrial carnitine/acylcarnitine carrier-like protein
OG0002197	Td00001aa030762_T001	DNA replication licensing factor MCM6
OG0002219	Td00001aa028747_T003	Ubiquitin fusion degradation protein 1
OG0002237	PvWBCH1.5NG174900.1.v1.1	RNA helicase
OG0002255	Td00001aa029643_T001	VAMP protein SEC22
OG0002300	Sn00001aa024444_T001	Acyl-coenzyme A oxidase
OG0002316	Ag00001aa082217_T001	NA
OG0002368	Ag00001aa004029_T001	Alpha-ketoglutarate-dependent dioxygenase alkB-like protein 2
OG0002368	PvWBCH1.2KG390400.1.v1.1	Alpha-ketoglutarate-dependent dioxygenase alkB-like protein 2
OG0002425	Ag00001aa045267_T001	NA
OG0002472	Sn00001aa079782_T001	GTP-binding protein YPTM2
OG0002505	PvWBCH1.3NG181100.1.v1.1	ATP-dependent 6-phosphofructokinase
OG0002521	Td00001aa012353_T001	WEB family protein chloroplastic
OG0002524	Misin14G086000.1.v7.1	GRAM domain-containing protein
OG0002524	PvWBCH1.3KG337600.1.v1.1	GRAM domain-containing protein
OG0002524	PvWBCH1.3NG315700.1.v1.1	GRAM domain-containing protein
OG0002524	Sn00001aa050948_T001	GRAM domain-containing protein
OG0002524	Td00001aa039232_T002	GRAM domain-containing protein
OG0002541	PvWBCH1.6NG158300.1.v1.1	SCP domain-containing protein
OG0002541	Td00001aa032227_T001	Ferredoxin-related
OG0002545	PvWBCH1.1KG182300.1.v1.1	Dehydrin
OG0002556	PvWBCH1.9KG472700.1.v1.1	GTP-BINDING protein 3
OG0002556	Td00001aa026630_T001	"Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase"
OG0002559	Misin19G055000.1.v7.1	Pre-mRNA-processing-splicing factor 8A
OG0002559	PvWBCH1.4NG037300.1.v1.1	MPN domain-containing protein
OG0002600	Td00001aa033159_T002	Phenylcoumaran benzylic ether reductase-like protein I (Fragment)
OG0002600	Td00001aa033160_T001	Phenylcoumaran benzylic ether reductase-like protein I (Fragment)
OG0002621	Misin03G085700.1.v7.1	V-type proton ATPase subunit G
OG0002676	Td00001aa037912_T002	Powdery mildew resistance protein PM3 variant
OG0002679	PvWBCH1.6KG070600.1.v1.1	lactoylglutathione lyase
OG0002718	Td00001aa000735_T001	X8 domain-containing protein
OG0002760	PvWBCH1.9KG341600.1.v1.1	S-norcoclaurine synthase 1
OG0002763	Td00001aa000236_T001	"RNA-binding protein CP29B, chloroplastic-like"
OG0002784	Td00001aa027731_T002	H15 domain-containing protein
OG0002818	PvWBCH1.5NG005600.1.v1.1	Salt stress root protein RS1
OG0002922	Misin07G098400.1.v7.1	Monosaccharide-sensing protein 2
OG0002925	Ag00001aa114791_T001	NA
OG0002948	Td00001aa008136_T003	Omega-hydroxypalmitate O-feruloyl transferase
OG0003002	PvWBCH1.8NG114700.1.v1.1	NA
OG0003031	Td00001aa032137_T001	"High mobility group, HMG-I/HMG-Y"
OG0003031	Td00001aa035827_T001	High mobility group A
OG0003161	PvWBCH1.4KG098300.1.v1.1	CELLULOSE SYNTHASE INTERACTIVE 3
OG0003189	Td00001aa038554_T001	NA
OG0003283	Ag00001aa099111_T001	X8 domain-containing protein
OG0003400	Td00001aa033758_T001	NA
OG0003417	Td00001aa009152_T001	TFIIS N-terminal domain-containing protein
OG0003421	Td00001aa033337_T001	KOW domain-containing protein
OG0003442	Ag00001aa089354_T001	Calcium ion binding protein
OG0003478	Ag00001aa055266_T001	Gibberellin receptor GID1L2
OG0003478	PvWBCH1.1KG200800.1.v1.1	Gibberellin receptor GID1L2
OG0003478	Td00001aa016799_T001	Gibberellin receptor GID1L2
OG0003555	PvWBCH1.4KG275100.1.v1.1	"1,4-alpha-glucan branching enzyme"
OG0003576	Misin05G263200.1.v7.1	DUF642 domain-containing protein
OG0003576	PvWBCH1.5KG309100.1.v1.1	DUF642 domain-containing protein
OG0003576	Sn00001aa091279_T001	DUF642 domain-containing protein
OG0003621	Td00001aa006685_T001	DNA replication licensing factor MCM4
OG0003663	Misin07G267200.1.v7.1	Transmembrane 9 superfamily member
OG0003663	PvWBCH1.6KG246800.1.v1.1	Transmembrane 9 superfamily member
OG0003663	Sn00001aa048684_T001	Transmembrane 9 superfamily member
OG0003663	Td00001aa036043_T002	Transmembrane 9 superfamily member
OG0003673	Td00001aa036158_T003	Patatin
OG0003692	PvWBCH1.3KG146800.1.v1.1	Mitochondrial adenine nucleotide transporter ADNT1
OG0003720	Sn00001aa031675_T002	Dienelactone hydrolase domain-containing protein
OG0003728	Ag00001aa007156_T002	CSD domain-containing protein
OG0003728	Ag00001aa061896_T002	NA
OG0003792	PvWBCH1.8NG128600.1.v1.1	"Succinate dehydrogenase assembly factor 2, mitochondrial"
OG0003817	Td00001aa014588_T001	GST N-terminal domain-containing protein
OG0003817	Td00001aa019248_T001	GST N-terminal domain-containing protein
OG0003852	Ag00001aa085945_T001	NA
OG0003852	Td00001aa043628_T001	NA
OG0003919	Td00001aa011371_T001	Acyl transferase 5
OG0003927	Td00001aa023605_T003	GDSL esterase/lipase
OG0003960	PvWBCH1.2KG076400.1.v1.1	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain-containing protein
OG0003992	PvWBCH1.2KG223500.1.v1.1	Copper transport protein
OG0004053	Ag00001aa012950_T001	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"
OG0004074	Misin04G357300.1.v7.1	Caltractin
OG0004214	Ag00001aa153066_T001	aminodeoxychorismate lyase
OG0004214	PvWBCH1.5NG003300.1.v1.1	aminodeoxychorismate lyase
OG0004264	Td00001aa020170_T003	O-methyltransferase ZRP4
OG0004282	Td00001aa005697_T003	Phosphatidate cytidylyltransferase
OG0004385	Td00001aa003911_T001	ADP-ribosylation factor
OG0004415	PvWBCH1.1NG094800.1.v1.1	Peroxidase
OG0004468	Td00001aa011129_T003	RRM domain-containing protein
OG0004474	Misin06G383600.1.v7.1	E3 ubiquitin-protein ligase RGLG1
OG0004515	PvWBCH1.5KG346500.1.v1.1	TOG domain-containing protein
OG0004515	Td00001aa008436_T001	VHS domain-containing protein
OG0004557	PvWBCH1.5NG234800.1.v1.1	Vacuolar protein sorting-associated protein 25
OG0004576	Ag00001aa048771_T001	Aspartic proteinase-like protein 2
OG0004696	Ag00001aa065363_T001	NA
OG0004741	PvWBCH1.7KG277200.1.v1.1	Orphans transcription factor
OG0004773	Td00001aa029261_T001	Protein-L-isoaspartate O-methyltransferase 1 isoform X1
OG0004932	PvWBCH1.9KG072500.1.v1.1	Isoflavone 2'-hydroxylase
OG0004961	Ag00001aa088349_T001	Fe2OG dioxygenase domain-containing protein
OG0004961	Td00001aa035379_T002	Fe2OG dioxygenase domain-containing protein
OG0004982	MisinT054100.1.v7.1	LIS1 motif containing protein
OG0004982	Td00001aa006646_T002	LIS1 motif containing protein
OG0005018	PvWBCH1.4KG012300.1.v1.1	"Multiple organellar RNA editing factor 2, chloroplastic"
OG0005050	PvWBCH1.6KG052700.1.v1.1	ACB domain-containing protein
OG0005050	PvWBCH1.6NG050800.1.v1.1	ACB domain-containing protein
OG0005050	Td00001aa038583_T001	ACB domain-containing protein
OG0005084	Ag00001aa154978_T001	Dirigent protein (Fragment)
OG0005144	Td00001aa001856_T001	Alpha-amylase type A isozyme
OG0005214	Ag00001aa012639_T001	SUI1 domain-containing protein
OG0005216	Ag00001aa148452_T001	NA
OG0005220	Td00001aa009125_T006	Carboxypeptidase
OG0005269	Ag00001aa013246_T001	Ribonuclease 1
OG0005315	PvWBCH1.6KG004600.1.v1.1	SLH domain-containing protein
OG0005361	Td00001aa024340_T001	Thioredoxin domain-containing protein
OG0005402	Td00001aa025149_T001	Dehydrin
OG0005405	Td00001aa025171_T003	Methyl binding domain115
OG0005469	Sn00001aa021034_T002	Sodium/calcium exchanger
OG0005483	Sn00001aa045518_T001	Class II heat shock protein
OG0005483	Td00001aa008985_T001	Small heat shock protein HSP17.8
OG0005483	Td00001aa019065_T001	Small heat shock protein HSP17.8
OG0005483	Td00001aa033621_T001	Small heat shock protein HSP17.8
OG0005549	Sn00001aa054154_T001	Activator of Hsp90 ATPase AHSA1-like N-terminal domain-containing protein
OG0005569	Sn00001aa053959_T001	Succinate-semialdehyde dehydrogenase
OG0005593	Td00001aa005269_T001	TPX2 C-terminal domain-containing protein
OG0005595	Td00001aa002733_T002	H15 domain-containing protein
OG0005710	Sn00001aa008298_T001	UspA domain-containing protein
OG0005710	Td00001aa003480_T001	UspA domain-containing protein
OG0005715	Misin07G519500.1.v7.1	Eukaryotic translation initiation factor 3 subunit G
OG0005728	Td00001aa003277_T001	Phloem-specific lectin
OG0005796	Ag00001aa015316_T001	Peroxidase
OG0005796	Misin05G381000.1.v7.1	Peroxidase
OG0005796	Td00001aa007570_T001	Peroxidase
OG0005873	Misin18G170000.1.v7.1	Glutathione S-transferase
OG0005940	PvWBCH1.5KG274600.1.v1.1	Farnesyl pyrophosphate synthase
OG0005961	PvWBCH1.5KG249400.1.v1.1	Iron-sulfur cluster assembly protein
OG0005964	Ag00001aa141498_T001	V-type proton ATPase subunit E
OG0005980	Td00001aa007038_T001	Aspartic proteinase oryzasin-1
OG0005989	PvWBCH1.2KG075800.1.v1.1	Coatomer subunit gamma
OG0006047	PvWBCH1.7NG243500.1.v1.1	"Gamma-aminobutyrate transaminase 1, mitochondrial"
OG0006053	PvWBCH1.9NG501800.1.v1.1	Methyltransferase
OG0006086	PvWBCH1.6KG238300.1.v1.1	HTH OST-type domain-containing protein
OG0006090	Td00001aa031963_T001	NA
OG0006151	Td00001aa007007_T001	C2 domain-containing protein
OG0006161	Ag00001aa104120_T004	"Pyruvate, phosphate dikinase"
OG0006177	Td00001aa000441_T001	Fruit bromelain
OG0006196	Td00001aa012101_T001	"Protein FATTY ACID EXPORT 2, chloroplastic"
OG0006202	Td00001aa028382_T001	shikimate kinase
OG0006221	Sn00001aa100989_T001	Remorin
OG0006288	Td00001aa013159_T001	TLC domain-containing protein
OG0006312	Misin12G062800.1.v7.1	Exostosin GT47 domain-containing protein
OG0006321	PvWBCH1.7KG292600.1.v1.1	Phosphomannomutase
OG0006417	Misin01G274000.1.v7.1	AT-hook motif nuclear-localized protein
OG0006466	Misin02G401700.1.v7.1	anthranilate synthase
OG0006567	PvWBCH1.8NG151200.1.v1.1	RNA polymerase II transcription elongation factor DSIF/SUPT5H/SPT5
OG0006624	Td00001aa039086_T001	NA
OG0006856	PvWBCH1.2KG277500.1.v1.1	Hydroxymethylglutaryl-CoA synthase
OG0006856	PvWBCH1.2NG253200.1.v1.1	Hydroxymethylglutaryl-CoA synthase
OG0006869	Misin03G236400.1.v7.1	Endoglucanase
OG0006869	PvWBCH1.2KG286200.1.v1.1	Endoglucanase
OG0006869	Sn00001aa003072_T001	Endoglucanase
OG0006869	Td00001aa001138_T001	Endoglucanase
OG0006902	Td00001aa000821_T001	X8 domain-containing protein
OG0006941	Ag00001aa012894_T001	Zeamatin
OG0006941	Sn00001aa051893_T001	Zeamatin
OG0007031	Sn00001aa073394_T001	TOG domain-containing protein
OG0007103	PvWBCH1.9KG104900.1.v1.1	Dynamin-related protein 1C
OG0007103	Sn00001aa023222_T002	Dynamin-related protein 1C
