orthogroup	protein_id	description
OG0005296	Td00001aa000075_T001	RING finger and CHY zinc finger domain-containing protein 1
OG0011997	Td00001aa000076_T002	Probable serine/threonine-protein kinase At1g54610
OG0049897	Td00001aa000077_T003	CCT domain-containing protein
OG0018409	Td00001aa000078_T001	Beta-amylase
OG0009261	Td00001aa000079_T006	Exocyst complex component Sec8
OG0015924	Td00001aa000080_T002	Sodium/hydrogen exchanger
OG0023160	Td00001aa000082_T002	Sex determination protein tasselseed-2
OG0006988	Td00001aa000084_T001	4-alpha-glucanotransferase
OG0019228	Td00001aa000085_T001	Tyrosine-specific transport protein
OG0002772	Td00001aa000086_T002	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
OG0014178	Td00001aa000087_T001	Pentacotripeptide-repeat region of PRORP domain-containing protein
OG0002372	Td00001aa000089_T004	DDT domain-containing protein PTM
OG0000010	Td00001aa000090_T001	CCHC-type domain-containing protein
OG0049898	Td00001aa000092_T001	Protein EARLY RESPONSIVE TO DEHYDRATION 15
OG0021199	Td00001aa000093_T002	Ubiquitin carboxyl-terminal hydrolase
OG0003329	Td00001aa000094_T001	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
OG0049899	Td00001aa000095_T001	Mitochondrial adenine nucleotide transporter BTL1
OG0005291	Td00001aa000097_T001	Protein CHROMATIN REMODELING 5
OG0003328	Td00001aa000098_T001	Glutaredoxin domain-containing protein
OG0001473	Td00001aa000099_T001	RING-type E3 ubiquitin transferase
OG0004090	Td00001aa000100_T002	F-box protein SKIP5
OG0009260	Td00001aa000102_T001	Condensin-1 complex subunit CAP-D2
OG0004089	Td00001aa000103_T002	N-acylneuraminate-9-phosphatase
OG0004088	Td00001aa000104_T002	Pentatricopeptide repeat-containing protein
OG0003327	Td00001aa000105_T001	GA-binding protein subunit beta-2 like
OG0000025	Td00001aa000106_T001	Integrase catalytic domain-containing protein
OG0004086	Td00001aa000107_T001	Phosphatidylinositol 4-phosphate 5-kinase
OG0014809	Td00001aa000108_T001	Aspartic proteinase nepenthesin-1
OG0002770	Td00001aa000109_T003	Glutamine amidotransferase type-2 domain-containing protein
OG0009259	Td00001aa000110_T006	Rho GTPase-activating protein 7
OG0009258	Td00001aa000111_T001	Ribosomal protein S5 domain 2-like superfamily protein
OG0003326	Td00001aa000112_T001	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain-containing protein
OG0011995	Td00001aa000114_T001	EXPERA domain-containing protein
OG0009257	Td00001aa000115_T003	Thioredoxin reductase
OG0019831	Td00001aa000116_T001	HhH-GPD domain-containing protein
OG0006986	Td00001aa000117_T001	TRAF-type domain-containing protein
OG0009256	Td00001aa000118_T001	Glycosyltransferase
OG0003325	Td00001aa000119_T001	Protein transport protein SEC31 homolog B
OG0004085	Td00001aa000120_T001	Carboxypeptidase
OG0019830	Td00001aa000121_T003	EEF1A lysine methyltransferase 4
OG0005290	Td00001aa000122_T001	Structural constituent of ribosome
OG0026853	Td00001aa000123_T001	Glycosyltransferase STELLO1
OG0005289	Td00001aa000124_T001	Homeobox KN domain-containing protein
OG0021197	Td00001aa000125_T004	Beta-glucosidase 26
OG0011994	Td00001aa000126_T004	BTB/POZ and MATH domain-containing protein 2
OG0027079	Td00001aa000127_T001	GAG-pre-integrase domain-containing protein
OG0006984	Td00001aa000128_T001	Pectinesterase
OG0009254	Td00001aa000129_T001	AAA ATPase containing von Willebrand factor type A
OG0006983	Td00001aa000130_T001	TVP38/TMEM64 family membrane protein slr0305
OG0014177	Td00001aa000131_T001	Trichome birefringence-like N-terminal domain-containing protein
OG0019829	Td00001aa000132_T003	RNA helicase
OG0005288	Td00001aa000134_T005	RING-type E3 ubiquitin transferase
OG0014808	Td00001aa000135_T001	Myb/SANT-like domain-containing protein
OG0005287	Td00001aa000136_T001	COX VIIa-like protein (Fragment)
OG0003324	Td00001aa000137_T001	BSD domain-containing protein
OG0006982	Td00001aa000138_T001	Mitochondrial inner membrane translocase complex subunit Tim44-related protein isoform 1
OG0005286	Td00001aa000139_T001	Secologanin synthase
OG0004083	Td00001aa000140_T001	Hexosyltransferase
OG0006980	Td00001aa000142_T001	Vesicle transport protein
OG0032494	Td00001aa000143_T002	protein-serine/threonine phosphatase
OG0009252	Td00001aa000144_T006	PCI domain-containing protein
OG0005285	Td00001aa000145_T001	Endonuclease/exonuclease/phosphatase domain-containing protein
OG0004082	Td00001aa000146_T001	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
OG0005283	Td00001aa000147_T002	Transformation/transcription domain-associated protein isoform X2
OG0003323	Td00001aa000149_T001	Peptide deformylase
OG0002767	Td00001aa000150_T003	Pre-mRNA-splicing factor SYF1
OG0014806	Td00001aa000151_T003	Sulfotransferase
OG0021770	Td00001aa000152_T001	Ubiquitin domain
OG0009251	Td00001aa000153_T001	RecA family profile 1 domain-containing protein
OG0014805	Td00001aa000154_T002	ATP synthase mitochondrial F1 complex assembly factor 2
OG0019828	Td00001aa000155_T001	Alpha/beta hydrolase fold-3 domain-containing protein
OG0005280	Td00001aa000156_T001	Alpha/beta hydrolase fold-3 domain-containing protein
OG0011991	Td00001aa000157_T001	"Gamma carbonic anhydrase 1, mitochondrial"
OG0006978	Td00001aa000158_T001	Alpha/beta hydrolase fold-3 domain-containing protein
OG0005279	Td00001aa000159_T001	DM2 domain-containing protein
OG0049902	Td00001aa000160_T001	Putative carboxylesterase 18
OG0000405	Td00001aa000161_T001	Proteasome subunit alpha type
OG0004081	Td00001aa000162_T001	Stomatal closure-related actin-binding protein coiled-coil domain-containing protein
OG0049903	Td00001aa000163_T001	Putative mediator of RNA polymerase II transcription subunit 26b
OG0004080	Td00001aa000165_T001	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 1
OG0001472	Td00001aa000166_T001	GDSL esterase/lipase
OG0005277	Td00001aa000167_T001	Chaperonin 10 isoform 1
OG0004079	Td00001aa000169_T001	"Chaperonin, mitochondrial"
OG0004078	Td00001aa000170_T001	Methyltransferase small domain-containing protein
OG0000852	Td00001aa000172_T001	Protein kinase domain-containing protein
OG0024118	Td00001aa000173_T001	11-beta-hydroxysteroid dehydrogenase 1B
OG0008960	Td00001aa000174_T002	Pyrrolidone-carboxylate peptidase
OG0008436	Td00001aa000176_T001	TRASH domain-containing protein
OG0049904	Td00001aa000177_T001	Xylulose kinase
OG0002089	Td00001aa000179_T001	Zinc finger CCHC domain-containing protein 10
OG0006608	Td00001aa000181_T001	Heat stress transcription factor B-4b
OG0005276	Td00001aa000182_T001	Calcium ion binding
OG0005275	Td00001aa000183_T001	Peroxidase
OG0002088	Td00001aa000184_T001	U5 small nuclear ribonucleoprotein helicase
OG0049905	Td00001aa000185_T001	AP2/ERF domain-containing protein
OG0011990	Td00001aa000186_T001	Peroxidase
OG0000404	Td00001aa000187_T001	Peroxidase
OG0000404	Td00001aa000188_T001	Peroxidase
OG0000404	Td00001aa000190_T001	Peroxidase
OG0000404	Td00001aa000191_T001	Peroxidase
OG0000404	Td00001aa000192_T001	Peroxidase
OG0001858	Td00001aa000193_T001	Peroxidase
OG0005274	Td00001aa000194_T001	Peroxiredoxin
OG0011989	Td00001aa000195_T001	TolB protein-related
OG0006976	Td00001aa000196_T001	Kinesin-like protein KIN-12C
OG0005272	Td00001aa000197_T001	Plant SNARE
OG0000928	Td00001aa000198_T001	Protein GAMETE EXPRESSED 1
OG0016838	Td00001aa000199_T001	Protein-serine/threonine kinase
OG0003321	Td00001aa000200_T001	Endonuclease or glycosyl hydrolase
OG0002766	Td00001aa000201_T004	non-specific serine/threonine protein kinase
OG0000697	Td00001aa000204_T001	Dirigent protein (Fragment)
OG0006975	Td00001aa000205_T001	Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein
OG0005271	Td00001aa000207_T008	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
OG0006974	Td00001aa000208_T001	GeBP transcription factor
OG0001147	Td00001aa000209_T001	Centromere/microtubule binding protein
OG0009249	Td00001aa000210_T001	Low temperature and salt responsive protein family
OG0008119	Td00001aa000211_T001	Pentatricopeptide repeat-containing protein
OG0000497	Td00001aa000212_T001	Secologanin synthase
OG0009248	Td00001aa000213_T001	Transcription factor MYB86
OG0023858	Td00001aa000214_T001	Pectin acetylesterase
OG0020732	Td00001aa000215_T001	Putative p21-activated protein kinase-interacting protein 1-like
OG0014204	Td00001aa000217_T001	Transcription factor PCF8
OG0002087	Td00001aa000218_T001	Suppressor of disruption of TFIIS
OG0002086	Td00001aa000219_T001	Low temperature viability protein
OG0001857	Td00001aa000220_T001	RAB GTPase A5A isoform 1
OG0006971	Td00001aa000221_T002	SNARE associated Golgi protein family
OG0002369	Td00001aa000222_T001	tRNA-specific 2-thiouridylase
OG0005270	Td00001aa000223_T001	Anaphase-promoting complex subunit 13
OG0023540	Td00001aa000224_T001	O-fucosyltransferase family protein
OG0011987	Td00001aa000225_T002	DEAD-box ATP-dependent RNA helicase 36
OG0003320	Td00001aa000226_T001	IQ domain-containing protein IQM2
OG0002085	Td00001aa000227_T001	"54S ribosomal protein L37, mitochondrial"
OG0009247	Td00001aa000228_T002	Arginine/serine-rich splicing factor SCL25B transcript IV
OG0006970	Td00001aa000229_T001	PLASMODESMATA CALLOSE-BINDING PROTEIN 5
OG0014818	Td00001aa000230_T001	Coenzyme Q-binding protein COQ10 START domain-containing protein
OG0009246	Td00001aa000232_T001	TRUD domain-containing protein
OG0009245	Td00001aa000234_T001	Serine/threonine-protein kinase STY8
OG0003319	Td00001aa000235_T002	Transmembrane emp24 domain-containing protein p24delta9
OG0002763	Td00001aa000236_T001	Ribonucleoprotein A
OG0001856	Td00001aa000237_T002	Exosome complex component RRP41-like
OG0002084	Td00001aa000238_T001	Putative calcium-binding protein CML45
OG0011986	Td00001aa000239_T001	Transmembrane protein
OG0011985	Td00001aa000240_T001	Ubiquitin-protein ligase CIP8
OG0017521	Td00001aa000241_T002	Defective in cullin neddylation protein
OG0019662	Td00001aa000242_T004	Mannan synthase 7
OG0027991	Td00001aa000243_T001	malate dehydrogenase
OG0005269	Td00001aa000244_T001	Aleurone ribonuclease
OG0005268	Td00001aa000246_T001	Transcription factor MYB30
OG0009244	Td00001aa000247_T001	Origin recognition complex subunit 6
OG0009243	Td00001aa000249_T002	Transcription factor bHLH47
OG0017520	Td00001aa000250_T001	Pentacotripeptide-repeat region of PRORP domain-containing protein
OG0000173	Td00001aa000251_T001	"30S ribosomal protein S4, chloroplastic"
OG0017307	Td00001aa000252_T001	DUF4283 domain-containing protein (Fragment)
OG0017307	Td00001aa000253_T001	DUF4283 domain-containing protein (Fragment)
OG0017307	Td00001aa000255_T001	DUF4283 domain-containing protein (Fragment)
OG0002653	Td00001aa000256_T001	RRM domain-containing protein
OG0017307	Td00001aa000257_T001	DUF4283 domain-containing protein (Fragment)
OG0017307	Td00001aa000259_T001	DUF4283 domain-containing protein (Fragment)
OG0017307	Td00001aa000261_T001	DUF4283 domain-containing protein (Fragment)
OG0002653	Td00001aa000262_T001	RRM domain-containing protein
OG0017307	Td00001aa000263_T001	DUF4283 domain-containing protein (Fragment)
OG0002653	Td00001aa000265_T001	RRM domain-containing protein
OG0025137	Td00001aa000266_T001	Reticuline oxidase
OG0003318	Td00001aa000267_T004	Transcription factor MYB124-like isoform X2
OG0006969	Td00001aa000269_T001	Pectinesterase inhibitor domain-containing protein
OG0005265	Td00001aa000271_T002	Developmentally-regulated G-protein 3
OG0020242	Td00001aa000272_T006	4-alpha-glucanotransferase
OG0005266	Td00001aa000273_T002	E3 ubiquitin-protein ligase RKP
OG0017519	Td00001aa000276_T001	NAC domain-containing protein
OG0010595	Td00001aa000277_T001	Bowman-Birk serine protease inhibitors family domain-containing protein
OG0005264	Td00001aa000278_T001	Amine oxidase domain-containing protein
OG0006967	Td00001aa000279_T001	histone acetyltransferase
OG0009242	Td00001aa000280_T001	Putative inactive receptor kinase
OG0011984	Td00001aa000282_T001	J domain-containing protein
OG0021765	Td00001aa000283_T001	Ribosomal protein L7/L12 C-terminal domain-containing protein
OG0006966	Td00001aa000284_T001	Troponin T (Fragment)
OG0003316	Td00001aa000285_T001	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain-containing protein
OG0001855	Td00001aa000286_T001	Casein Kinase 2 substrate
OG0005263	Td00001aa000287_T005	WD repeat-containing protein C2A9.03
OG0011983	Td00001aa000289_T001	Trehalose 6-phosphate phosphatase
OG0006965	Td00001aa000290_T003	Trehalose 6-phosphate phosphatase
OG0003315	Td00001aa000291_T001	VQ domain-containing protein
OG0003519	Td00001aa000294_T001	Serine/arginine-rich splicing factor SC35
OG0015418	Td00001aa000295_T002	CG-1 domain-containing protein
OG0003314	Td00001aa000296_T001	Pentatricopeptide repeat-containing protein
OG0003313	Td00001aa000299_T001	Signal peptidase complex-like protein DTM1
OG0018021	Td00001aa000300_T003	AB hydrolase-1 domain-containing protein
OG0011982	Td00001aa000301_T001	Phospho-2-dehydro-3-deoxyheptonate aldolase
OG0000812	Td00001aa000302_T001	40S ribosomal protein S6
OG0000938	Td00001aa000303_T002	Serine/threonine-protein kinase SAPK2
OG0009240	Td00001aa000304_T001	U4/U6.U5 small nuclear ribonucleoprotein 27kDa protein domain-containing protein
OG0005262	Td00001aa000305_T001	RNA helicase
OG0009239	Td00001aa000306_T001	Cyclin N-terminal domain-containing protein
OG0003312	Td00001aa000307_T001	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4A
OG0009238	Td00001aa000308_T001	ADP-ribosylation factor-related protein 1
OG0005261	Td00001aa000309_T002	DNA-directed RNA polymerase
OG0011981	Td00001aa000310_T001	Thioredoxin-like protein 4B
OG0005260	Td00001aa000311_T001	AT hook-containing MAR binding 1-like protein
OG0009237	Td00001aa000313_T001	Caltractin
OG0003311	Td00001aa000314_T001	Calcium/calmodulin-dependent protein kinase CaMK3
OG0005258	Td00001aa000315_T001	Putative Heat stress transcription factor A-2c
OG0005257	Td00001aa000316_T002	Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1
OG0004074	Td00001aa000317_T003	Probable calcium-binding protein CML20
OG0009236	Td00001aa000318_T002	FYVE-type domain-containing protein
OG0011390	Td00001aa000319_T001	"Folate synthesis bifunctional protein, mitochondrial"
OG0006960	Td00001aa000320_T001	Protein STRUBBELIG-RECEPTOR FAMILY 7 isoform X1
OG0000182	Td00001aa000321_T001	Reverse transcriptase zinc-binding domain-containing protein
OG0006959	Td00001aa000322_T001	RING-type E3 ubiquitin transferase
OG0000937	Td00001aa000323_T001	glycerophosphodiester phosphodiesterase
OG0000316	Td00001aa000324_T001	alanine transaminase
OG0002367	Td00001aa000325_T001	F-box only protein 13
OG0005293	Td00001aa000326_T001	Fibroblast growth factor receptor 2-like
OG0005255	Td00001aa000327_T002	Fowlpox viral protein homolog1
OG0003309	Td00001aa000328_T001	40S ribosomal protein SA
OG0049910	Td00001aa000329_T001	(S)-2-hydroxy-acid oxidase
OG0005254	Td00001aa000330_T002	beta-ketoacyl-[acyl-carrier-protein] synthase I
OG0004073	Td00001aa000331_T002	Erect panicle 2 protein
OG0015419	Td00001aa000332_T001	FAR1 DNA-binding domain
OG0009235	Td00001aa000333_T001	DNA-directed RNA polymerase subunit
OG0011389	Td00001aa000335_T003	Transmembrane protein 87A
OG0011388	Td00001aa000336_T002	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein
OG0009234	Td00001aa000337_T001	Early auxin response protein
OG0017516	Td00001aa000338_T003	Inter-alpha-trypsin inhibitor heavy chain-related
OG0019225	Td00001aa000339_T001	Proteasome subunit alpha type
OG0024119	Td00001aa000340_T001	DUF1677 domain-containing protein (Fragment)
OG0005253	Td00001aa000342_T002	Serine/threonine-protein kinase RIPK
OG0005252	Td00001aa000344_T001	Exportin-T
OG0000496	Td00001aa000345_T001	Ribosomal protein L18e/L15P domain-containing protein
OG0000496	Td00001aa000346_T001	Ribosomal protein L18e/L15P domain-containing protein
OG0011980	Td00001aa000347_T004	GTP diphosphokinase
OG0005251	Td00001aa000349_T001	Nodulation signaling pathway 1-like protein
OG0017282	Td00001aa000350_T001	Signal recognition particle subunit SRP68
OG0006716	Td00001aa000351_T001	Replication factor A C-terminal domain-containing protein
OG0003308	Td00001aa000352_T002	Gamma-tubulin complex component
OG0005249	Td00001aa000353_T001	"Glycine-rich RNA-binding protein 4, mitochondrial-like"
OG0011387	Td00001aa000354_T001	Stress-response A/B barrel domain-containing protein
OG0009232	Td00001aa000355_T001	KH type-2 domain-containing protein
OG0009231	Td00001aa000356_T001	PHD finger protein ALFIN-LIKE
OG0003307	Td00001aa000358_T001	Alpha/beta hydrolase domain-containing protein WAV2-like isoform X1
OG0002758	Td00001aa000359_T001	Nuclear transcription factor Y subunit
OG0000010	Td00001aa000361_T001	CCHC-type domain-containing protein
OG0004069	Td00001aa000362_T001	Glyceraldehyde-3-phosphate dehydrogenase A
OG0009230	Td00001aa000363_T001	Acidic leucine-rich nuclear phosphoprotein 32-related protein
OG0003306	Td00001aa000364_T001	Sugar transporter
OG0004068	Td00001aa000365_T004	Pectinesterase
OG0006958	Td00001aa000366_T002	BAH domain-containing protein
OG0006957	Td00001aa000367_T001	HMA domain-containing protein
OG0011976	Td00001aa000368_T001	Gibberellin receptor
OG0014174	Td00001aa000369_T001	Transcription factor CBF/NF-Y/archaeal histone domain-containing protein
OG0011975	Td00001aa000370_T002	Nucleic acid binding
OG0029214	Td00001aa000372_T001	Cell division control protein 48 homolog C
OG0003305	Td00001aa000373_T001	Sulfotransferase
OG0049912	Td00001aa000374_T001	DUF4149 domain-containing protein (Fragment)
OG0021764	Td00001aa000377_T001	EGG APPARATUS-1 protein
OG0021764	Td00001aa000378_T001	EGG APPARATUS-1 protein
OG0004067	Td00001aa000379_T002	MADS-box transcription factor 18
OG0006955	Td00001aa000380_T001	UDP-arabinopyranose mutase
OG0004066	Td00001aa000381_T001	NADH-ubiquinone reductase complex 1 MLRQ subunit
OG0006954	Td00001aa000382_T001	Mitochondrial import inner membrane translocase subunit TIM17-2-like
OG0011973	Td00001aa000383_T001	COBRA-like protein 6
OG0001647	Td00001aa000384_T002	COBRA-like protein 1
OG0003268	Td00001aa000386_T001	Peptidase A1 domain-containing protein
OG0020244	Td00001aa000387_T001	Probable 6-phosphogluconolactonase
OG0047452	Td00001aa000388_T001	Pentacotripeptide-repeat region of PRORP domain-containing protein
OG0002180	Td00001aa000389_T001	Cytochrome P-450
OG0005247	Td00001aa000391_T002	"Methylesterase 11, chloroplastic"
OG0005246	Td00001aa000393_T002	Expressed protein (Alternative splicing product)
OG0017515	Td00001aa000395_T001	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
OG0005245	Td00001aa000396_T001	Ninja-family protein 3
OG0011972	Td00001aa000397_T001	glycerophosphodiester phosphodiesterase
OG0049914	Td00001aa000398_T001	LRR receptor-like serine/threonine-protein kinase RPK2
OG0006953	Td00001aa000399_T003	Glycine-rich RNA-binding protein 3 mitochondrial
OG0001646	Td00001aa000400_T001	33 kDa chaperonin
OG0012681	Td00001aa000401_T001	Histone deacetylase domain-containing protein
OG0001170	Td00001aa000404_T001	NADPH HC toxin reductase
OG0004064	Td00001aa000405_T001	X8 domain-containing protein
OG0009227	Td00001aa000406_T003	Ribosome biogenesis protein WDR12 homolog
OG0001840	Td00001aa000407_T001	Periaxin
OG0037254	Td00001aa000408_T001	Periaxin
OG0005244	Td00001aa000409_T002	Early nodulin 75 protein
OG0037254	Td00001aa000411_T001	Hydroxyproline-rich glycoprotein family protein
OG0001840	Td00001aa000412_T001	Hydroxyproline-rich glycoprotein family protein
OG0005244	Td00001aa000414_T001	Early nodulin 75 protein
OG0023156	Td00001aa000416_T001	Hydroxyproline-rich glycoprotein family protein
OG0023156	Td00001aa000417_T001	Hydroxyproline-rich glycoprotein family protein
OG0011386	Td00001aa000419_T001	Pentatricopeptide repeat-containing protein
OG0009226	Td00001aa000420_T001	RRM domain-containing protein
OG0049916	Td00001aa000421_T001	Transmembrane protein
OG0005243	Td00001aa000422_T001	Pentatricopeptide repeat-containing protein
OG0008759	Td00001aa000423_T001	CobW C-terminal domain-containing protein
OG0000495	Td00001aa000424_T001	Small ribosomal subunit protein eS1
OG0006952	Td00001aa000427_T003	DNA annealing helicase and endonuclease ZRANB3
OG0002365	Td00001aa000428_T001	EID1-like F-box protein 2 isoform A
OG0004424	Td00001aa000430_T003	tRNA/rRNA methyltransferase SpoU type domain-containing protein
OG0006951	Td00001aa000431_T001	Brassinosteroid insensitive 1
OG0023011	Td00001aa000432_T001	Saccharopine dehydrogenase NADP binding domain-containing protein
OG0001180	Td00001aa000433_T001	Eukaryotic translation initiation factor 5A
OG0019663	Td00001aa000434_T002	Protein IMPAIRED IN BABA-INDUCED STERILITY 1
OG0004061	Td00001aa000435_T008	Formin-like protein 5
OG0004060	Td00001aa000437_T001	S-acyltransferase
OG0006950	Td00001aa000438_T001	Son of sevenless
OG0006177	Td00001aa000441_T001	Fruit bromelain
OG0004059	Td00001aa000442_T001	rRNA N-glycosylase
OG0020339	Td00001aa000443_T001	DDE Tnp4 domain-containing protein
OG0002081	Td00001aa000444_T001	Putative transcriptional regulator UXT
OG0014527	Td00001aa000445_T001	DNA mismatch repair proteins mutS family domain-containing protein
OG0003302	Td00001aa000446_T001	VAN3-binding protein-like auxin canalisation domain-containing protein
OG0025980	Td00001aa000447_T001	Aberrant panicle organization 1 protein
OG0014797	Td00001aa000448_T001	Golgi transport protein 1
OG0005242	Td00001aa000450_T001	WPP domain-containing protein
OG0019224	Td00001aa000452_T001	Zinc finger SWIM domain-containing protein 7
OG0004057	Td00001aa000453_T001	Zinc finger protein 7
OG0000667	Td00001aa000455_T001	DDE Tnp4 domain-containing protein
OG0014173	Td00001aa000456_T002	Indole-3-acetic acid-amido synthetase GH3.8
OG0009225	Td00001aa000458_T001	Aspartic proteinase-like protein 2
OG0017513	Td00001aa000459_T002	Momilactone A synthase
OG0000008	Td00001aa000460_T001	Replication factor A C-terminal domain-containing protein
OG0020245	Td00001aa000461_T002	Soluble secretory phospholipase A2 receptor
OG0005241	Td00001aa000462_T001	Transcriptional regulatory protein algP
OG0006949	Td00001aa000463_T001	Pentatricopeptide repeat-containing protein
OG0002756	Td00001aa000464_T001	Zinc finger protein AZF2
OG0002364	Td00001aa000465_T001	Zinc finger CCCH domain-containing protein 18
OG0005240	Td00001aa000466_T003	Ras GTPase-activating protein-binding protein 2
OG0017281	Td00001aa000467_T001	Scarecrow-like protein 32
OG0002755	Td00001aa000468_T001	LOB domain-containing protein
OG0005239	Td00001aa000470_T002	UDP-galactose transporter 2
OG0005238	Td00001aa000471_T001	Zinc finger protein AZF1
OG0001470	Td00001aa000472_T001	Transcription factor bHLH54
OG0005237	Td00001aa000473_T004	Formin-like protein 8
OG0009223	Td00001aa000474_T001	DYW domain-containing protein
OG0017283	Td00001aa000475_T001	Interferon-related developmental regulator N-terminal domain-containing protein
OG0011971	Td00001aa000477_T001	U-box domain-containing protein 4
OG0000851	Td00001aa000478_T001	Eukaryotic peptide chain release factor subunit 1-3
OG0049920	Td00001aa000479_T001	DUF834 domain-containing protein
OG0003298	Td00001aa000480_T001	NPH3 domain-containing protein
OG0004056	Td00001aa000481_T002	Glycosyltransferase
OG0001052	Td00001aa000482_T001	GRAS transcription factor
OG0002363	Td00001aa000483_T004	Phospholipid-transporting ATPase
OG0001739	Td00001aa000484_T001	Retrovirus-related Pol polyprotein from transposon TNT 1-94
OG0002754	Td00001aa000486_T001	Fungal lipase-like domain-containing protein
OG0004055	Td00001aa000487_T001	Cysteine-rich transmembrane CYSTM domain-containing protein
OG0003297	Td00001aa000488_T001	Protein EFFECTOR OF TRANSCRIPTION 2
OG0004054	Td00001aa000490_T002	SUMO-activating enzyme subunit
OG0021194	Td00001aa000492_T001	Peroxidase
OG0011970	Td00001aa000493_T002	threonine--tRNA ligase
OG0014520	Td00001aa000495_T001	Early nodulin 8
OG0009222	Td00001aa000497_T001	A-kinase anchor protein 17A
